# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.157
metadata : {}


# id : NWRW1800000046.157.1.1
경찰서에도 메르스 여파

경찰서에도	경찰서/NNG+에/JKB+도/JX
메르스	메르스/NNG
여파	여파/NNG


# id : NWRW1800000046.157.2.1
메르스 환자와 접촉했다고 경찰이 구속영장 기각 요청… "전염될라" 음주단속 중단도

메르스	메르스/NNG
환자와	환자/NNG+와/JKB
접촉했다고	접촉/NNG+하/XSV+았/EP+다고/EC
경찰이	경찰/NNG+이/JKS
구속영장	구속/NNG+영장/NNG
기각	기각/NNG
요청…	요청/NNG+…/SE
"전염될라"	"/SS+전염/NNG+되/XSV+ㄹ라/EF+"/SS
음주단속	음주/NNG+단속/NNG
중단도	중단/NNG+도/JX


# id : NWRW1800000046.157.3.1
중동호흡기증후군(메르스)의 여파가 병원·학교에 이어 경찰서까지 번졌다.

중동호흡기증후군(메르스)의	중동/NNP+호흡기/NNG+증후군/NNG+(/SS+메르스/NNG+)/SS+의/JKG
여파가	여파/NNG+가/JKS
병원·학교에	병원/NNG+·/SP+학교/NNG+에/JKB
이어	잇/VV+어/EC
경찰서까지	경찰서/NNG+까지/JX
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.157.3.2
경기 평택의 한 경찰관이 메르스 의심 증상을 보여 소속 경찰서가 일시적으로 일부 폐쇄됐고, 경기 남부의 다른 경찰서 두 곳은 피의자가 메르스 확진 환자와 접촉한 사실이 알려져 경찰의 요청으로 법원이 구속영장을 기각하는 소동이 벌어졌다.

경기	경기/NNP
평택의	평택/NNP+의/JKG
한	한/MMN
경찰관이	경찰관/NNG+이/JKS
메르스	메르스/NNG
의심	의심/NNG
증상을	증상/NNG+을/JKO
보여	보이/VV+어/EC
소속	소속/NNG
경찰서가	경찰서/NNG+가/JKS
일시적으로	일시/NNG+적/XSN+으로/JKB
일부	일부/NNG
폐쇄됐고,	폐쇄/NNG+되/XSV+었/EP+고/EC+,/SP
남부의	남부/NNG+의/JKG
다른	다른/MMD
경찰서	경찰서/NNG
두	두/MMN
곳은	곳/NNG+은/JX
피의자가	피의자/NNG+가/JKS
확진	확진/NNG
환자와	환자/NNG+와/JKB
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
알려져	알려지/VV+어/EC
경찰의	경찰/NNG+의/JKG
요청으로	요청/NNG+으로/JKB
법원이	법원/NNG+이/JKS
구속영장을	구속/NNG+영장/NNG+을/JKO
기각하는	기각/NNG+하/XSV+는/ETM
소동이	소동/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.157.3.3
메르스 발병 지역에선 호흡 측정 과정에서의 전염 우려 때문에 음주 단속도 일시 중단됐다.

메르스	메르스/NNG
발병	발병/NNG
지역에선	지역/NNG+에서/JKB+ㄴ/JX
호흡	호흡/NNG
측정	측정/NNG
과정에서의	과정/NNG+에서/JKB+의/JKG
전염	전염/NNG
우려	우려/NNG
때문에	때문/NNB+에/JKB
음주	음주/NNG
단속도	단속/NNG+도/JX
일시	일시/MAG
중단됐다.	중단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.157.4.1
3일 경찰청에 따르면 평택경찰서 소속 이모(34) 경사는 최근 사우디아라비아를 다녀온 친구와 만난 뒤 2일 발열, 어지럼 등의 증상을 호소해 서울의 한 병원에서 메르스 감염 여부를 진단하기 위한 검사를 받았다.

3일	3/SN+일/NNB
경찰청에	경찰청/NNG+에/JKB
따르면	따르/VV+면/EC
평택경찰서	평택경찰서/NNP
소속	소속/NNG
이모(34)	이/NNP+모/NP+(/SS+34/SN+)/SS
경사는	경사/NNG+는/JX
최근	최근/MAG
사우디아라비아를	사우디아라비아/NNP+를/JKO
다녀온	다녀오/VV+ㄴ/ETM
친구와	친구/NNG+와/JKB
만난	만나/VV+ㄴ/ETM
뒤	뒤/NNG
2일	2/SN+일/NNB
발열,	발열/NNG+,/SP
어지럼	어지럼/NNG
등의	등/NNB+의/JKG
증상을	증상/NNG+을/JKO
호소해	호소/NNG+하/XSV+아/EC
서울의	서울/NNP+의/JKG
한	한/MMN
병원에서	병원/NNG+에서/JKB
메르스	메르스/NNG
감염	감염/NNG
여부를	여부/NNG+를/JKO
진단하기	진단/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
검사를	검사/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.157.4.2
평택경찰서는 이 경사가 근무하던 수사팀 사무실을 일시 폐쇄했고, 이 경사와 같은 사무실을 쓰는 동료 9명을 자택에 대기하도록 했다.

평택경찰서는	평택경찰서/NNP+는/JX
이	이/NNP
경사가	경사/NNG+가/JKS
근무하던	근무/NNG+하/XSV+던/ETM
수사팀	수사/NNG+팀/NNG
사무실을	사무실/NNG+을/JKO
일시	일시/MAG
폐쇄했고,	폐쇄/NNG+하/XSV+았/EP+고/EC+,/SP
경사와	경사/NNG+와/JKB
같은	같/VA+은/ETM
쓰는	쓰/VV+는/ETM
동료	동료/NNG
9명을	9/SN+명/NNB+을/JKO
자택에	자택/NNG+에/JKB
대기하도록	대기/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.157.4.3
이날 밤 이 경사는 검사 결과 음성 판정을 받아 메르스 환자는 아닌 것으로 확인됐다.

이날	이날/NNG
밤	밤/NNG
이	이/NNP
경사는	경사/NNG+는/JX
검사	검사/NNG
결과	결과/NNG
음성	음성/NNG
판정을	판정/NNG+을/JKO
받아	받/VV+아/EC
메르스	메르스/NNG
환자는	환자/NNG+는/JX
아닌	아니/VCN+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.157.4.4
경찰은 이 경사 검사 결과가 나오기 전 자택에 대기 조치한 경찰관 9명에 대해서도 채혈을 해 검사를 하고 이 경사의 검사 결과에 따라 경찰서 폐쇄까지 검토했으나 해프닝으로 끝났다.

경찰은	경찰/NNG+은/JX
이	이/NNP
경사	경사/NNG
검사	검사/NNG
결과가	결과/NNG+가/JKS
나오기	나오/VV+기/ETN
전	전/NNG
자택에	자택/NNG+에/JKB
대기	대기/NNG
조치한	조치/NNG+하/XSV+ㄴ/ETM
경찰관	경찰관/NNG
9명에	9/SN+명/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
