# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.374
metadata : {}


# id : NWRW1800000037.374.1.1
국민 아이디어 사업화, 기업 협조 당부

국민	국민/NNG
아이디어	아이디어/NNG
사업화,	사업/NNG+화/XSN+,/SP
기업	기업/NNG
협조	협조/NNG
당부	당부/NNG


# id : NWRW1800000037.374.2.1
朴대통령 “창조경제 사이트 오픈해 직접 챙길 것”

朴대통령	朴/SH+대통령/NNG
“창조경제	“/SS+창조/NNG+경제/NNG
사이트	사이트/NNG
오픈해	오픈/NNG+하/XSV+아/EC
직접	직접/MAG
챙길	챙기/VV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000037.374.3.1
박근혜 대통령이 28일 10대 그룹 회장단과의 오찬간담회에서 새로운 창조경제 구상을 공개했다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
28일	28/SN+일/NNB
10대	10/SN+대/NNG
그룹	그룹/NNG
회장단과의	회장단/NNG+과/JKB+의/JKG
오찬간담회에서	오찬/NNG+간담회/NNG+에서/JKB
새로운	새롭/VA+ㄴ/ETM
창조경제	창조/NNG+경제/NNG
구상을	구상/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.374.3.2
국민들이 웹 사이트에 아이디어를 올리면 대통령이 직접 챙기고, 대기업은 아이디어의 사업화를 돕자는 것이다.

국민들이	국민/NNG+들/XSN+이/JKS
웹	웹/NNG
사이트에	사이트/NNG+에/JKB
아이디어를	아이디어/NNG+를/JKO
올리면	올리/VV+면/EC
대통령이	대통령/NNG+이/JKS
직접	직접/MAG
챙기고,	챙기/VV+고/EC+,/SP
대기업은	대/XPN+기업/NNG+은/JX
아이디어의	아이디어/NNG+의/JKG
사업화를	사업/NNG+화/XSN+를/JKO
돕자는	돕/VV+자는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.374.4.1
박 대통령은 회장단에게 “창조경제 사이트를 통해 모인 아이디어는 보고받을 것”이라며 “대기업들은 아이디어들이 경쟁력 있는 신기술이 되고 신사업이 돼 세계로 진출할 수 있도록 적극 도와 달라”고 주문했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
회장단에게	회장단/NNG+에게/JKB
“창조경제	“/SS+창조/NNG+경제/NNG
사이트를	사이트/NNG+를/JKO
통해	통하/VV+아/EC
모인	모이/VV+ㄴ/ETM
아이디어는	아이디어/NNG+는/JX
보고받을	보고/NNG+받/XSV+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“대기업들은	“/SS+대/XPN+기업/NNG+들/XSN+은/JX
아이디어들이	아이디어/NNG+들/XSN+이/JKS
경쟁력	경쟁력/NNG
있는	있/VA+는/ETM
신기술이	신/XPN+기술/NNG+이/JKC
되고	되/VV+고/EC
신사업이	신/XPN+사업/NNG+이/JKC
돼	되/VV+어/EC
세계로	세계/NNG+로/JKB
진출할	진출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
적극	적극/NNG
도와	돕/VV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.374.4.2
이어 “창조경제 사이트는 이른 시일 내에 오픈할 예정”이라고 소개했다.

이어	이어/MAG
“창조경제	“/SS+창조/NNG+경제/NNG
사이트는	사이트/NNG+는/JX
이른	이르/VA+ㄴ/ETM
시일	시일/NNG
내에	내/NNB+에/JKB
오픈할	오픈/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.374.5.1
대통령이 말한 창조경제 사이트의 이름은 ‘창조경제 타운’(가칭)이다.

대통령이	대통령/NNG+이/JKS
말한	말/NNG+하/XSV+ㄴ/ETM
창조경제	창조/NNG+경제/NNG
사이트의	사이트/NNG+의/JKG
이름은	이름/NNG+은/JX
‘창조경제	‘/SS+창조/NNG+경제/NNG
타운’(가칭)이다.	타운/NNG+’/SS+(/SS+가칭/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000037.374.5.2
미래창조과학부가 5월 개설해 시범 운영 중인 ‘창조경제종합포털’(www.creativekorea.or.kr)을 전면 개편해 이르면 다음 달 중순 다시 오픈하는 형태가 될 것으로 보인다.

미래창조과학부가	미래/NNG+창조/NNG+과학부/NNG+가/JKS
5월	5/SN+월/NNB
개설해	개설/NNG+하/XSV+아/EC
시범	시범/NNG
운영	운영/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
‘창조경제종합포털’(www.creativekorea.or.kr)을	‘/SS+창조/NNG+경제/NNG+종합/NNG+포털/NNG+’/SS+(/SS+www/SL+./SP+creativekorea/SL+./SP+or/SL+./SP+kr/SL+)/SS+을/JKO
전면	전면/NNG
개편해	개편/NNG+하/XSV+아/EC
이르면	이르/VV+면/EC
다음	다음/NNG
달	달/NNG
중순	중순/NNG
다시	다시/MAG
오픈하는	오픈/NNG+하/XSV+는/ETM
형태가	형태/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.374.5.3
현재 이 사이트는 미래부가 창조경제의 개념, 성공사례, 이와 관련된 각종 행사를 국민에게 알리는 데 활용하고 있다.

현재	현재/MAG
이	이/MMD
사이트는	사이트/NNG+는/JX
미래부가	미래부/NNG+가/JKS
창조경제의	창조/NNG+경제/NNG+의/JKG
개념,	개념/NNG+,/SP
성공사례,	성공/NNG+사례/NNG+,/SP
이와	이/NP+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
각종	각종/NNG
행사를	행사/NNG+를/JKO
국민에게	국민/NNG+에게/JKB
알리는	알리/VV+는/ETM
데	데/NNB
활용하고	활용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.374.6.1
미래부가 생각하는 ‘아이디어 사업화 모델’은 국민들이 아이디어를 사이트에 올리면 누리꾼과 전문가들이 의견을 보태는 집단지성을 통해 제품 및 서비스, 기술로 발전시키는 것이다.

미래부가	미래부/NNG+가/JKS
생각하는	생각/NNG+하/XSV+는/ETM
‘아이디어	‘/SS+아이디어/NNG
사업화	사업/NNG+화/XSN
모델’은	모델/NNG+’/SS+은/JX
국민들이	국민/NNG+들/XSN+이/JKS
아이디어를	아이디어/NNG+를/JKO
사이트에	사이트/NNG+에/JKB
올리면	올리/VV+면/EC
누리꾼과	누리/NNG+꾼/XSN+과/JC
전문가들이	전문가/NNG+들/XSN+이/JKS
의견을	의견/NNG+을/JKO
보태는	보태/VV+는/ETM
집단지성을	집단/NNG+지성/NNG+을/JKO
통해	통하/VV+아/EC
