# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.37
metadata : {}


# id : NWRW1800000048.37.1.1
‘제2금융→은행’ 전세대출 갈아타기 확대

‘제2금융→은행’	‘/SS+제/XPN+2/SN+금융/NNG+→/SW+은행/NNG+’/SS
전세대출	전세/NNG+대출/NNG
갈아타기	갈아타/VV+기/ETN
확대	확대/NNG


# id : NWRW1800000048.37.2.1
서민금융지원 강화방안 Q&A

서민금융지원	서민/NNG+금융/NNG+지원/NNG
강화방안	강화/NNG+방안/NNG
Q&A	Q/SL+&/SW+A/SL


# id : NWRW1800000048.37.3.1
‘성실 채무자’에 최대 500만원 더 대출

‘성실	‘/SS+성실/NNG
채무자’에	채무자/NNG+’/SS+에/JKB
최대	최대/NNG
500만원	500/SN+만/NR+원/NNB
더	더/MAG
대출	대출/NNG


# id : NWRW1800000048.37.4.1
실직 채무자에 자활근로사업도 지원

실직	실직/NNG
채무자에	채무자/NNG+에/JKB
자활근로사업도	자활/NNG+근로/NNG+사업/NNG+도/JX
지원	지원/NNG


# id : NWRW1800000048.37.5.1
정부가 23일 내놓은 서민금융 지원 강화 방안은 서민 대출의 금리는 내리고 공급은 늘리는 방향에 초점을 맞췄다.

정부가	정부/NNG+가/JKS
23일	23/SN+일/NNB
내놓은	내놓/VV+은/ETM
서민금융	서민/NNG+금융/NNG
지원	지원/NNG
강화	강화/NNG
방안은	방안/NNG+은/JX
서민	서민/NNG
대출의	대출/NNG+의/JKG
금리는	금리/NNG+는/JX
내리고	내리/VV+고/EC
공급은	공급/NNG+은/JX
늘리는	늘리/VV+는/ETM
방향에	방향/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.37.5.2
또 성실하게 빚을 갚는 채무자에 대한 정책적 혜택을 강화하고, 서민금융을 고용·복지와 연계한 것도 이번 대책의 특징이다.

또	또/MAG
성실하게	성실/NNG+하/XSA+게/EC
빚을	빚/NNG+을/JKO
갚는	갚/VV+는/ETM
채무자에	채무자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정책적	정책/NNG+적/XSN
혜택을	혜택/NNG+을/JKO
강화하고,	강화/NNG+하/XSV+고/EC+,/SP
서민금융을	서민/NNG+금융/NNG+을/JKO
고용·복지와	고용/NNG+·/SP+복지/NNG+와/JKB
연계한	연계/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
이번	이번/NNG
대책의	대책/NNG+의/JKG
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.37.5.3
주요 상품의 내용과 이용방법 등을 문답으로 풀어봤다.

주요	주요/NNG
상품의	상품/NNG+의/JKG
내용과	내용/NNG+과/JC
이용방법	이용/NNG+방법/NNG
등을	등/NNB+을/JKO
문답으로	문답/NNG+으로/JKB
풀어봤다.	풀/VV+어/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.37.6.1
-서민금융 대출을 성실하게 갚으면 추가 대출 등 혜택을 준다는데?

-서민금융	-/SO+서민/NNG+금융/NNG
대출을	대출/NNG+을/JKO
성실하게	성실/NNG+하/XSA+게/EC
갚으면	갚/VV+으면/EC
추가	추가/NNG
대출	대출/NNG
등	등/NNB
혜택을	혜택/NNG+을/JKO
준다는데?	주/VV+ㄴ다는데/EF+?/SF


# id : NWRW1800000048.37.7.1
“정책 서민금융 상품인 햇살론·미소금융·새희망홀씨 대출을 1년 이상 성실하게 상환한 사람을 대상으로 기존 대출 상품과 똑같은 금리(미소금융 4.5%, 햇살론 10.5% 이내, 새희망홀씨 10.5% 이내)로 최대 500만원까지 긴급생계자금을 빌려준다.

“정책	“/SS+정책/NNG
서민금융	서민/NNG+금융/NNG
상품인	상품/NNG+이/VCP+ㄴ/ETM
햇살론·미소금융·새희망홀씨	햇살론/NNP+·/SP+미소/NNG+금융/NNG+·/SP+새희망홀씨/NNP
대출을	대출/NNG+을/JKO
1년	1/SN+년/NNB
이상	이상/NNG
성실하게	성실/NNG+하/XSA+게/EC
상환한	상환/NNG+하/XSV+ㄴ/ETM
사람을	사람/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
기존	기존/NNG
대출	대출/NNG
상품과	상품/NNG+과/JKB
똑같은	똑같/VA+은/ETM
금리(미소금융	금리/NNG+(/SS+미소/NNG+금융/NNG
4.5%,	4/SN+./SP+5/SN+%/SW+,/SP
햇살론	햇살론/NNP
10.5%	10/SN+./SP+5/SN+%/SW
이내,	이내/NNG+,/SP
새희망홀씨	새희망홀씨/NNP
이내)로	이내/NNG+)/SS+로/JKB
최대	최대/NNG
500만원까지	500/SN+만/NR+원/NNB+까지/JX
긴급생계자금을	긴급/NNG+생계/NNG+자금/NNG+을/JKO
빌려준다.	빌려주/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.37.7.2
최대 1년거치, 4년 원리금균등분할 상환 조건이다.

최대	최대/NNG
1년거치,	1/SN+년/NNB+거치/NNG+,/SP
4년	4/SN+년/NNB
원리금균등분할	원리금/NNG+균등/NNG+분할/NNG
상환	상환/NNG
조건이다.	조건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.37.7.3
기존 상품을 대출 받았던 곳에서 신청하면 된다.

