# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.363
metadata : {}


# id : NWRW1800000030.363.1.1
[수도권Ⅲ] 용인경전철 개통지연, 국제중재로 판가름

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SL+]/SS
용인경전철	용인경전철/NNP
개통지연,	개통/NNG+지연/NNG+,/SP
국제중재로	국제/NNG+중재/NNG+로/JKB
판가름	판가름/NNG


# id : NWRW1800000030.363.2.1
용인경전철 개통을 둘러싼 용인시와 민간 시행사 용인경전철(주)의 갈등 문제가 결국 국제 중재 기관으로 넘어가게 됐다.

용인경전철	용인경전철/NNP
개통을	개통/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
용인시와	용인시/NNP+와/JC
민간	민간/NNG
시행사	시행사/NNG
용인경전철(주)의	용인경전철/NNP+(/SS+주/NNG+)/SS+의/JKG
갈등	갈등/NNG
문제가	문제/NNG+가/JKS
결국	결국/MAG
국제	국제/NNG
중재	중재/NNG
기관으로	기관/NNG+으로/JKB
넘어가게	넘어가/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.363.3.1
용인경전철 시행사인 용인경전철(주)은 "지난 18일 용인시를 상대로 용인경전철 실시협약 해지에 따른 지급금과 손해배상 등의 지급을 구하는 중재를 국제상공회의소(ICC) 산하 국제중재법원에 신청했다"고 21일 밝혔다.

용인경전철	용인경전철/NNP
시행사인	시행사/NNG+이/VCP+ㄴ/ETM
용인경전철(주)은	용인경전철/NNP+(/SS+주/NNG+)/SS+은/JX
"지난	"/SS+지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
용인시를	용인시/NNP+를/JKO
상대로	상대/NNG+로/JKB
실시협약	실시/NNG+협약/NNG
해지에	해지/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
지급금과	지급금/NNG+과/JC
손해배상	손해/NNG+배상/NNG
등의	등/NNB+의/JKG
지급을	지급/NNG+을/JKO
구하는	구하/VV+는/ETM
중재를	중재/NNG+를/JKO
국제상공회의소(ICC)	국제상공회의소/NNP+(/SS+ICC/SL+)/SS
산하	산하/NNG
국제중재법원에	국제/NNG+중재/NNG+법원/NNG+에/JKB
신청했다"고	신청/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
21일	21/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.363.4.1
김학필 용인경전철(주) 대표는 "용인시가 경전철 운영개시를 허용하지 않으면서도 실시협약 해지에 따른 시설물 인수 등의 의무도 이행하지 않아 회사가 매우 어려운 상황"이라며 "실시협약에 따른 7600억원 상당의 협약 해지 시 지급금과 기타 손해배상 등의 지급을 요구하기 위한 국제중재를 신청했다"고 말했다.

김학필	김학필/NNP
용인경전철(주)	용인경전철/NNP+(/SS+주/NNG+)/SS
대표는	대표/NNG+는/JX
"용인시가	"/SS+용인시/NNP+가/JKS
경전철	경전철/NNG
운영개시를	운영/NNG+개시/NNG+를/JKO
허용하지	허용/NNG+하/XSV+지/EC
않으면서도	않/VX+으면서/EC+도/JX
실시협약	실시/NNG+협약/NNG
해지에	해지/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
시설물	시설물/NNG
인수	인수/NNG
등의	등/NNB+의/JKG
의무도	의무/NNG+도/JX
이행하지	이행/NNG+하/XSV+지/EC
않아	않/VX+아/EC
회사가	회사/NNG+가/JKS
매우	매우/MAG
어려운	어렵/VA+ㄴ/ETM
상황"이라며	상황/NNG+"/SS+이/VCP+라며/EC
"실시협약에	"/SS+실시/NNG+협약/NNG+에/JKB
7600억원	7600/SN+억/NR+원/NNB
상당의	상당/NNG+의/JKG
협약	협약/NNG
해지	해지/NNG
시	시/NNB
지급금과	지급금/NNG+과/JC
기타	기타/NNG
손해배상	손해/NNG+배상/NNG
지급을	지급/NNG+을/JKO
요구하기	요구/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
국제중재를	국제/NNG+중재/NNG+를/JKO
신청했다"고	신청/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.363.5.1
국내가 아닌 국제중재법원에 중재를 신청한 이유에 대해서는 "2004년 7월 실시협약 당시 각종 문제가 발생할 경우 국제중재를 신청할 수 있다는 내용이 있었기 때문"이라고 밝혔다.

국내가	국내/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
국제중재법원에	국제/NNG+중재/NNG+법원/NNG+에/JKB
중재를	중재/NNG+를/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
이유에	이유/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
"2004년	"/SS+2004/SN+년/NNB
7월	7/SN+월/NNB
실시협약	실시/NNG+협약/NNG
당시	당시/NNG
각종	각종/NNG
문제가	문제/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
국제중재를	국제/NNG+중재/NNG+를/JKO
신청할	신청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
내용이	내용/NNG+이/JKS
있었기	있/VA+었/EP+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.363.5.2
당시 협약에 국제중재를 명문화한 것은 용인경전철을 위한 민간자본 투자액 7000여억원 가운데 해외자본인 캐나다 봄바디어사의 자금이 400억~500억원쯤 포함돼 있기 때문이다.

당시	당시/NNG
협약에	협약/NNG+에/JKB
국제중재를	국제/NNG+중재/NNG+를/JKO
명문화한	명문/NNG+화/XSN+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
용인경전철을	용인경전철/NNP+을/JKO
위한	위하/VV+ㄴ/ETM
민간자본	민간/NNG+자본/NNG
투자액	투자액/NNG
7000여억원	7000/SN+여/XSN+억/NR+원/NNB
가운데	가운데/NNG
해외자본인	해외/NNG+자본/NNG+이/VCP+ㄴ/ETM
캐나다	캐나다/NNP
봄바디어사의	봄바디어사/NNP+의/JKG
자금이	자금/NNG+이/JKS
400억~500억원쯤	400/SN+억/NR+~/SO+500/SN+억/NR+원/NNB+쯤/XSN
포함돼	포함/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.363.6.1
용인경전철(주)은 이와 함께 이날 오전 수원지방법원에 제기했던 준공확인 및 운영개시를 요구하는 가처분신청을 취하했다.

용인경전철(주)은	용인경전철/NNP+(/SS+주/NNG+)/SS+은/JX
이와	이/NP+와/JKB
함께	함께/MAG
이날	이날/NNG
오전	오전/NNG
수원지방법원에	수원지방법원/NNP+에/JKB
제기했던	제기/NNG+하/XSV+았/EP+던/ETM
준공확인	준공/NNG+확인/NNG
및	및/MAG
운영개시를	운영/NNG+개시/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
가처분신청을	가/XPN+처분/NNG+신청/NNG+을/JKO
취하했다.	취하/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.363.6.2
회사측은 "국제중재까지 신청한 상황에서 더는 경전철 운영 개시를 위한 법적 절차가 필요하지 않게 됐다"고 말했다.

회사측은	회사/NNG+측/NNB+은/JX
"국제중재까지	"/SS+국제/NNG+중재/NNG+까지/JX
신청한	신청/NNG+하/XSV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
더는	더/MAG+는/JX
경전철	경전철/NNG
운영	운영/NNG
개시를	개시/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
법적	법/NNG+적/XSN
절차가	절차/NNG+가/JKS
필요하지	필요/NNG+하/XSA+지/EC
않게	않/VX+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.363.7.1
이에 따라 갈등을 빚어온 용인경전철 개통 문제는 3개월~1년 넘게 소요되는 국제중재법원의 중재 절차에 따라 운명이 결정되게 됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
갈등을	갈등/NNG+을/JKO
빚어온	빚/VV+어/EC+오/VX+ㄴ/ETM
용인경전철	용인경전철/NNP
개통	개통/NNG
문제는	문제/NNG+는/JX
3개월~1년	3/SN+개월/NNB+~/SO+1/SN+년/NNB
