# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.441
metadata : {}


# id : NWRW1800000022.441.1.1
[브리핑]청와대 행정관 팔아 대출 알선 사기

[브리핑]청와대	[/SS+브리핑/NNG+]/SS+청와대/NNP
행정관	행정관/NNG
팔아	팔/VV+아/EC
대출	대출/NNG
알선	알선/NNG
사기	사기/NNG


# id : NWRW1800000022.441.2.1
서울중앙지검 특수3부(부장 양부남)는 14일 청와대 행정관을 통해 은행으로부터 200억원을 대출받을 수 있게 알선해주겠다며 중소기업 대표로부터 수천만원을 받은 혐의로 이모(45)씨를 구속했다.

서울중앙지검	서울중앙지검/NNP
특수3부(부장	특수/NNG+3/SN+부/NNG+(/SS+부장/NNG
양부남)는	양부남/NNP+)/SS+는/JX
14일	14/SN+일/NNB
청와대	청와대/NNP
행정관을	행정관/NNG+을/JKO
통해	통하/VV+아/EC
은행으로부터	은행/NNG+으로부터/JKB
200억원을	200/SN+억/NR+원/NNB+을/JKO
대출받을	대출/NNG+받/XSV+을/ETM
수	수/NNB
있게	있/VA+게/EC
알선해주겠다며	알선/NNG+하/XSV+아/EC+주/VX+겠/EP+다며/EC
중소기업	중소기업/NNG
대표로부터	대표/NNG+로부터/JKB
수천만원을	수천만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
이모(45)씨를	이/NNP+모/NP+(/SS+45/SN+)/SS+씨/NNB+를/JKO
구속했다.	구속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.441.3.1
검찰에 따르면 이씨는 지난 2월 중소기업인 K금속 대표 오모씨로부터 A은행에서 200억원의 대출을 받을 수 있게 해 달라는 부탁과 함께 4500만원을 받은 혐의를 받고 있다.

검찰에	검찰/NNG+에/JKB
따르면	따르/VV+면/EC
이씨는	이/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
중소기업인	중소기업/NNG+이/VCP+ㄴ/ETM
K금속	K/SL+금속/NNG
대표	대표/NNG
오모씨로부터	오/NNP+모/NP+씨/NNB+로부터/JKB
A은행에서	A/SL+은행/NNG+에서/JKB
200억원의	200/SN+억/NR+원/NNB+의/JKG
대출을	대출/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
해	하/VX+아/EC
달라는	달/VX+라는/ETM
부탁과	부탁/NNG+과/JKB
함께	함께/MAG
4500만원을	4500/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.441.4.1
검찰은 이씨가 돈을 받으면서 "청와대 모 행정관과 A은행 부행장에게 부탁해주겠다"고 말하고, 실제로 오씨와 A은행 부행장을 연결해주기 위해 청와대 모 행정관과 접촉한 정황을 파악하고 부당한 대출 압력이 있었는지 확인 중인 것으로 알려졌다.

검찰은	검찰/NNG+은/JX
이씨가	이/NNP+씨/NNB+가/JKS
돈을	돈/NNG+을/JKO
받으면서	받/VV+으면서/EC
"청와대	"/SS+청와대/NNP
모	모/MMD
행정관과	행정관/NNG+과/JKB
A은행	A/SL+은행/NNG
부행장에게	부행장/NNG+에게/JKB
부탁해주겠다"고	부탁/NNG+하/XSV+아/EC+주/VX+겠/EP+다/EF+"/SS+고/JKQ
말하고,	말/NNG+하/XSV+고/EC+,/SP
실제로	실제로/MAG
오씨와	오/NNP+씨/NNB+와/JC
부행장을	부행장/NNG+을/JKO
연결해주기	연결/NNG+하/XSV+아/EC+주/VX+기/ETN
위해	위하/VV+아/EC
청와대	청와대/NNP
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
정황을	정황/NNG+을/JKO
파악하고	파악/NNG+하/XSV+고/EC
부당한	부당/NNG+하/XSA+ㄴ/ETM
대출	대출/NNG
압력이	압력/NNG+이/JKS
있었는지	있/VA+었/EP+는지/EF
확인	확인/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


