# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.393
metadata : {}


# id : NWRW1800000046.393.1.1
"노무현은 변형된 공산주의자" 고영주 이사장(방문진) 발언 또 시끌

"노무현은	"/SS+노무현/NNP+은/JX
변형된	변형/NNG+되/XSV+ㄴ/ETM
공산주의자"	공산주의자/NNG+"/SS
고영주	고영주/NNP
이사장(방문진)	이사장/NNG+(/SS+방문진/NNG+)/SS
발언	발언/NNG
또	또/MAG
시끌	시끌/XR


# id : NWRW1800000046.393.2.1
"법원에도 김일성 장학생"… 野 "한국의 매카시" 맹공

"법원에도	"/SS+법원/NNG+에/JKB+도/JX
김일성	김일성/NNP
장학생"…	장학/NNG+생/XSN+"/SS+…/SE
野	野/SH
"한국의	"/SS+한국/NNP+의/JKG
매카시"	매카시/NNP+"/SS
맹공	맹공/NNG


# id : NWRW1800000046.393.3.1
국회 미래창조과학방송통신위의 6일 방송통신위원회 종합 국정감사는 "새정치민주연합 문재인 대표는 공산주의자다"라고 말했던 고영주(66·사진) 방송문화진흥회 이사장의 발언 때문에 또 한 번 시끄러웠다.

국회	국회/NNG
미래창조과학방송통신위의	미래/NNG+창조/NNG+과학/NNG+방송/NNG+통신위/NNG+의/JKG
6일	6/SN+일/NNB
방송통신위원회	방송/NNG+통신/NNG+위원회/NNG
종합	종합/NNG
국정감사는	국정/NNG+감사/NNG+는/JX
"새정치민주연합	"/SS+새정치민주연합/NNP
문재인	문재인/NNP
대표는	대표/NNG+는/JX
공산주의자다"라고	공산주의자/NNG+이/VCP+다/EF+"/SS+라고/JKQ
말했던	말/NNG+하/XSV+았/EP+던/ETM
고영주(66·사진)	고영주/NNP+(/SS+66/SN+·/SP+사진/NNG+)/SS
방송문화진흥회	방송/NNG+문화/NNG+진흥회/NNG
이사장의	이사장/NNG+의/JKG
발언	발언/NNG
때문에	때문/NNB+에/JKB
또	또/MAG
한	한/MMN
번	번/NNB
시끄러웠다.	시끄럽/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.393.4.1
방송문화진흥회는 문화방송(MBC)을 관리·감독하는 기구로 MBC 사장 임명권을 갖고 있다.

방송문화진흥회는	방송/NNG+문화/NNG+진흥회/NNG+는/JX
문화방송(MBC)을	문화방송/NNP+(/SS+MBC/SL+)/SS+을/JKO
관리·감독하는	관리/NNG+·/SP+감독/NNG+하/XSV+는/ETM
