# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.99
metadata : {}


# id : NWRW1800000030.99.1.1
"영화 '성춘향' 다시보니 신상옥 더 그리워"

"영화	"/SS+영화/NNG
'성춘향'	'/SS+성춘향/NNP+'/SS
다시보니	다시/MAG+보/VV+니/EC
신상옥	신상옥/NNP
더	더/MAG
그리워"	그립/VA+어/EF+"/SS


# id : NWRW1800000030.99.2.1
•개봉 50년 기념 상영회… 최은희씨 등 300명 참석

•개봉	•/SW+개봉/NNG
50년	50/SN+년/NNB
기념	기념/NNG
상영회…	상영회/NNG+…/SE
최은희씨	최은희/NNP+씨/NNB
등	등/NNB
300명	300/SN+명/NNB
참석	참석/NNG


# id : NWRW1800000030.99.3.1
12일 오후 서울 낙원동 허리우드클래식 극장에 원로 영화인들이 하나둘씩 모여들었다.

12일	12/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
낙원동	낙원동/NNP
허리우드클래식	허리우드클래식/NNP
극장에	극장/NNG+에/JKB
원로	원로/NNG
영화인들이	영화인/NNG+들/XSN+이/JKS
하나둘씩	하나둘/NNG+씩/XSN
모여들었다.	모여들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.99.3.2
1960년대 한국영화의 르네상스를 이끌었던 고(故) 신상옥 감독의 5주기와 그의 히트작 '성춘향'(1961) 개봉 50주년을 기념하는 상영회에 참석하기 위해서다.

1960년대	1960/SN+년대/NNB
한국영화의	한국/NNP+영화/NNG+의/JKG
르네상스를	르네상스/NNG+를/JKO
이끌었던	이끌/VV+었/EP+던/ETM
고(故)	고/MMA+(/SS+故/SH+)/SS
신상옥	신상옥/NNP
감독의	감독/NNG+의/JKG
5주기와	5/SN+주기/NNB+와/JC
그의	그/NP+의/JKG
히트작	히트작/NNG
'성춘향'(1961)	'/SS+성춘향/NNP+'/SS+(/SS+1961/SN+)/SS
개봉	개봉/NNG
50주년을	50/SN+주년/NNB+을/JKO
