# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.372
metadata : {}


# id : NWRW1800000033.372.1.1
시진핑, 김하중과 호형호제… 박준영과 “친한 친구”

시진핑,	시진핑/NNP+,/SP
김하중과	김하중/NNP+과/JKB
호형호제…	호형호제/NNG+…/SE
박준영과	박준영/NNP+과/JKB
“친한	“/SS+친하/VA+ㄴ/ETM
친구”	친구/NNG+”/SS


# id : NWRW1800000033.372.2.1
■ 한국 내 지인은 누구… 재계 구본무-이재용 등 교류

■	■/SW
한국	한국/NNP
내	내/NNB
지인은	지인/NNG+은/JX
누구…	누구/NP+…/SE
재계	재계/NNG
구본무-이재용	구본무/NNP+-/SO+이재용/NNP
등	등/NNB
교류	교류/NNG


# id : NWRW1800000033.372.3.1
15일 중국 공산당 총서기에 오를 시진핑(習近平) 국가부주석은 영도자(부총리)급 이상 지도자 가운데 한국 내 지인이 많은 편에 속한다.

15일	15/SN+일/NNB
중국	중국/NNP
공산당	공산당/NNP
총서기에	총서기/NNG+에/JKB
오를	오르/VV+ㄹ/ETM
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
국가부주석은	국가/NNG+부주석/NNG+은/JX
영도자(부총리)급	영도자/NNG+(/SS+부총리/NNG+)/SS+급/NNG
이상	이상/NNG
지도자	지도자/NNG
가운데	가운데/NNG
한국	한국/NNP
내	내/NNB
지인이	지인/NNG+이/JKS
많은	많/VA+은/ETM
편에	편/NNB+에/JKB
속한다.	속하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.372.3.2
또 한국 지도층 인사와 교류가 적지 않고 한국에 대해 친근감을 자주 표시하는 지도자다.

또	또/MAG
한국	한국/NNP
지도층	지도/NNG+층/XSN
인사와	인사/NNG+와/JKB
교류가	교류/NNG+가/JKS
적지	적/VA+지/EC
않고	않/VX+고/EC
한국에	한국/NNP+에/JKB
대해	대하/VV+아/EC
친근감을	친근감/NNG+을/JKO
자주	자주/MAG
표시하는	표시/NNG+하/XSV+는/ETM
지도자다.	지도자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.372.4.1
한국의 지도층 인사로 시 부주석과 교류를 가장 많이 한 사람은 박준영 전남도지사다.

한국의	한국/NNP+의/JKG
지도층	지도/NNG+층/XSN
인사로	인사/NNG+로/JKB
시	시/NNP
부주석과	부주석/NNG+과/JKB
교류를	교류/NNG+를/JKO
가장	가장/MAG
많이	많이/MAG
한	하/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
박준영	박준영/NNP
전남도지사다.	전남/NNP+도지사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.372.4.2
박 지사는 올해 4월 장시(江西) 성을 방문하는 길에 베이징(北京)에 들러 시 부주석을 만나 당초 예정했던 30분을 넘겨 1시간가량 환담했다.

박	박/NNP
지사는	지사/NNG+는/JX
올해	올해/NNG
4월	4/SN+월/NNB
장시(江西)	장시/NNP+(/SS+江西/SH+)/SS
성을	성/NNG+을/JKO
방문하는	방문/NNG+하/XSV+는/ETM
길에	길/NNG+에/JKB
베이징(北京)에	베이징/NNP+(/SS+北京/SH+)/SS+에/JKB
들러	들르/VV+어/EC
시	시/NNP
부주석을	부주석/NNG+을/JKO
만나	만나/VV+아/EC
당초	당초/NNG
예정했던	예정/NNG+하/XSV+았/EP+던/ETM
30분을	30/SN+분/NNB+을/JKO
넘겨	넘기/VV+어/EC
1시간가량	1/SN+시간/NNB+가량/XSN
환담했다.	환담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.372.4.3
시 부주석은 당시 박 지사를 ‘라오펑유(老朋·친한 친구라는 뜻)’라고 불렀다.

시	시/NNP
부주석은	부주석/NNG+은/JX
당시	당시/NNG
박	박/NNP
지사를	지사/NNG+를/JKO
‘라오펑유(老朋·친한	‘/SS+라오펑유/NA+(/SS+老朋/SH+·/SP+친하/VA+ㄴ/ETM
친구라는	친구/NNG+이/VCP+라는/ETM
뜻)’라고	뜻/NNG+)/SS+’/SS+라고/JKQ
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.372.4.4
시 부주석이 상하이(上海) 당 서기이던 2007년 박 지사가 그를 만났을 때는 대한민국의 상하이 임시정부 청사가 헐릴 위기에 있다는 얘기를 하자 현장에서 즉각 지시해 보존조치를 해주기도 했다.

시	시/NNP
부주석이	부주석/NNG+이/JKS
상하이(上海)	상하이/NNP+(/SS+上海/SH+)/SS
당	당/NNG
서기이던	서기/NNG+이/VCP+던/ETM
2007년	2007/SN+년/NNB
박	박/NNP
지사가	지사/NNG+가/JKS
그를	그/NP+를/JKO
만났을	만나/VV+았/EP+을/ETM
때는	때/NNG+는/JX
대한민국의	대한민국/NNP+의/JKG
상하이	상하이/NNP
임시정부	임시/NNG+정부/NNG
청사가	청사/NNG+가/JKS
헐릴	헐리/VV+ㄹ/ETM
위기에	위기/NNG+에/JKB
있다는	있/VA+다는/ETM
얘기를	얘기/NNG+를/JKO
하자	하/VV+자/EC
현장에서	현장/NNG+에서/JKB
즉각	즉각/MAG
지시해	지시/NNG+하/XSV+아/EC
보존조치를	보존/NNG+조치/NNG+를/JKO
해주기도	하/VV+아/EC+주/VX+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.372.5.1
시 부주석과 가장 두터운 인연을 맺은 인사는 김하중 전 주중대사다.

시	시/NNP
부주석과	부주석/NNG+과/JKB
가장	가장/MAG
두터운	두텁/VA+ㄴ/ETM
인연을	인연/NNG+을/JKO
맺은	맺/VV+은/ETM
인사는	인사/NNG+는/JX
김하중	김하중/NNP
전	전/MMD
주중대사다.	주중/NNG+대사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.372.5.2
김 전 대사는 시 부주석이 지방 성장과 지방 당서기를 하던 때부터 호형호제(呼兄呼弟)하며 알고 지내온 것으로 알려졌다.

김	김/NNP
전	전/MMD
대사는	대사/NNG+는/JX
시	시/NNP
부주석이	부주석/NNG+이/JKS
지방	지방/NNG
성장과	성장/NNG+과/JC
당서기를	당/NNG+서기/NNG+를/JKO
하던	하/VV+던/ETM
때부터	때/NNG+부터/JX
호형호제(呼兄呼弟)하며	호형호제/NNG+(/SS+呼兄呼弟/SH+)/SS+하/XSV+며/EC
알고	알/VV+고/EC
지내온	지내/VV+어/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.372.5.3
김 전 대사는 1947년생으로 시 부주석보다 일곱 살 많다.

김	김/NNP
전	전/MMD
대사는	대사/NNG+는/JX
1947년생으로	1947/SN+년/NNB+생/XSN+으로/JKB
시	시/NNP
부주석보다	부주석/NNG+보다/JKB
일곱	일곱/NR
살	살/NNB
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.372.6.1
신정승 전 주중대사도 시 부주석을 지근거리에서 지켜본 경험이 있다.

신정승	신정승/NNP
전	전/MMD
