# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.37
metadata : {}


# id : NWRW1800000029.37.1.1
“70세는 넘어야 노인” 68%

“70세는	“/SS+70/SN+세/NNB+는/JX
넘어야	넘/VV+어야/EC
노인”	노인/NNG+”/SS
68%	68/SN+%/SW


# id : NWRW1800000029.37.2.1
교보생명, 40∼69세 1000명 조사

교보생명,	교보생명/NNP+,/SP
40∼69세	40/SN+∼/SO+69/SN+세/NNB
1000명	1000/SN+명/NNB
조사	조사/NNG


# id : NWRW1800000029.37.3.1
40대 이상 중장년층 10명 중 7명은 70세는 돼야 ‘노인’이라고 생각하는 것으로 나타났다.

40대	40/SN+대/NNB
이상	이상/NNG
중장년층	중장년/NNG+층/XSN
10명	10/SN+명/NNB
중	중/NNB
7명은	7/SN+명/NNB+은/JX
70세는	70/SN+세/NNB+는/JX
돼야	되/VV+어야/EC
‘노인’이라고	‘/SS+노인/NNG+’/SS+이라고/JKQ
생각하는	생각/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.37.3.2
15일 교보생명과 컨설팅업체인 시니어파트너즈가 공동 조사해 발표한 보고서에 따르면 40∼69세 남녀 1000명 중 54.4%가 70∼74세는 돼야 노인 세대로 진입한 것이라고 응답했다.

15일	15/SN+일/NNB
교보생명과	교보생명/NNP+과/JC
컨설팅업체인	컨설팅/NNG+업체/NNG+이/VCP+ㄴ/ETM
시니어파트너즈가	시니어파트너즈/NNP+가/JKS
공동	공동/NNG
조사해	조사/NNG+하/XSV+아/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
보고서에	보고서/NNG+에/JKB
따르면	따르/VV+면/EC
40∼69세	40/SN+∼/SO+69/SN+세/NNB
남녀	남녀/NNG
1000명	1000/SN+명/NNB
중	중/NNB
54.4%가	54/SN+./SP+4/SN+%/SW+가/JKS
70∼74세는	70/SN+∼/SO+74/SN+세/NNB+는/JX
돼야	되/VV+어야/EC
노인	노인/NNG
세대로	세대/NNG+로/JKB
진입한	진입/NNG+하/XSV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.37.3.3
65∼69세라는 응답은 26.5%였고 75세는 넘어야 한다는 답변이 14.4%, 60∼64세라는 답은 4.7%였다.

65∼69세라는	65/SN+∼/SO+69/SN+세/NNB+이/VCP+라는/ETM
응답은	응답/NNG+은/JX
26.5%였고	26/SN+./SP+5/SN+%/SW+이/VCP+었/EP+고/EC
75세는	75/SN+세/NNB+는/JX
넘어야	넘/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
답변이	답변/NNG+이/JKS
14.4%,	14/SN+./SP+4/SN+%/SW+,/SP
60∼64세라는	60/SN+∼/SO+64/SN+세/NNB+이/VCP+라는/ETM
답은	답/NNG+은/JX
4.7%였다.	4/SN+./SP+7/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.37.4.1
또 이들은 본인의 실제 나이보다 평균 7.7세는 젊게 느끼고 있었다.

또	또/MAG
이들은	이/NP+들/XSN+은/JX
본인의	본인/NNG+의/JKG
실제	실제/NNG
나이보다	나이/NNG+보다/JKB
평균	평균/NNG
7.7세는	7/SN+./SP+7/SN+세/NNB+는/JX
젊게	젊/VA+게/EC
느끼고	느끼/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.37.4.2
심리적 나이와 실제 나이 차에 대해 응답자의 36.9%가 자신이 실제 나이보다 6∼10세 젊다고 답했고 26.2%는 1∼5세 젊다고 했다.

심리적	심리/NNG+적/XSN
나이와	나이/NNG+와/JC
실제	실제/NNG
나이	나이/NNG
차에	차/NNG+에/JKB
대해	대하/VV+아/EC
응답자의	응답자/NNG+의/JKG
36.9%가	36/SN+./SP+9/SN+%/SW+가/JKS
자신이	자신/NNG+이/JKS
나이보다	나이/NNG+보다/JKB
6∼10세	6/SN+∼/SO+10/SN+세/NNB
젊다고	젊/VA+다고/EC
답했고	답/NNG+하/XSV+았/EP+고/EC
26.2%는	26/SN+./SP+2/SN+%/SW+는/JX
1∼5세	1/SN+∼/SO+5/SN+세/NNB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.37.4.3
11∼15세 젊다고 느끼는 응답자도 16.6%에 이르렀다.

11∼15세	11/SN+∼/SO+15/SN+세/NNB
젊다고	젊/VA+다고/EC
느끼는	느끼/VV+는/ETM
응답자도	응답자/NNG+도/JX
16.6%에	16/SN+./SP+6/SN+%/SW+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.37.4.4
사회활동 기회 확대와 평균수명 증가로 실제 나이보다 젊게 사고하고 행동하는 시니어 그룹이 꾸준히 늘고 있는 것으로 풀이된다.

사회활동	사회/NNG+활동/NNG
기회	기회/NNG
확대와	확대/NNG+와/JC
평균수명	평균/NNG+수명/NNG
증가로	증가/NNG+로/JKB
실제	실제/NNG
나이보다	나이/NNG+보다/JKB
젊게	젊/VA+게/EC
사고하고	사고/NNG+하/XSV+고/EC
행동하는	행동/NNG+하/XSV+는/ETM
시니어	시니어/NNG
그룹이	그룹/NNG+이/JKS
꾸준히	꾸준히/MAG
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.37.4.5
선호하는 호칭도 응답자의 56.4%가 ‘시니어’를 꼽았고, 이어 ‘실버’가 22.1%, ‘액티브 시니어’ 13.4%였다.

선호하는	선호/NNG+하/XSV+는/ETM
호칭도	호칭/NNG+도/JX
응답자의	응답자/NNG+의/JKG
56.4%가	56/SN+./SP+4/SN+%/SW+가/JKS
‘시니어’를	‘/SS+시니어/NNG+’/SS+를/JKO
꼽았고,	꼽/VV+았/EP+고/EC+,/SP
이어	이어/MAG
‘실버’가	‘/SS+실버/NNG+’/SS+가/JKS
22.1%,	22/SN+./SP+1/SN+%/SW+,/SP
‘액티브	‘/SS+액티브/NNG
시니어’	시니어/NNG+’/SS
13.4%였다.	13/SN+./SP+4/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.37.4.6
고령자(5.7%)나 노인(2.3%)이라는 표현을 선택한 응답자는 적었다.

고령자(5.7%)나	고령자/NNG+(/SS+5/SN+./SP+7/SN+%/SW+)/SS+나/JC
노인(2.3%)이라는	노인/NNG+(/SS+2/SN+./SP+3/SN+%/SW+)/SS+이/VCP+라는/ETM
표현을	표현/NNG+을/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
응답자는	응답자/NNG+는/JX
적었다.	적/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.37.5.1
다만 노후준비 상황은 이상과 현실 간 괴리가 컸다.

다만	다만/MAG
노후준비	노후/NNG+준비/NNG
상황은	상황/NNG+은/JX
이상과	이상/NNG+과/JKB
현실	현실/NNG
간	간/NNB
괴리가	괴리/NNG+가/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.37.5.2
응답자들은 풍요로운 노후를 위해 평균 2억9000만 원의 노후생활자금이 필요하다고 밝혔지만 실제로 준비한 돈은 평균 1억 원에 그쳐 1억9000만 원의 차가 있었다.

응답자들은	응답자/NNG+들/XSN+은/JX
풍요로운	풍요/NNG+롭/XSA+ㄴ/ETM
노후를	노후/NNG+를/JKO
위해	위하/VV+아/EC
평균	평균/NNG
2억9000만	2/SN+억/NR+9000/SN+만/NR
원의	원/NNB+의/JKG
노후생활자금이	노후/NNG+생활/NNG+자금/NNG+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
밝혔지만	밝히/VV+었/EP+지만/EC
실제로	실제로/MAG
준비한	준비/NNG+하/XSV+ㄴ/ETM
돈은	돈/NNG+은/JX
1억	1/SN+억/NR
원에	원/NNB+에/JKB
그쳐	그치/VV+어/EC
1억9000만	1/SN+억/NR+9000/SN+만/NR
차가	차/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.37.6.1
교보생명은 “우리나라 시니어 세대가 노후를 불안해하긴 하지만 독립적이고 여유 있는 생활을 위해 능동적으로 삶을 꾸리려는 성향이 강한 것으로 나타났다”며 “이들은 과거 세대보다 훨씬 적극적으로 각종 경제활동에 참여하려는 의지를 보이고 있다”고 말했다.

교보생명은	교보생명/NNP+은/JX
“우리나라	“/SS+우리나라/NNG
시니어	시니어/NNG
세대가	세대/NNG+가/JKS
노후를	노후/NNG+를/JKO
불안해하긴	불안/NNG+하/XSA+아/EC+하/VX+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
독립적이고	독립/NNG+적/XSN+이/VCP+고/EC
여유	여유/NNG
있는	있/VA+는/ETM
생활을	생활/NNG+을/JKO
위해	위하/VV+아/EC
능동적으로	능동/NNG+적/XSN+으로/JKB
삶을	삶/NNG+을/JKO
꾸리려는	꾸리/VV+려는/ETM
성향이	성향/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다”며	나타나/VV+았/EP+다/EF+”/SS+며/EC
“이들은	“/SS+이/NP+들/XSN+은/JX
과거	과거/NNG
세대보다	세대/NNG+보다/JKB
훨씬	훨씬/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
각종	각종/NNG
경제활동에	경제/NNG+활동/NNG+에/JKB
참여하려는	참여/NNG+하/XSV+려는/ETM
의지를	의지/NNG+를/JKO
보이고	보이/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


