# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.419
metadata : {}


# id : NWRW1800000032.419.1.1
야권통합정당 내달17일 출범 지도부 선출 ‘박원순식 경선’

야권통합정당	야권/NNG+통합/NNG+정당/NNG
내달17일	내달/NNG+17/SN+일/NNB
출범	출범/NNG
지도부	지도부/NNG
선출	선출/NNG
‘박원순식	‘/SS+박원순식/NNG
경선’	경선/NNG+’/SS


# id : NWRW1800000032.419.2.1
당원·국민 동등조건 참여

당원·국민	당원/NNG+·/SP+국민/NNG
동등조건	동등/NNG+조건/NNG
참여	참여/NNG


# id : NWRW1800000032.419.3.1
지역구는 국민경선 원칙

지역구는	지역구/NNG+는/JX
국민경선	국민/NNG+경선/NNG
원칙	원칙/NNG


# id : NWRW1800000032.419.4.1
비례는 시민·노동몫 배려

비례는	비례/NNG+는/JX
시민·노동몫	시민/NNG+·/SP+노동/NNG+몫/NNG
배려	배려/NNG


# id : NWRW1800000032.419.5.1
민주당과 ‘혁신과 통합’, 한국노총, 시민사회가 참여해 다음달 17일 출범을 목표로 하고 있는 ‘민주진보시민통합정당’(가칭) 지도부는 당원과 국민이 함께 참여하는 ‘박원순식 경선’을 거쳐 선출될 것으로 보인다.

민주당과	민주당/NNP+과/JC
‘혁신과	‘/SS+혁신/NNG+과/JC
통합’,	통합/NNG+’/SS+,/SP
한국노총,	한국노총/NNP+,/SP
시민사회가	시민/NNG+사회/NNG+가/JKS
참여해	참여/NNG+하/XSV+아/EC
다음달	다음/NNG+달/NNG
17일	17/SN+일/NNB
출범을	출범/NNG+을/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있는	있/VX+는/ETM
‘민주진보시민통합정당’(가칭)	‘/SS+민주진보시민통합정당/NNP+’/SS+(/SS+가칭/NNG+)/SS
지도부는	지도부/NNG+는/JX
당원과	당원/NNG+과/JC
국민이	국민/NNG+이/JKS
함께	함께/MAG
참여하는	참여/NNG+하/XSV+는/ETM
‘박원순식	‘/SS+박원순식/NNG
경선’을	경선/NNG+’/SS+을/JKO
거쳐	거치/VV+어/EC
선출될	선출/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.419.6.1
‘민주진보 및 시민노동 통합정당 출범을 위한 대표자 연석회의’는 20일 국회에서 첫 모임을 열고, “민주당원 및 시민, 노동, 진보세력이 골고루 참여하는 혁신과 통합을 지향한다”며 “지도부 구성과 공직후보 결정에 이러한 정신을 반영하기로 합의했다”고 밝혔다.

‘민주진보	‘/SS+민주/NNG+진보/NNG
및	및/MAG
시민노동	시민/NNG+노동/NNG
통합정당	통합/NNG+정당/NNG
출범을	출범/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대표자	대표자/NNG
연석회의’는	연석회의/NNG+’/SS+는/JX
20일	20/SN+일/NNB
국회에서	국회/NNG+에서/JKB
첫	첫/MMN
모임을	모임/NNG+을/JKO
열고,	열/VV+고/EC+,/SP
“민주당원	“/SS+민주당원/NNG
시민,	시민/NNG+,/SP
노동,	노동/NNG+,/SP
진보세력이	진보/NNG+세력/NNG+이/JKS
골고루	골고루/MAG
참여하는	참여/NNG+하/XSV+는/ETM
혁신과	혁신/NNG+과/JC
통합을	통합/NNG+을/JKO
지향한다”며	지향/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“지도부	“/SS+지도부/NNG
구성과	구성/NNG+과/JC
공직후보	공직/NNG+후보/NNG
결정에	결정/NNG+에/JKB
이러한	이러하/VA+ㄴ/ETM
정신을	정신/NNG+을/JKO
반영하기로	반영/NNG+하/XSV+기/ETN+로/JKB
합의했다”고	합의/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.419.6.2
지난달 범야권이 박원순 후보를 서울시장 후보로 선출했을 때처럼 당원과 시민이 동등한 조건에서 참여할 수 있는 규칙을 만든다는 뜻이다.

지난달	지난달/NNG
범야권이	범/XPN+야권/NNG+이/JKS
박원순	박원순/NNP
후보를	후보/NNG+를/JKO
서울시장	서울시장/NNG
후보로	후보/NNG+로/JKB
선출했을	선출/NNG+하/XSV+았/EP+을/ETM
때처럼	때/NNG+처럼/JKB
당원과	당원/NNG+과/JC
시민이	시민/NNG+이/JKS
동등한	동등/NNG+하/XSA+ㄴ/ETM
조건에서	조건/NNG+에서/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
규칙을	규칙/NNG+을/JKO
만든다는	만들/VV+ㄴ다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.419.6.3
연석회의는 또한 총선 공천과 관련해서는 “지분 나누기는 없으며, 지역구는 국민경선을 원칙으로 한다”면서도 “새로운 참여세력을 적극적으로 배려할 것”이라고 설명했다.

연석회의는	연석회의/NNG+는/JX
또한	또한/MAG
총선	총선/NNG
공천과	공천/NNG+과/JKB
관련해서는	관련/NNG+하/XSV+아서/EC+는/JX
“지분	“/SS+지분/NNG
나누기는	나누/VV+기/ETN+는/JX
없으며,	없/VA+으며/EC+,/SP
지역구는	지역구/NNG+는/JX
국민경선을	국민/NNG+경선/NNG+을/JKO
원칙으로	원칙/NNG+으로/JKB
한다”면서도	하/VV+ㄴ다/EF+”/SS+면서/EC+도/JX
“새로운	“/SS+새롭/VA+ㄴ/ETM
참여세력을	참여/NNG+세력/NNG+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
배려할	배려/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.419.6.4
비례대표와 전략공천 지역에 시민·노동사회 몫을 배정하겠다는 것으로 풀이된다.

비례대표와	비례/NNG+대표/NNG+와/JC
전략공천	전략/NNG+공천/NNG
지역에	지역/NNG+에/JKB
시민·노동사회	시민/NNG+·/SP+노동/NNG+사회/NNG
몫을	몫/NNG+을/JKO
배정하겠다는	배정/NNG+하/XSV+겠/EP+다는/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.419.7.1
연석회의는 주요 정당·단체가 참여하는 통합추진소위를 꾸려 21일부터 정강·정책, 당헌·당규 등을 협의하기로 했다.

연석회의는	연석회의/NNG+는/JX
주요	주요/NNG
정당·단체가	정당/NNG+·/SP+단체/NNG+가/JKS
참여하는	참여/NNG+하/XSV+는/ETM
통합추진소위를	통합/NNG+추진/NNG+소위/NNG+를/JKO
꾸려	꾸리/VV+어/EC
21일부터	21/SN+일/NNB+부터/JX
정강·정책,	정강/NNG+·/SP+정책/NNG+,/SP
당헌·당규	당헌/NNG+·/SP+당규/NNG
등을	등/NNB+을/JKO
협의하기로	협의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.419.7.2
늦어도 27일까지는 지도부 구성 등 논의를 마무리짓고 창당준비위를 구성해 다음달 17일까지는 통합정당을 출범시킨다는 계획이다.

늦어도	늦/VA+어도/EC
27일까지는	27/SN+일/NNB+까지/JX+는/JX
지도부	지도부/NNG
구성	구성/NNG
등	등/NNB
논의를	논의/NNG+를/JKO
마무리짓고	마무리/NNG+짓/VV+고/EC
창당준비위를	창당/NNG+준비위/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
다음달	다음/NNG+달/NNG
17일까지는	17/SN+일/NNB+까지/JX+는/JX
통합정당을	통합/NNG+정당/NNG+을/JKO
출범시킨다는	출범/NNG+시키/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.419.8.1
이날 연석회의에는 손학규 대표 등 민주당 최고위원단, 이해찬 전 총리와 문재인 노무현재단 이사장 등 ‘혁신과 통합’의 상임대표단, 한국노총 대표단, 그리고 진보통합시민회의, 복지국가소사이어티, 민주평화복지포럼 대표들이 참석했다.

이날	이날/NNG
연석회의에는	연석회의/NNG+에/JKB+는/JX
손학규	손학규/NNP
대표	대표/NNG
등	등/NNB
민주당	민주당/NNP
최고위원단,	최고/NNG+위원단/NNG+,/SP
이해찬	이해찬/NNP
전	전/MMD
총리와	총리/NNG+와/JC
문재인	문재인/NNP
노무현재단	노무현재단/NNP
이사장	이사장/NNG
‘혁신과	‘/SS+혁신/NNG+과/JC
통합’의	통합/NNG+’/SS+의/JKG
상임대표단,	상임/NNG+대표단/NNG+,/SP
한국노총	한국노총/NNP
대표단,	대표단/NNG+,/SP
그리고	그리고/MAJ
진보통합시민회의,	진보/NNG+통합/NNG+시민/NNG+회의/NNG+,/SP
복지국가소사이어티,	복지국가소사이어티/NNP+,/SP
민주평화복지포럼	민주/NNG+평화/NNG+복지/NNG+포럼/NNG
대표들이	대표/NNG+들/XSN+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.419.8.2
이밖에도 박원순 서울시장과 김두관 경남지사를 대신해 김형주 정무부시장과 허성무 정무부지사가 참석했고, 창조한국당과 민주노총 사무금융노조 전·현직위원장 모임도 함께해, 참석자는 모두 24명에 이르렀다.

이밖에도	이/NP+밖/NNG+에/JKB+도/JX
박원순	박원순/NNP
서울시장과	서울시장/NNG+과/JKB
김두관	김두관/NNP
경남지사를	경남/NNP+지사/NNG+를/JKO
대신해	대신/NNG+하/XSV+아/EC
김형주	김형주/NNP
정무부시장과	정무/NNG+부시장/NNG+과/JC
허성무	허성무/NNP
정무부지사가	정무/NNG+부지사/NNG+가/JKS
참석했고,	참석/NNG+하/XSV+았/EP+고/EC+,/SP
창조한국당과	창조한국당/NNP+과/JC
민주노총	민주노총/NNP
사무금융노조	사무금융노조/NNP
전·현직위원장	전·현직/NNG+위원장/NNG
모임도	모임/NNG+도/JX
함께해,	함께/MAG+하/XSV+아/EC+,/SP
참석자는	참석자/NNG+는/JX
모두	모두/MAG
24명에	24/SN+명/NNB+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.419.8.3
주요 정치세력 지형에서 보면 통합진보정당과 진보신당을 뺀 나머지 야권의 총체적 모임에 가까운 규모다.

주요	주요/NNG
정치세력	정치/NNG+세력/NNG
지형에서	지형/NNG+에서/JKB
보면	보/VV+면/EC
통합진보정당과	통합진보정당/NNP+과/JC
진보신당을	진보신당/NNP+을/JKO
뺀	빼/VV+ㄴ/ETM
나머지	나머지/NNG
야권의	야권/NNG+의/JKG
총체적	총체/NNG+적/XSN
모임에	모임/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.419.9.1
관건은 민주당 내부 정리다.

관건은	관건/NNG+은/JX
민주당	민주당/NNP
내부	내부/NNG
정리다.	정리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.419.9.2
손학규 대표와 정동영 최고위원 등 지도부의 ‘완전개방형 통합전대론’과 박지원 의원 등의 ‘민주당 독자전대 우선론’ 의 갈등은 아직 해소되지 않고 있다.

손학규	손학규/NNP
대표와	대표/NNG+와/JC
정동영	정동영/NNP
최고위원	최고/NNG+위원/NNG
등	등/NNB
지도부의	지도부/NNG+의/JKG
‘완전개방형	‘/SS+완전/NNG+개방/NNG+형/XSN
통합전대론’과	통합/NNG+전대/NNG+론/XSN+’/SS+과/JC
박지원	박지원/NNP
의원	의원/NNG
등의	등/NNB+의/JKG
‘민주당	‘/SS+민주당/NNP
독자전대	독자/NNG+전대/NNG
우선론’	우선/NNG+론/XSN+’/SS
의	의/JKG
갈등은	갈등/NNG+은/JX
아직	아직/MAG
해소되지	해소/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.419.9.3
박 의원은 20일 “통합·연합을 반대하는 사람은 하나도 없다. (하지만) 전당대회만은 모든 당원이 합의를 해야 하는 것”이라며 “12월17일 오전 (민주당 별도의) 전당대회에서 사실상 모든 게 이뤄져야 한다”고 말했다.

박	박/NNP
의원은	의원/NNG+은/JX
20일	20/SN+일/NNB
“통합·연합을	“/SS+통합/NNG+·/SP+연합/NNG+을/JKO
반대하는	반대/NNG+하/XSV+는/ETM
사람은	사람/NNG+은/JX
하나도	하나/NR+도/JX
없다.	없/VA+다/EF+./SF
(하지만)	(/SS+하지만/MAJ+)/SS
전당대회만은	전당/NNG+대회/NNG+만/JX+은/JX
모든	모든/MMN
당원이	당원/NNG+이/JKS
합의를	합의/NNG+를/JKO
해야	하/VV+아야/EC
하는	하/VX+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“12월17일	“/SS+12/SN+월/NNB+17/SN+일/NNB
오전	오전/NNG
(민주당	(/SS+민주당/NNP
별도의)	별도/NNG+의/JKG+)/SS
전당대회에서	전당/NNG+대회/NNG+에서/JKB
사실상	사실/NNG+상/XSN
게	거/NNB+이/JKS
이뤄져야	이뤄지/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.419.9.4
통합전당대회에 앞서 민주당 전당대회를 별도로 열어 통합을 의결하고 새 지도부를 꾸려야 한다는 얘기다.

통합전당대회에	통합/NNG+전당/NNG+대회/NNG+에/JKB
앞서	앞서/VV+어/EC
민주당	민주당/NNP
전당대회를	전당/NNG+대회/NNG+를/JKO
별도로	별도/NNG+로/JKB
열어	열/VV+어/EC
통합을	통합/NNG+을/JKO
의결하고	의결/NNG+하/XSV+고/EC
새	새/MMA
지도부를	지도부/NNG+를/JKO
꾸려야	꾸리/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


