# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.253
metadata : {}


# id : NWRW1800000033.253.1.1
정조국 우승축포… 2년 만에 다시 부르는 ‘서울 찬가’

정조국	정조국/NNP
우승축포…	우승/NNG+축포/NNG+…/SE
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
부르는	부르/VV+는/ETM
‘서울	‘/SS+서울/NNP
찬가’	찬가/NNG+’/SS


# id : NWRW1800000033.253.2.1
제주 1-0 꺾고 K리그 우승 확정 ‘이동국 2골’ 전북은 울산과 비겨

제주	제주/NNP
1-0	1/SN+-/SO+0/SN
꺾고	꺾/VV+고/EC
K리그	K/SL+리그/NNG
우승	우승/NNG
확정	확정/NNG
‘이동국	‘/SS+이동국/NNP
2골’	2/SN+골/NNG+’/SS
전북은	전북/NNP+은/JX
울산과	울산/NNP+과/JKB
비겨	비기/VV+어/EF


# id : NWRW1800000033.253.3.1
“우승하기에 가장 좋은 선수 구성을 갖추고 있다.”

“우승하기에	“/SS+우승/NNG+하/XSV+기/ETN+에/JKB
가장	가장/MAG
좋은	좋/VA+은/ETM
선수	선수/NNG
구성을	구성/NNG+을/JKO
갖추고	갖추/VV+고/EC
있다.”	있/VX+다/EF+./SF+”/SS


# id : NWRW1800000033.253.4.1
21일 서울월드컵경기장에서 서울의 우승을 지켜본 박경훈 제주 감독은 “우승할 팀이 했다”고 평가했다.

21일	21/SN+일/NNB
서울월드컵경기장에서	서울월드컵경기장/NNP+에서/JKB
서울의	서울/NNP+의/JKG
우승을	우승/NNG+을/JKO
지켜본	지켜보/VV+ㄴ/ETM
박경훈	박경훈/NNP
제주	제주/NNP
감독은	감독/NNG+은/JX
“우승할	“/SS+우승/NNG+하/XSV+ㄹ/ETM
팀이	팀/NNG+이/JKS
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.253.4.2
그는 “우승은 정말 아무나 하는 게 아니다.

그는	그/NP+는/JX
“우승은	“/SS+우승/NNG+은/JX
정말	정말/MAG
아무나	아무/NP+나/JX
하는	하/VV+는/ETM
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.253.4.3
감독의 지도력과 조직력, 정신력도 좋아야 하지만 무엇보다 선수층이 두꺼워야 한다.

감독의	감독/NNG+의/JKG
지도력과	지도력/NNG+과/JC
조직력,	조직력/NNG+,/SP
정신력도	정신력/NNG+도/JX
좋아야	좋/VA+아야/EC
하지만	하/VX+지만/EC
무엇보다	무엇/NP+보다/JKB
선수층이	선수/NNG+층/XSN+이/JKS
두꺼워야	두껍/VA+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.253.4.4
서울은 포지션별로 탄탄한 경기력을 갖췄다”고 말했다.

서울은	서울/NNP+은/JX
포지션별로	포지션/NNG+별/XSN+로/JKB
탄탄한	탄탄하/VA+ㄴ/ETM
경기력을	경기력/NNG+을/JKO
갖췄다”고	갖추/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.253.5.1
이날 정조국의 선제 결승골로 1-0으로 제주를 꺾은 서울은 스플릿시스템 A그룹에서 승점 90으로 울산과 3-3으로 비긴 전북(승점 78)을 따돌리고 2010년에 이어 2년 만에 정상에 복귀했다.

이날	이날/NNG
정조국의	정조국/NNP+의/JKG
선제	선제/NNG
결승골로	결승/NNG+골/NNG+로/JKB
1-0으로	1/SN+-/SO+0/SN+으로/JKB
제주를	제주/NNP+를/JKO
꺾은	꺾/VV+은/ETM
서울은	서울/NNP+은/JX
스플릿시스템	스플릿시스템/NNG
A그룹에서	A/SL+그룹/NNG+에서/JKB
승점	승점/NNG
90으로	90/SN+으로/JKB
울산과	울산/NNP+과/JKB
3-3으로	3/SN+-/SO+3/SN+으로/JKB
비긴	비기/VV+ㄴ/ETM
전북(승점	전북/NNP+(/SS+승점/NNG
78)을	78/SN+)/SS+을/JKO
따돌리고	따돌리/VV+고/EC
2010년에	2010/SN+년/NNB+에/JKB
이어	잇/VV+어/EC
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
정상에	정상/NNG+에/JKB
복귀했다.	복귀/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.253.5.2
3경기가 남아 있지만 전북이 다 이기고 서울이 다 져도 12점 차를 극복할 수 없다.

3경기가	3/SN+경기/NNG+가/JKS
남아	남/VV+아/EC
있지만	있/VX+지만/EC
전북이	전북/NNP+이/JKS
다	다/MAG
이기고	이기/VV+고/EC
서울이	서울/NNP+이/JKS
져도	지/VV+어도/EC
12점	12/SN+점/NNB
차를	차/NNG+를/JKO
극복할	극복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.253.6.1
박 감독의 지적처럼 서울은 가장 안정적인 경기력을 보유하고 있다.

박	박/NNP
감독의	감독/NNG+의/JKG
지적처럼	지적/NNG+처럼/JKB
서울은	서울/NNP+은/JX
가장	가장/MAG
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
경기력을	경기력/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.253.6.2
30골로 역대 한 시즌 최다골을 터뜨린 데얀과 17골, 18도움을 한 몰리나의 파괴력은 그야말로 핵폭탄 같다.

30골로	30/SN+골/NNG+로/JKB
역대	역대/NNG
한	하/VV+ㄴ/ETM
시즌	시즌/NNG
최다골을	최다/NNG+골/NNG+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
데얀과	데얀/NNP+과/JC
17골,	17/SN+골/NNG+,/SP
18도움을	18/SN+도움/NNG+을/JKO
몰리나의	몰리나/NNP+의/JKG
파괴력은	파괴력/NNG+은/JX
그야말로	그야말로/MAG
핵폭탄	핵폭탄/NNG
같다.	같/VA+다/EF+./SF


# id : NWRW1800000033.253.6.3
팀 득점(73)의 절반 이상을 둘이 책임졌다.

팀	팀/NNG
득점(73)의	득점/NNG+(/SS+73/SN+)/SS+의/JKG
절반	절반/NNG
이상을	이상/NNG+을/JKO
둘이	둘/NR+이/JKS
책임졌다.	책임지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.253.6.4
득점기계 데얀의 날카로움은 모든 K리그 감독들을 고민에 빠뜨렸다.

득점기계	득점/NNG+기계/NNG
데얀의	데얀/NNP+의/JKG
날카로움은	날카로움/NNG+은/JX
모든	모든/MMN
K리그	K/SL+리그/NNG
감독들을	감독/NNG+들/XSN+을/JKO
고민에	고민/NNG+에/JKB
빠뜨렸다.	빠뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.253.6.5
국가대표 하대성이 버틴 미드필드도 최강이다.

국가대표	국가/NNG+대표/NNG
하대성이	하대성/NNP+이/JKS
버틴	버티/VV+ㄴ/ETM
미드필드도	미드필드/NNG+도/JX
최강이다.	최강/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.253.6.6
중원사령관 하대성의 경기 조율과 몰리나의 환상 크로스, 에스쿠데로의 돌파도 일품이다.

중원사령관	중원/NNG+사령관/NNG
하대성의	하대성/NNP+의/JKG
경기	경기/NNG
조율과	조율/NNG+과/JC
몰리나의	몰리나/NNP+의/JKG
환상	환상/NNG
크로스,	크로스/NNG+,/SP
에스쿠데로의	에스쿠데로/NNP+의/JKG
돌파도	돌파/NNG+도/JX
일품이다.	일품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.253.6.7
노련한 아디와 터프한 김진규, 스피드가 좋은 김주영이 버틴 수비도 웬만해선 뚫기 어렵다는 평가를 받는다.

노련한	노련하/VA+ㄴ/ETM
아디와	아디/NNP+와/JC
터프한	터프하/VA+ㄴ/ETM
김진규,	김진규/NNP+,/SP
스피드가	스피드/NNG+가/JKS
좋은	좋/VA+은/ETM
김주영이	김주영/NNP+이/JKS
버틴	버티/VV+ㄴ/ETM
수비도	수비/NNG+도/JX
웬만해선	웬만하/VA+아서/EC+ㄴ/JX
