# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.410
metadata : {}


# id : NWRW1800000028.410.1.1
“야 ×××야, 똑바로 안해?”…한국볼링 감독, 아시아경기서 선수 구타

“야	“/SS+야/IC
×××야,	×××/SW+야/JKV+,/SP
똑바로	똑바로/MAG
안해?”…한국볼링	안/MAG+하/VV+아/EF+?/SF+”/SS+…/SE+한국/NNP+볼링/NNG
감독,	감독/NNG+,/SP
아시아경기서	아시아/NNP+경기/NNG+서/JKB
선수	선수/NNG
구타	구타/NNG


# id : NWRW1800000028.410.2.1
“야, ×××야, 똑바로 안 해?”, “이 ×××야, 코치가 그것도 모르냐!”

“야,	“/SS+야/IC+,/SP
×××야,	×××/SW+야/JKV+,/SP
똑바로	똑바로/MAG
안	안/MAG
해?”,	하/VV+아/EF+?/SF+”/SS+,/SP
“이	“/SS+이/MMD
코치가	코치/NNG+가/JKS
그것도	그것/NP+도/JX
모르냐!”	모르/VV+냐/EF+!/SF+”/SS


# id : NWRW1800000028.410.3.1
경기 내내 감독은 레인 뒤에서 왔다 갔다 하며 때론 폭언으로 선수들을 질타하고, 때론 부드럽게 어깨를 만지며 독려했다.

경기	경기/NNG
내내	내내/MAG
감독은	감독/NNG+은/JX
레인	레인/NNG
뒤에서	뒤/NNG+에서/JKB
왔다	오/VV+았/EP+다/EC
갔다	가/VV+았/EP+다/EC
하며	하/VX+며/EC
때론	때로/MAG+ㄴ/JX
폭언으로	폭언/NNG+으로/JKB
선수들을	선수/NNG+들/XSN+을/JKO
질타하고,	질타/NNG+하/XSV+고/EC+,/SP
부드럽게	부드럽/VA+게/EC
어깨를	어깨/NNG+를/JKO
만지며	만지/VV+며/EC
독려했다.	독려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.410.3.2
결정적인 순간, 한 선수가 스트라이크를 치지 못하고 나오자 발길질로 몇 번 걷어차더니 두 손으로 뺨까지 몇 번 때렸다.

결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
순간,	순간/NNG+,/SP
한	한/MMN
선수가	선수/NNG+가/JKS
스트라이크를	스트라이크/NNG+를/JKO
치지	치/VV+지/EC
못하고	못하/VX+고/EC
나오자	나오/VV+자/EC
발길질로	발길/NNG+질/XSN+로/JKB
몇	몇/NR
번	번/NNB
걷어차더니	걷어차/VV+더니/EC
두	두/MMN
손으로	손/NNG+으로/JKB
뺨까지	뺨/NNG+까지/JX
때렸다.	때리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.410.4.1
옆에서 이를 지켜보던 타이 임원은 장난으로 발길질하는 모습을 연출했고, 뒤에 있던 자원봉사자들은 깔깔 웃었다.

옆에서	옆/NNG+에서/JKB
이를	이/NP+를/JKO
지켜보던	지켜보/VV+던/ETM
타이	타이/NNP
임원은	임원/NNG+은/JX
장난으로	장난/NNG+으로/JKB
발길질하는	발길/NNG+질/XSN+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
연출했고,	연출/NNG+하/XSV+았/EP+고/EC+,/SP
뒤에	뒤/NNG+에/JKB
있던	있/VV+던/ETM
자원봉사자들은	자원봉사자/NNG+들/XSN+은/JX
