# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.389
metadata : {}


# id : NWRW1800000040.389.1.1
[단독] 여야, 전두환 추징시효 ‘10년 연장’ 사실상 합의

[단독]	[/SS+단독/NNG+]/SS
여야,	여야/NNG+,/SP
전두환	전두환/NNP
추징시효	추징/NNG+시효/NNG
‘10년	‘/SS+10/SN+년/NNB
연장’	연장/NNG+’/SS
사실상	사실/NNG+상/XSN
합의	합의/NNG


# id : NWRW1800000040.389.2.1
법안심사소위서 의견 접근

법안심사소위서	법안/NNG+심사/NNG+소위/NNG+서/JKB
의견	의견/NNG
접근	접근/NNG


# id : NWRW1800000040.389.3.1
가족재산 추징 등엔 이견

가족재산	가족/NNG+재산/NNG
추징	추징/NNG
등엔	등/NNB+에/JKB+ㄴ/JX
이견	이견/NNG


# id : NWRW1800000040.389.4.1
전두환 전 대통령의 추징금 미납과 관련해, 여야가 형법의 추징·몰수 시효를 현행 3년에서 10년으로 연장하기로 의견을 모았다.

전두환	전두환/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
추징금	추징금/NNG
미납과	미납/NNG+과/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
여야가	여야/NNG+가/JKS
형법의	형법/NNG+의/JKG
추징·몰수	추징/NNG+·/SP+몰수/NNG
시효를	시효/NNG+를/JKO
현행	현행/NNG
3년에서	3/SN+년/NNB+에서/JKB
10년으로	10/SN+년/NNB+으로/JKB
연장하기로	연장/NNG+하/XSV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.389.4.2
관련 법이 통과되면 1672억원에 달하는 전 전 대통령의 미납 추징금 확보에 숨통이 트이게 된다.

관련	관련/NNG
법이	법/NNG+이/JKS
통과되면	통과/NNG+되/XSV+면/EC
1672억원에	1672/SN+억/NR+원/NNB+에/JKB
달하는	달하/VV+는/ETM
전	전/MMD
대통령의	대통령/NNG+의/JKG
미납	미납/NNG
추징금	추징금/NNG
확보에	확보/NNG+에/JKB
숨통이	숨통/NNG+이/JKS
트이게	트이/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.389.4.3
그동안 검찰은 3년마다 돌아오는 시효에 맞춰 ‘소액 찔끔 추징’을 통해 추징기간을 어렵게 연장해 왔다.

그동안	그동안/NNG
검찰은	검찰/NNG+은/JX
3년마다	3/SN+년/NNB+마다/JX
돌아오는	돌아오/VV+는/ETM
시효에	시효/NNG+에/JKB
맞춰	맞추/VV+어/EC
‘소액	‘/SS+소액/NNG
찔끔	찔끔/MAG
추징’을	추징/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
추징기간을	추징/NNG+기간/NNG+을/JKO
어렵게	어렵/VA+게/EC
연장해	연장/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.389.5.1
국회 법제사법위원회 법안심사제1소위원회(위원장 권성동)는 19일 형법 개정안과 특정 고위공직자에 대한 추징 특례법 제정안, 공무원범죄에 관한 몰수 특례법, 범죄수익은닉의 규제 및 처벌에 관한 법률, 부패재산 몰수 및 회복에 관한 특례법 등 모두 8건의 ‘전두환 추징법안’을 심사하면서 추징·몰수시효 연장에 사실상 합의했다.

국회	국회/NNG
법제사법위원회	법제/NNG+사법/NNG+위원회/NNG
법안심사제1소위원회(위원장	법안/NNG+심사/NNG+제/XPN+1/SN+소/XPN+위원회/NNG+(/SS+위원장/NNG
권성동)는	권성동/NNP+)/SS+는/JX
19일	19/SN+일/NNB
형법	형법/NNG
개정안과	개정안/NNG+과/JC
특정	특정/NNG
고위공직자에	고위/NNG+공직자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추징	추징/NNG
특례법	특례법/NNG
제정안,	제정안/NNG+,/SP
공무원범죄에	공무원/NNG+범죄/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
몰수	몰수/NNG
특례법,	특례법/NNG+,/SP
범죄수익은닉의	범죄/NNG+수익/NNG+은닉/NNG+의/JKG
규제	규제/NNG
및	및/MAG
처벌에	처벌/NNG+에/JKB
법률,	법률/NNG+,/SP
부패재산	부패/NNG+재산/NNG
회복에	회복/NNG+에/JKB
등	등/NNB
모두	모두/MAG
8건의	8/SN+건/NNB+의/JKG
‘전두환	‘/SS+전두환/NNP
추징법안’을	추징/NNG+법안/NNG+’/SS+을/JKO
심사하면서	심사/NNG+하/XSV+면서/EC
추징·몰수시효	추징/NNG+·/SP+몰수/NNG+시효/NNG
연장에	연장/NNG+에/JKB
사실상	사실/NNG+상/XSN
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.389.5.2
법안심사에 참여한 새누리당의 한 의원은 “추징·몰수의 시효를 10년으로 연장해 이를 전 전 대통령에게도 적용하는 쪽으로 의견접근을 봤다”고 말했다.

법안심사에	법안/NNG+심사/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
새누리당의	새누리당/NNP+의/JKG
한	한/MMN
의원은	의원/NNG+은/JX
“추징·몰수의	“/SS+추징/NNG+·/SP+몰수/NNG+의/JKG
시효를	시효/NNG+를/JKO
10년으로	10/SN+년/NNB+으로/JKB
연장해	연장/NNG+하/XSV+아/EC
이를	이/NP+를/JKO
전	전/MMD
대통령에게도	대통령/NNG+에게/JKB+도/JX
적용하는	적용/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
의견접근을	의견/NNG+접근/NNG+을/JKO
봤다”고	보/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.389.6.1
애초 전 전 대통령에게 부과된 추징금의 시효는 올 10월까지다.

애초	애초/NNG
전	전/MMD
대통령에게	대통령/NNG+에게/JKB
부과된	부과/NNG+되/XSV+ㄴ/ETM
추징금의	추징금/NNG+의/JKG
시효는	시효/NNG+는/JX
올	올/NNG
10월까지다.	10/SN+월/NNB+까지/JX+이/VCP+다/EF+./SF


# id : NWRW1800000040.389.6.2
그 사이 검찰이 은닉 재산을 한 건이라도 추가로 찾아내 추징기간을 연장하거나 추징 시효 자체를 늘리는 새로운 입법이 이뤄지지 않으면 1600억원이 넘는 추징금 전체가 미납인 채로 추징 시효가 소멸되게 된다.

그	그/MMD
사이	사이/NNG
검찰이	검찰/NNG+이/JKS
은닉	은닉/NNG
재산을	재산/NNG+을/JKO
한	하/VV+ㄴ/ETM
건이라도	건/NNB+이/VCP+라도/EC
추가로	추가/NNG+로/JKB
찾아내	찾아내/VV+어/EC
추징기간을	추징/NNG+기간/NNG+을/JKO
연장하거나	연장/NNG+하/XSV+거나/EC
추징	추징/NNG
시효	시효/NNG
자체를	자체/NNG+를/JKO
늘리는	늘리/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
입법이	입법/NNG+이/JKS
이뤄지지	이뤄지/VV+지/EC
않으면	않/VX+으면/EC
1600억원이	1600/SN+억/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
추징금	추징금/NNG
전체가	전체/NNG+가/JKS
미납인	미납인/NNG
채로	채/NNB+로/JKB
시효가	시효/NNG+가/JKS
소멸되게	소멸/NNG+되/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.389.7.1
이날 심사에서 야당은 특별법을 새로 만드는 대신 기존 공무원범죄에 관한 몰수 특례법에 범죄자 외에 그 배우자와 자녀, 직계 가족까지로 추징 대상을 확대하는 조항을 넣자고 제안했다.

이날	이날/NNG
심사에서	심사/NNG+에서/JKB
야당은	야당/NNG+은/JX
특별법을	특별법/NNG+을/JKO
새로	새로/MAG
만드는	만들/VV+는/ETM
대신	대신/NNG
기존	기존/NNG
공무원범죄에	공무원/NNG+범죄/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
몰수	몰수/NNG
특례법에	특례법/NNG+에/JKB
범죄자	범죄자/NNG
외에	외/NNB+에/JKB
그	그/MMD
배우자와	배우자/NNG+와/JC
자녀,	자녀/NNG+,/SP
직계	직계/NNG
가족까지로	가족/NNG+까지/JX+로/JKB
추징	추징/NNG
대상을	대상/NNG+을/JKO
확대하는	확대/NNG+하/XSV+는/ETM
조항을	조항/NNG+을/JKO
넣자고	넣/VV+자고/EC
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.389.7.2
그 대신 추징금 미납 시 노역장에 유치하는 법안은 거둬들이겠다는 뜻을 여당에 전달했다.

그	그/MMD
대신	대신/NNG
추징금	추징금/NNG
미납	미납/NNG
시	시/NNB
노역장에	노역장/NNG+에/JKB
유치하는	유치/NNG+하/XSV+는/ETM
법안은	법안/NNG+은/JX
거둬들이겠다는	거둬들이/VV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
여당에	여당/NNG+에/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.389.7.3
이에 여당은 법에 배우자와 자녀 등 구체적인 추징 대상을 명시하기보다는 추징기관인 검찰의 집행권한을 강화하는 방안을 제시했다.

이에	이/NP+에/JKB
여당은	여당/NNG+은/JX
법에	법/NNG+에/JKB
배우자와	배우자/NNG+와/JC
자녀	자녀/NNG
등	등/NNB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
추징	추징/NNG
대상을	대상/NNG+을/JKO
명시하기보다는	명시/NNG+하/XSV+기/ETN+보다/JKB+는/JX
추징기관인	추징/NNG+기관/NNG+이/VCP+ㄴ/ETM
검찰의	검찰/NNG+의/JKG
집행권한을	집행/NNG+권한/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.389.7.4
국세청·금융기관이 갖고 있는 관련 자료를 쉽게 확보할 수 있도록 하자는 취지다.

국세청·금융기관이	국세청/NNG+·/SP+금융/NNG+기관/NNG+이/JKS
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
관련	관련/NNG
자료를	자료/NNG+를/JKO
쉽게	쉽/VA+게/EC
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하자는	하/VX+자는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.389.8.1
이와 관련해 법안심사소위에 참석한 새누리당 의원은 “‘연좌제 위헌론’을 피하면서 현행 헌법 안에서 전직 고위공직자들의 가족과 주변인물들의 재산을 들여다볼 수 있는 권한을 주자는 것”이라며 “여당이라고 해서 전 전 대통령을 봐줄 이유가 없다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
법안심사소위에	법안/NNG+심사/NNG+소위/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
새누리당	새누리당/NNP
의원은	의원/NNG+은/JX
“‘연좌제	“/SS+‘/SS+연좌/NNG+제/XSN
위헌론’을	위헌/NNG+론/XSN+’/SS+을/JKO
피하면서	피하/VV+면서/EC
현행	현행/NNG
헌법	헌법/NNG
안에서	안/NNG+에서/JKB
전직	전직/NNG
고위공직자들의	고위/NNG+공직자/NNG+들/XSN+의/JKG
가족과	가족/NNG+과/JC
주변인물들의	주변/NNG+인물/NNG+들/XSN+의/JKG
재산을	재산/NNG+을/JKO
들여다볼	들여다보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
권한을	권한/NNG+을/JKO
주자는	주/VV+자는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“여당이라고	“/SS+여당/NNG+이/VCP+라고/EC
해서	하/VV+아서/EC
전	전/MMD
대통령을	대통령/NNG+을/JKO
봐줄	봐주/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000040.389.8.2
조세회피처를 포함해 은닉 재산을 찾을 수 있는 방안을 25일 열리는 다음 회의 때까지 마련해 오라고 법무부에 요구했다”고 말했다.

