# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.388
metadata : {}


# id : NWRW1800000038.388.1.1
국가기록원, 기록물 2822만건 소장… 대화록은 10일내 국회 보내야

국가기록원,	국가/NNG+기록원/NNG+,/SP
기록물	기록물/NNG
2822만건	2822/SN+만/NR+건/NNB
소장…	소장/NNG+…/SE
대화록은	대화록/NNG+은/JX
10일내	10/SN+일/NNB+내/NNB
국회	국회/NNG
보내야	보내/VV+어야/EC


# id : NWRW1800000038.388.2.1
국가기록원 어떤 곳인가

국가기록원	국가/NNG+기록원/NNG
어떤	어떤/MMD
곳인가	곳/NNG+이/VCP+ㄴ가/EF


# id : NWRW1800000038.388.3.1
국회가 2007년 남북 정상회담 대화록과 관련된 자료 일체에 대한 제출을 2일 의결한 데 이어 3일 국가기록원에 자료 제출 요구서를 보냈다.

국회가	국회/NNG+가/JKS
2007년	2007/SN+년/NNB
남북	남북/NNP
정상회담	정상/NNG+회담/NNG
대화록과	대화록/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
자료	자료/NNG
일체에	일체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제출을	제출/NNG+을/JKO
2일	2/SN+일/NNB
의결한	의결/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
3일	3/SN+일/NNB
국가기록원에	국가/NNG+기록원/NNG+에/JKB
제출	제출/NNG
요구서를	요구서/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.388.4.1
국가기록원은 대통령기록물관리법에 따라 열람 신청이 들어온 기록물을 10일 이내(주말 제외)에 보내야 한다.

국가기록원은	국가/NNG+기록원/NNG+은/JX
대통령기록물관리법에	대통령/NNG+기록물/NNG+관리법/NNG+에/JKB
따라	따르/VV+아/EC
열람	열람/NNG
신청이	신청/NNG+이/JKS
들어온	들어오/VV+ㄴ/ETM
기록물을	기록물/NNG+을/JKO
10일	10/SN+일/NNB
이내(주말	이내/NNG+(/SS+주말/NNG
제외)에	제외/NNG+)/SS+에/JKB
보내야	보내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.388.4.2
늦어도 오는 15일이면 2007년 남북 정상회담 회의록이 베일을 벗고 국회의원들이 열람할 수 있는 것이다.

늦어도	늦/VA+어도/EC
오는	오/VV+는/ETM
15일이면	15/SN+일/NNB+이/VCP+면/EC
2007년	2007/SN+년/NNB
남북	남북/NNP
정상회담	정상/NNG+회담/NNG
회의록이	회의록/NNG+이/JKS
베일을	베일/NNG+을/JKO
벗고	벗/VV+고/EC
국회의원들이	국회/NNG+의원/NNG+들/XSN+이/JKS
열람할	열람/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.388.5.1
국가기록원은 대통령을 비롯해 우리 정부와 관련된 기록을 수집·보관하는 곳이다.

국가기록원은	국가/NNG+기록원/NNG+은/JX
대통령을	대통령/NNG+을/JKO
비롯해	비롯하/VV+아/EC
우리	우리/NP
정부와	정부/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
기록을	기록/NNG+을/JKO
수집·보관하는	수집/NNG+·/SP+보관/NNG+하/XSV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.388.5.2
보관하는 기록물은 총 2822만1055건이다.

보관하는	보관/NNG+하/XSV+는/ETM
기록물은	기록물/NNG+은/JX
총	총/MMA
2822만1055건이다.	2822/SN+만/NR+1055/SN+건/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.388.5.3
