# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.406
metadata : {}


# id : NWRW1800000036.406.1.1
민주 지지 2주새 28.4→35.3%…새누리당과 4.6%p차로 좁혀져

민주	민주/NNP
지지	지지/NNG
2주새	2/SN+주/NNB+새/NNG
28.4→35.3%…새누리당과	28/SN+./SP+4/SN+→/SW+35/SN+./SP+3/SN+%/SW+…/SE+새누리당/NNP+과/JKB
4.6%p차로	4/SN+./SP+6/SN+%p/SW+차/NNG+로/JKB
좁혀져	좁히/VV+어/EC+지/VX+어/EF


# id : NWRW1800000036.406.2.1
[한겨레] 한겨레-KSOI 대선 여론조사

[한겨레]	[/SS+한겨레/NNP+]/SS
한겨레-KSOI	한겨레/NNP+-/SO+KSOI/SL
대선	대선/NNG
여론조사	여론/NNG+조사/NNG


# id : NWRW1800000036.406.3.1
새누리당과 민주통합당의 지지율 격차가 급속히 줄어 오차범위 안으로 좁혀졌다.

새누리당과	새누리당/NNP+과/JC
민주통합당의	민주통합당/NNP+의/JKG
지지율	지지/NNG+율/XSN
격차가	격차/NNG+가/JKS
급속히	급속히/MAG
줄어	줄/VV+어/EC
오차범위	오차/NNG+범위/NNG
안으로	안/NNG+으로/JKB
좁혀졌다.	좁히/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.406.4.1
<한겨레> 여론조사에서 나타난 민주당 지지율은 지난 8일 28.4%에서 이번 21~22일 조사에서는 35.3%로 7%포인트가량 급상승했다.

<한겨레>	</SS+한겨레/NNP+>/SS
여론조사에서	여론/NNG+조사/NNG+에서/JKB
나타난	나타나/VV+ㄴ/ETM
민주당	민주당/NNP
지지율은	지지/NNG+율/XSN+은/JX
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
28.4%에서	28/SN+./SP+4/SN+%/SW+에서/JKB
이번	이번/NNG
21~22일	21/SN+~/SO+22/SN+일/NNB
조사에서는	조사/NNG+에서/JKB+는/JX
35.3%로	35/SN+./SP+3/SN+%/SW+로/JKB
7%포인트가량	7/SN+%포인트/NNG+가량/XSN
급상승했다.	급상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.406.5.1
새누리당 지지율은 43.3%에서 39.9%로 3%포인트 이상 빠졌다.

새누리당	새누리당/NNP
지지율은	지지/NNG+율/XSN+은/JX
43.3%에서	43/SN+./SP+3/SN+%/SW+에서/JKB
39.9%로	39/SN+./SP+9/SN+%/SW+로/JKB
3%포인트	3/SN+%포인트/NNG
이상	이상/NNG
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.406.6.1
동아시아연구원과 한국리서치 정기조사에서도 8월 조사(8.21~9.1)에서는 새누리당 46.2%, 민주당 34.8%였지만, 9월(9.22)에는 새누리당 40.2%, 민주당 39.1%(오차범위 ±3.5%)로 조사되는 등 비슷한 흐름이 나타났다.

동아시아연구원과	동아시아연구원/NNP+과/JC
한국리서치	한국리서치/NNP
정기조사에서도	정기/NNG+조사/NNG+에서/JKB+도/JX
8월	8/SN+월/NNB
