# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.238
metadata : {}


# id : NWRW1800000049.238.1.1
세계적 선수들과 가을 청계천 함께 달려요

세계적	세계/NNG+적/XSN
선수들과	선수/NNG+들/XSN+과/JKB
가을	가을/NNG
청계천	청계천/NNP
함께	함께/MAG
달려요	달리/VV+어요/EF


# id : NWRW1800000049.238.2.1
서울달리기 9일 오전 8시 스타트… 10km는 엘리트-마스터스 동시출발 코스 평탄해 기록 단축 가능성 높아

서울달리기	서울/NNP+달리기/NNG
9일	9/SN+일/NNB
오전	오전/NNG
8시	8/SN+시/NNB
스타트…	스타트/NNG+…/SE
10km는	10/SN+km/SW+는/JX
엘리트-마스터스	엘리트/NNG+-/SO+마스터스/NNP
동시출발	동시/NNG+출발/NNG
코스	코스/NNG
평탄해	평탄/NNG+하/XSA+아/EC
기록	기록/NNG
단축	단축/NNG
가능성	가능/NNG+성/XSN
높아	높/VA+아/EF


# id : NWRW1800000049.238.3.1
마스터스 마라토너라면 한 번쯤 세계적인 선수들과 함께 뛰어보고 싶다는 생각을 해봤을 것이다.

마스터스	마스터스/NNG
마라토너라면	마라토너/NNG+이/VCP+라면/EC
한	한/MMN
번쯤	번/NNB+쯤/XSN
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
선수들과	선수/NNG+들/XSN+과/JKB
함께	함께/MAG
뛰어보고	뛰/VV+어/EC+보/VX+고/EC
싶다는	싶/VX+다는/ETM
생각을	생각/NNG+을/JKO
해봤을	하/VV+아/EC+보/VX+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.238.3.2
숫자로 나타난 기록만 비교하는 것과 실제로 경험하는 것은 큰 차이가 있기 때문이다.

숫자로	숫자/NNG+로/JKB
나타난	나타나/VV+ㄴ/ETM
기록만	기록/NNG+만/JX
비교하는	비교/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
실제로	실제로/MAG
경험하는	경험/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.238.3.3
대부분의 국제대회에서는 엘리트 선수가 먼저 출발하기 때문에 함께 달릴 일이 없다.

대부분의	대/XPN+부분/NNG+의/JKG
국제대회에서는	국제/NNG+대회/NNG+에서/JKB+는/JX
엘리트	엘리트/NNG
선수가	선수/NNG+가/JKS
먼저	먼저/MAG
출발하기	출발/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
함께	함께/MAG
달릴	달리/VV+ㄹ/ETM
일이	일/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.238.3.4
하지만 천고마비의 계절인 가을에 유일하게 서울 도심을 질주할 수 있는 2016 서울달리기대회(서울시 동아일보 공동 주최)라면 그런 경험이 가능하다.

하지만	하지만/MAJ
천고마비의	천고마비/NNG+의/JKG
계절인	계절/NNG+이/VCP+ㄴ/ETM
가을에	가을/NNG+에/JKB
유일하게	유일/NNG+하/XSA+게/EC
서울	서울/NNP
도심을	도심/NNG+을/JKO
질주할	질주/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
2016	2016/SN
서울달리기대회(서울시	서울/NNP+달리기/NNG+대회/NNG+(/SS+서울시/NNP
동아일보	동아일보/NNP
공동	공동/NNG
주최)라면	주최/NNG+)/SS+이/VCP+라면/EC
그런	그런/MMD
경험이	경험/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.238.4.1
9일 열리는 서울달리기대회는 2003년 하이서울마라톤이라는 이름의 마스터스 축제로 시작됐다.

9일	9/SN+일/NNB
열리는	열리/VV+는/ETM
서울달리기대회는	서울/NNP+달리기/NNG+대회/NNG+는/JX
2003년	2003/SN+년/NNB
하이서울마라톤이라는	하이/NNG+서울/NNP+마라톤/NNG+이/VCP+라는/ETM
이름의	이름/NNG+의/JKG
마스터스	마스터스/NNG
축제로	축제/NNG+로/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.238.4.2
지금의 명칭으로 바꾼 것은 2012년이다.

지금의	지금/NNG+의/JKG
명칭으로	명칭/NNG+으로/JKB
바꾼	바꾸/VV+ㄴ/ETM
것은	것/NNB+은/JX
2012년이다.	2012/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.238.4.3
10km와 하프코스가 있는 서울달리기대회는 지난해 국내 최초로 엘리트 선수와 마스터스들이 ‘동시에’ 출발하는 10km 오픈국제부문을 신설해 큰 호응을 얻었다.

10km와	10/SN+km/SW+와/JC
하프코스가	하프코스/NNG+가/JKS
있는	있/VA+는/ETM
서울달리기대회는	서울/NNP+달리기/NNG+대회/NNG+는/JX
지난해	지난해/NNG
국내	국내/NNG
최초로	최초/NNG+로/JKB
엘리트	엘리트/NNG
선수와	선수/NNG+와/JC
마스터스들이	마스터스/NNG+들/XSN+이/JKS
‘동시에’	‘/SS+동시/NNG+에/JKB+’/SS
출발하는	출발/NNG+하/XSV+는/ETM
10km	10/SN+km/SW
오픈국제부문을	오픈/NNG+국제/NNG+부문/NNG+을/JKO
신설해	신설/NNG+하/XSV+아/EC
큰	크/VA+ㄴ/ETM
호응을	호응/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.238.5.1
지난해 10km 오픈국제부문에 참가한 마스터스들은 ‘풀코스라면 몰라도 10km인데 얼마나 차이가 날까’라고 생각했겠지만 현실은 달랐다.

지난해	지난해/NNG
10km	10/SN+km/SW
오픈국제부문에	오픈/NNG+국제/NNG+부문/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
마스터스들은	마스터스/NNG+들/XSN+은/JX
‘풀코스라면	‘/SS+풀코스/NNG+이/VCP+라면/EC
몰라도	모르/VV+아도/EC
10km인데	10/SN+km/SW+이/VCP+ㄴ데/EC
얼마나	얼마나/MAG
차이가	차이/NNG+가/JKS
날까’라고	나/VV+ㄹ까/EF+’/SS+라고/JKQ
생각했겠지만	생각/NNG+하/XSV+았/EP+겠/EP+지만/EC
현실은	현실/NNG+은/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.238.5.2
1위 대니얼 킵춤바 체비(28분 39초)를 시작으로 5위까지 케냐 군단이 휩쓸었다.

1위	1/SN+위/NNB
대니얼	대니얼/NNP
킵춤바	킵춤바/NNP
체비(28분	체비/NNP+(/SS+28/SN+분/NNB
39초)를	39/SN+초/NNB+)/SS+를/JKO
시작으로	시작/NNG+으로/JKB
5위까지	5/SN+위/NNB+까지/JX
케냐	케냐/NNP
군단이	군단/NNG+이/JKS
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.238.5.3
전체 7위이자 마스터스 1위인 백광영 씨(33분 29초)와 5위 티머시 키멜리(29분 35초)의 차는 3분 54초나 됐다.

전체	전체/NNG
