# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.61
metadata : {}


# id : NWRW1800000029.61.1.1
軍 사이버병력, 제대후 벤처로 키운다

軍	軍/SH
사이버병력,	사이버/NNG+병력/NNG+,/SP
제대후	제대/NNG+후/NNG
벤처로	벤처/NNG+로/JKB
키운다	키우/VV+ㄴ다/EF


# id : NWRW1800000029.61.2.1
■ 정부, 산업인력 육성 혁신방안 내놔

■	■/SW
정부,	정부/NNG+,/SP
산업인력	산업/NNG+인력/NNG
육성	육성/NNG
혁신방안	혁신/NNG+방안/NNG
내놔	내놓/VV+아/EF


# id : NWRW1800000029.61.3.1
정부가 첨단기술 전공 학생들이 군 복무를 하면서 관련 경력을 이어가고, 제대한 뒤 벤처기업을 창업하도록 유도하는 한국형 ‘탈피오트’ 프로그램을 만들기로 했다.

정부가	정부/NNG+가/JKS
첨단기술	첨단/NNG+기술/NNG
전공	전공/NNG
학생들이	학생/NNG+들/XSN+이/JKS
군	군/NNG
복무를	복무/NNG+를/JKO
하면서	하/VV+면서/EC
관련	관련/NNG
경력을	경력/NNG+을/JKO
이어가고,	잇/VV+어/EC+가/VX+고/EC+,/SP
제대한	제대/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
벤처기업을	벤처/NNG+기업/NNG+을/JKO
창업하도록	창업/NNG+하/XSV+도록/EC
유도하는	유도/NNG+하/XSV+는/ETM
한국형	한국/NNP+형/XSN
‘탈피오트’	‘/SS+탈피오트/NNP+’/SS
프로그램을	프로그램/NNG+을/JKO
만들기로	만들/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.61.4.1
‘탈피오트(Talpiot)’는 히브리어로 ‘최고 중의 최고’를 뜻하는 말로 이스라엘에서 최고의 인재들을 뽑은 뒤 첨단과학기술을 전쟁에 응용하는 엘리트 부대다.

‘탈피오트(Talpiot)’는	‘/SS+탈피오트/NNP+(/SS+Talpiot/SL+)/SS+’/SS+는/JX
히브리어로	히브리어/NNP+로/JKB
‘최고	‘/SS+최고/NNG
중의	중/NNB+의/JKG
최고’를	최고/NNG+’/SS+를/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
말로	말/NNG+로/JKB
이스라엘에서	이스라엘/NNP+에서/JKB
최고의	최고/NNG+의/JKG
인재들을	인재/NNG+들/XSN+을/JKO
뽑은	뽑/VV+은/ETM
뒤	뒤/NNG
첨단과학기술을	첨단/NNG+과학/NNG+기술/NNG+을/JKO
전쟁에	전쟁/NNG+에/JKB
응용하는	응용/NNG+하/XSV+는/ETM
엘리트	엘리트/NNG
부대다.	부대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.61.4.2
이곳 출신들은 제대 뒤에 군대에서 익힌 기술과 인적 네트워크로 세계적인 벤처기업을 창업하는 것으로 유명하다.

이곳	이곳/NP
출신들은	출신/NNG+들/XSN+은/JX
제대	제대/NNG
뒤에	뒤/NNG+에/JKB
군대에서	군대/NNG+에서/JKB
익힌	익히/VV+ㄴ/ETM
기술과	기술/NNG+과/JC
인적	인/NNG+적/XSN
네트워크로	네트워크/NNG+로/JKB
