# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.377
metadata : {}


# id : NWRW1800000028.377.1.1
원룸·다세대주택이 전세난 돌파구?

원룸·다세대주택이	원룸/NNG+·/SP+다세대/NNG+주택/NNG+이/JKS
전세난	전세난/NNG
돌파구?	돌파구/NNG+?/SF


# id : NWRW1800000028.377.2.1
도시형 생활주택 건설 물량이 빠르게 늘어나고 있다.

도시형	도시/NNG+형/XSN
생활주택	생활/NNG+주택/NNG
건설	건설/NNG
물량이	물량/NNG+이/JKS
빠르게	빠르/VA+게/EC
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.377.3.1
국토해양부는 지난달 도시형 생활주택 인허가 물량은 2496가구로 8월(1471가구)에 견줘 70% 늘어났다고 25일 밝혔다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
지난달	지난달/NNG
도시형	도시/NNG+형/XSN
생활주택	생활/NNG+주택/NNG
인허가	인허가/NNG
물량은	물량/NNG+은/JX
2496가구로	2496/SN+가구/NNG+로/JKB
8월(1471가구)에	8/SN+월/NNB+(/SS+1471/SN+가구/NNG+)/SS+에/JKB
견줘	견주/VV+어/EC
70%	70/SN+%/SW
늘어났다고	늘어나/VV+았/EP+다고/EC
25일	25/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.377.3.2
도시형생활주택 건축 물량이 증가하고 있는 것은 정부가 도심지역의 소형 주택 공급을 늘리기 위해 주차장 요건 완화 등 까다로운 건축 규제를 일부 푼데다 도심 재개발, 재건축으로 서민들이 거주하는 빌라, 다세대, 중소형 아파트 등이 사라지면서 수요가 늘어났기 때문으로 풀이된다.

도시형생활주택	도시/NNG+형/XSN+생활/NNG+주택/NNG
건축	건축/NNG
물량이	물량/NNG+이/JKS
증가하고	증가/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
정부가	정부/NNG+가/JKS
도심지역의	도심/NNG+지역/NNG+의/JKG
소형	소형/NNG
주택	주택/NNG
공급을	공급/NNG+을/JKO
늘리기	늘리/VV+기/ETN
위해	위하/VV+아/EC
주차장	주차장/NNG
요건	요건/NNG
완화	완화/NNG
등	등/NNB
까다로운	까다롭/VA+ㄴ/ETM
규제를	규제/NNG+를/JKO
일부	일부/NNG
푼데다	풀/VV+ㄴ/ETM+데/NNB+다/JX
도심	도심/NNG
재개발,	재/XPN+개발/NNG+,/SP
재건축으로	재/XPN+건축/NNG+으로/JKB
서민들이	서민/NNG+들/XSN+이/JKS
거주하는	거주/NNG+하/XSV+는/ETM
빌라,	빌라/NNG+,/SP
다세대,	다세대/NNG+,/SP
중소형	중소형/NNG
아파트	아파트/NNG
등이	등/NNB+이/JKS
사라지면서	사라지/VV+면서/EC
수요가	수요/NNG+가/JKS
늘어났기	늘어나/VV+았/EP+기/ETN
때문으로	때문/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.377.4.1
지난해 인허가 물량이 1580가구에 불과했던 도시형생활주택은 이런 분위기를 타고 올 상반기 3908가구, 3분기에만 5102가구가 인허가를 받는 등 큰 폭으로 증가하고 있다.

지난해	지난해/NNG
인허가	인허가/NNG
물량이	물량/NNG+이/JKS
1580가구에	1580/SN+가구/NNG+에/JKB
불과했던	불과/MAG+하/XSA+았/EP+던/ETM
도시형생활주택은	도시/NNG+형/XSN+생활/NNG+주택/NNG+은/JX
이런	이런/MMD
분위기를	분위기/NNG+를/JKO
타고	타/VV+고/EC
올	올/NNG
상반기	상반기/NNG
3908가구,	3908/SN+가구/NNG+,/SP
3분기에만	3/SN+분기/NNG+에/JKB+만/JX
5102가구가	5102/SN+가구/NNG+가/JKS
인허가를	인허가/NNG+를/JKO
받는	받/VV+는/ETM
등	등/NNB
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
증가하고	증가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.377.5.1
올해 유형별 건설 실적은 원룸형 주택 7746가구(86.0%), 단지형 다세대주택 772가구(8.6%), 기타 492가구(5.4%) 등이다.

올해	올해/NNG
유형별	유형/NNG+별/XSN
건설	건설/NNG
실적은	실적/NNG+은/JX
원룸형	원룸/NNG+형/XSN
주택	주택/NNG
7746가구(86.0%),	7746/SN+가구/NNG+(/SS+86/SN+./SP+0/SN+%/SW+)/SS+,/SP
단지형	단지/NNG+형/XSN
다세대주택	다세대/NNG+주택/NNG
772가구(8.6%),	772/SN+가구/NNG+(/SS+8/SN+./SP+6/SN+%/SW+)/SS+,/SP
기타	기타/NNG
492가구(5.4%)	492/SN+가구/NNG+(/SS+5/SN+./SP+4/SN+%/SW+)/SS
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.377.5.2
지역별로는 전세난이 심한 서울이 3238가구(35.9%)로 가장 많고, 대전 1091가구(12.1%), 경기 990가구(11.0%), 부산 935가구(10.4%) 차례다.

지역별로는	지역/NNG+별/XSN+로/JKB+는/JX
전세난이	전세난/NNG+이/JKS
심한	심하/VA+ㄴ/ETM
서울이	서울/NNP+이/JKS
3238가구(35.9%)로	3238/SN+가구/NNG+(/SS+35/SN+./SP+9/SN+%/SW+)/SS+로/JKB
가장	가장/MAG
많고,	많/VA+고/EC+,/SP
대전	대전/NNP
1091가구(12.1%),	1091/SN+가구/NNG+(/SS+12/SN+./SP+1/SN+%/SW+)/SS+,/SP
경기	경기/NNP
990가구(11.0%),	990/SN+가구/NNG+(/SS+11/SN+./SP+0/SN+%/SW+)/SS+,/SP
부산	부산/NNP
935가구(10.4%)	935/SN+가구/NNG+(/SS+10/SN+./SP+4/SN+%/SW+)/SS
차례다.	차례/NNG+이/VCP+다/EF+./SF


