# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.30
metadata : {}


# id : NWRW1800000022.30.1.1
● 올해 본격 도입 '입학사정관제' 분석 해보니…개천에서 용 봤다;가정환경·잠재력·진실성 평가특정분야 우수자도 대거 뽑아선발인원 내년에는 9배 늘려

●	●/SW
올해	올해/NNG
본격	본격/NNG
도입	도입/NNG
'입학사정관제'	'/SS+입학/NNG+사정관/NNG+제/XSN+'/SS
분석	분석/NNG
해보니…개천에서	하/VV+아/EC+보/VX+니/EC+…/SE+개천/NNG+에서/JKB
용	용/NNG
봤다;가정환경·잠재력·진실성	보/VV+았/EP+다/EF+;/SP+가정/NNG+환경/NNG+·/SP+잠재력/NNG+·/SP+진실/NNG+성/XSN
평가특정분야	평가/NNG+특정/NNG+분야/NNG
우수자도	우수자/NNG+도/JX
대거	대거/MAG
뽑아선발인원	뽑/VV+아/EC+선발/NNG+인원/NNG
내년에는	내년/NNG+에/JKB+는/JX
9배	9/SN+배/NNG
늘려	늘리/VV+어/EF


# id : NWRW1800000022.30.2.1
어려운 가정에서 자라 사교육 한 번 제대로 받지 않은 전남 화순 능주고 3년 이호연군은 30일 서울대 공대로부터 감격의 합격통지서를 받았다.

어려운	어렵/VA+ㄴ/ETM
가정에서	가정/NNG+에서/JKB
자라	자라/VV+아/EC
사교육	사교육/NNG
한	한/MMN
번	번/NNB
제대로	제대로/MAG
받지	받/VV+지/EC
않은	않/VX+은/ETM
전남	전남/NNP
화순	화순/NNP
능주고	능주고/NNP
3년	3/SN+년/NNB
이호연군은	이호연/NNP+군/NNB+은/JX
30일	30/SN+일/NNB
서울대	서울대/NNP
공대로부터	공대/NNG+로부터/JKB
감격의	감격/NNG+의/JKG
합격통지서를	합격/NNG+통지서/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.30.3.1
이군이 초등학교 때 아버지가 교통사고를 당한 후 어머니 혼자 포도 농사를 짓고 농한기에는 공장에 다니면서 생계를 꾸려 왔다.

이군이	이/NNP+군/NNB+이/JKS
초등학교	초등학교/NNG
때	때/NNG
아버지가	아버지/NNG+가/JKS
교통사고를	교통사고/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
후	후/NNG
어머니	어머니/NNG
혼자	혼자/NNG
포도	포도/NNG
농사를	농사/NNG+를/JKO
짓고	짓/VV+고/EC
농한기에는	농한기/NNG+에/JKB+는/JX
공장에	공장/NNG+에/JKB
다니면서	다니/VV+면서/EC
생계를	생계/NNG+를/JKO
꾸려	꾸리/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.30.3.2
