# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.123
metadata : {}


# id : NWRW1800000045.123.1.1
채널A ‘나는 몸신이다’… 나트륨 중독 피하는 법, 25일 오후 11시 방영

채널A	채널A/NNP
‘나는	‘/SS+나/NP+는/JX
몸신이다’…	몸/NNG+신/NNG+이/VCP+다/EF+’/SS+…/SE
나트륨	나트륨/NNG
중독	중독/NNG
피하는	피하/VV+는/ETM
법,	법/NNB+,/SP
25일	25/SN+일/NNB
오후	오후/NNG
11시	11/SN+시/NNB
방영	방영/NNG


# id : NWRW1800000045.123.2.1
[Health&Beauty]

[Health&Beauty]	[/SS+Health/SL+&/SW+Beauty/SL+]/SS


# id : NWRW1800000045.123.3.1
채널A의 ‘나는 몸신이다’가 4주 연속 수요일 밤 11시 종편 시청률 1위를 기록하며 연일 화제를 모으고 있다.

채널A의	채널A/NNP+의/JKG
‘나는	‘/SS+나/NP+는/JX
몸신이다’가	몸/NNG+신/NNG+이/VCP+다/EF+’/SS+가/JKS
4주	4/SN+주/NNB
연속	연속/NNG
수요일	수요일/NNG
밤	밤/NNG
11시	11/SN+시/NNB
종편	종편/NNG
시청률	시청/NNG+률/XSN
1위를	1/SN+위/NNB+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
연일	연일/MAG
화제를	화제/NNG+를/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.123.3.2
이런 가운데 25일 수요일 오후 11시에는 대한민국 명강사 특집 제 2탄으로 ‘나트륨 중독’이 방영된다.

이런	이런/MMD
가운데	가운데/NNG
25일	25/SN+일/NNB
수요일	수요일/NNG
오후	오후/NNG
11시에는	11/SN+시/NNB+에/JKB+는/JX
대한민국	대한민국/NNP
명강사	명강사/NNG
특집	특집/NNG
제	제/XPN
2탄으로	2/SN+탄/NNB+으로/JKB
‘나트륨	‘/SS+나트륨/NNG
중독’이	중독/NNG+’/SS+이/JKS
방영된다.	방영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.123.4.1
이날 건강 명강사로 출연한 윤방부 대전선병원 재단 회장 겸 국제진료센터 원장(경복대 명예총장, 연세대 명예교수)은 국내 1호 가정의학과 전문의로, 국내에서 최초로 에이즈 환자를 진단하기도 했다.

이날	이날/NNG
건강	건강/NNG
명강사로	명강사/NNG+로/JKB
출연한	출연/NNG+하/XSV+ㄴ/ETM
윤방부	윤방부/NNP
대전선병원	대전선병원/NNP
재단	재단/NNG
회장	회장/NNG
겸	겸/NNB
국제진료센터	국제/NNG+진료/NNG+센터/NNG
원장(경복대	원장/NNG+(/SS+경복대/NNP
명예총장,	명예/NNG+총장/NNG+,/SP
연세대	연세대/NNP
명예교수)은	명예/NNG+교수/NNG+)/SS+은/JX
국내	국내/NNG
1호	1/SN+호/NNB
가정의학과	가정/NNG+의학과/NNG
전문의로,	전문의/NNG+로/JKB+,/SP
국내에서	국내/NNG+에서/JKB
최초로	최초/NNG+로/JKB
에이즈	에이즈/NNG
환자를	환자/NNG+를/JKO
진단하기도	진단/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.123.5.1
국내 1인당 소금섭취량은 약 10g∼12g으로 세계보건기구(WHO)의 권장량(5g)의 2배 이상이다.

국내	국내/NNG
1인당	1/SN+인/NNG+당/XSN
소금섭취량은	소금/NNG+섭취량/NNG+은/JX
약	약/MMA
10g∼12g으로	10/SN+g/SW+∼/SO+12/SN+g/SW+으로/JKB
세계보건기구(WHO)의	세계보건기구/NNP+(/SS+WHO/SL+)/SS+의/JKG
권장량(5g)의	권장량/NNG+(/SS+5/SN+g/SW+)/SS+의/JKG
2배	2/SN+배/NNG
이상이다.	이상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.123.5.2
이를 1년치로 계산하면 약 6kg에 이른다.

이를	이/NP+를/JKO
1년치로	1/SN+년/NNB+치/NNB+로/JKB
계산하면	계산/NNG+하/XSV+면/EC
약	약/MMA
6kg에	6/SN+kg/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.123.5.3
이날 방송에서는 패널로 출연한 엄앵란, 이용식, 팽현숙, 조민희, 변우민 등이 소변 검사를 통해 하루 소금 섭취량을 공개하고, 평소 식습관에서 얼마나 많은 나트륨을 섭취하는지 관찰 카메라를 통해 보여줄 예정이다.

이날	이날/NNG
방송에서는	방송/NNG+에서/JKB+는/JX
패널로	패널/NNG+로/JKB
출연한	출연/NNG+하/XSV+ㄴ/ETM
엄앵란,	엄앵란/NNP+,/SP
이용식,	이용식/NNP+,/SP
팽현숙,	팽현숙/NNP+,/SP
조민희,	조민희/NNP+,/SP
변우민	변우민/NNP
등이	등/NNB+이/JKS
소변	소변/NNG
검사를	검사/NNG+를/JKO
통해	통하/VV+아/EC
하루	하루/NNG
소금	소금/NNG
섭취량을	섭취량/NNG+을/JKO
공개하고,	공개/NNG+하/XSV+고/EC+,/SP
평소	평소/NNG
식습관에서	식습관/NNG+에서/JKB
얼마나	얼마나/MAG
많은	많/VA+은/ETM
나트륨을	나트륨/NNG+을/JKO
섭취하는지	섭취/NNG+하/XSV+는지/EC
관찰	관찰/NNG
카메라를	카메라/NNG+를/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.123.6.1
또 평소 자신이 얼마나 짜게 먹는지 모르는 사람들을 위한 소금과자 테스트가 소개된다.

또	또/MAG
평소	평소/NNG
자신이	자신/NNG+이/JKS
얼마나	얼마나/MAG
짜게	짜/VA+게/EC
먹는지	먹/VV+는지/EC
모르는	모르/VV+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
소금과자	소금/NNG+과자/NNG
테스트가	테스트/NNG+가/JKS
소개된다.	소개/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.123.6.2
소금과자 테스트는 김성권 서울대 의대 명예교수(싱겁게 먹기 실천 연구회 이사)가 고안했다.

소금과자	소금/NNG+과자/NNG
테스트는	테스트/NNG+는/JX
김성권	김성권/NNP
서울대	서울대/NNP
의대	의대/NNG
