# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.58
metadata : {}


# id : NWRW1800000038.58.1.1
[둘리 30년, 뽀로로 10년… 2013 '날아라 K애니'] (하) 올해 해외 상영될 한국 애니메이션

[둘리	[/SS+둘리/NNP
30년,	30/SN+년/NNB+,/SP
뽀로로	뽀로로/NNP
10년…	10/SN+년/NNB+…/SE
2013	2013/SN
'날아라	'/SS+날/VV+아라/EF
K애니']	K/SL+애니/NNG+'/SS+]/SS
(하)	(/SS+하/NNG+)/SS
올해	올해/NNG
해외	해외/NNG
상영될	상영/NNG+되/XSV+ㄹ/ETM
한국	한국/NNP
애니메이션	애니메이션/NNG


# id : NWRW1800000038.58.2.1
'머털도사' 끌고 500억 들인 '넛잡' 밀고… K애니, 올해가 원년

'머털도사'	'/SS+머털도사/NNG+'/SS
끌고	끌/VV+고/EC
500억	500/SN+억/NR
들인	들이/VV+ㄴ/ETM
'넛잡'	'/SS+넛잡/NNP+'/SS
밀고…	밀/VV+고/EC+…/SE
K애니,	K/SL+애니/NNG+,/SP
올해가	올해/NNG+가/JKS
원년	원년/NNG


# id : NWRW1800000038.58.3.1
'K애니'는 2013년 스크린과 TV를 통해 동시다발적으로 세계로 날아오른다.

'K애니'는	'/SS+K/SL+애니/NNG+'/SS+는/JX
2013년	2013/SN+년/NNB
스크린과	스크린/NNG+과/JC
TV를	TV/SL+를/JKO
통해	통하/VV+아/EC
동시다발적으로	동시다발/NNG+적/XSN+으로/JKB
세계로	세계/NNG+로/JKB
날아오른다.	날아오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.58.3.2
전례가 없는 해외 진출 러시다.

전례가	전례/NNG+가/JKS
없는	없/VA+는/ETM
해외	해외/NNG
진출	진출/NNG
러시다.	러시/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.58.4.1
한국 애니메이션 산업은 얼마 전까지만 해도 일본·미국 제작사들로부터 하도급을 받아 원화를 그려주는 수준에 머물렀었다.

한국	한국/NNP
애니메이션	애니메이션/NNG
산업은	산업/NNG+은/JX
얼마	얼마/NNG
전까지만	전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
일본·미국	일본/NNP+·/SP+미국/NNP
제작사들로부터	제작사/NNG+들/XSN+로부터/JKB
하도급을	하도급/NNG+을/JKO
받아	받/VV+아/EC
원화를	원화/NNG+를/JKO
그려주는	그리/VV+어/EC+주/VX+는/ETM
수준에	수준/NNG+에/JKB
머물렀었다.	머무르/VV+었었/EP+다/EF+./SF


# id : NWRW1800000038.58.4.2
그러나 올해 해외로 나가는 K애니들은 우리 제작사들이 처음부터 외국 스크린과 브라운관을 겨냥해 주도적으로 작품을 기획하고 만들며 외국 기업의 투자·참여까지 이끌어냈다.

그러나	그러나/MAJ
올해	올해/NNG
해외로	해외/NNG+로/JKB
나가는	나가/VV+는/ETM
K애니들은	K/SL+애니/NNG+들/XSN+은/JX
우리	우리/NP
제작사들이	제작사/NNG+들/XSN+이/JKS
처음부터	처음/NNG+부터/JX
외국	외국/NNG
스크린과	스크린/NNG+과/JC
브라운관을	브라운관/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
주도적으로	주도/NNG+적/XSN+으로/JKB
작품을	작품/NNG+을/JKO
기획하고	기획/NNG+하/XSV+고/EC
만들며	만들/VV+며/EC
기업의	기업/NNG+의/JKG
투자·참여까지	투자/NNG+·/SP+참여/NNG+까지/JX
이끌어냈다.	이끌/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.58.4.3
물론 판권도 우리나라 제작사들에게 있다.

물론	물론/MAG
판권도	판권/NNG+도/JX
우리나라	우리나라/NNG
제작사들에게	제작사/NNG+들/XSN+에게/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.58.4.4
이런 식으로 만들어져 지구촌에 선보일 국산 애니메이션 작품만 10여건.

이런	이런/MMD
식으로	식/NNB+으로/JKB
만들어져	만들/VV+어/EC+지/VX+어/EC
