# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.236
metadata : {}


# id : NWRW1800000056.236.1.1
‘이재용 선고’ 25일 방청 경쟁률 15대1

‘이재용	‘/SS+이재용/NNP
선고’	선고/NNG+’/SS
25일	25/SN+일/NNB
방청	방청/NNG
경쟁률	경쟁/NNG+률/XSN
15대1	15/SN+대/NNB+1/SN


# id : NWRW1800000056.236.2.1
방청석 30석 추첨에 454명 응모

방청석	방청석/NNG
30석	30/SN+석/NNB
추첨에	추첨/NNG+에/JKB
454명	454/SN+명/NNB
응모	응모/NNG


# id : NWRW1800000056.236.3.1
오는 25일 이재용 삼성전자 부회장의 1심 선고 방청 경쟁률이 15대1을 기록했다.

오는	오/VV+는/ETM
25일	25/SN+일/NNB
이재용	이재용/NNP
삼성전자	삼성전자/NNP
부회장의	부회장/NNG+의/JKG
1심	1심/NNG
선고	선고/NNG
방청	방청/NNG
경쟁률이	경쟁/NNG+률/XSN+이/JKS
15대1을	15/SN+대/NNB+1/SN+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.236.3.2
30석 방청석 추첨에 454명이 몰려 이 부회장 선고에 대한 높은 관심을 엿볼 수 있었다.

30석	30/SN+석/NNB
방청석	방청석/NNG
추첨에	추첨/NNG+에/JKB
454명이	454/SN+명/NNB+이/JKS
몰려	몰리/VV+어/EC
이	이/NNP
부회장	부회장/NNG
선고에	선고/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
높은	높/VA+은/ETM
관심을	관심/NNG+을/JKO
엿볼	엿보/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.236.4.1
서울중앙지법은 22일 오전 서울회생법원에서 이 부회장 선고 방청권을 추첨했다.

서울중앙지법은	서울중앙지법/NNP+은/JX
22일	22/SN+일/NNB
오전	오전/NNG
서울회생법원에서	서울회생법원/NNP+에서/JKB
이	이/NNP
부회장	부회장/NNG
선고	선고/NNG
방청권을	방청/NNG+권/XSN+을/JKO
추첨했다.	추첨/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.236.4.2
이 부회장의 선고가 열리는 서울중앙지법 형사대법정 417호에는 150명이 들어갈 수 있지만 소송 관계자, 기자석을 제외하고 일반인에게 개방된 방청석은 30석에 그쳤다.

이	이/NNP
부회장의	부회장/NNG+의/JKG
선고가	선고/NNG+가/JKS
열리는	열리/VV+는/ETM
서울중앙지법	서울중앙지법/NNP
형사대법정	형사/NNG+대/XPN+법정/NNG
417호에는	417/SN+호/NNB+에/JKB+는/JX
150명이	150/SN+명/NNB+이/JKS
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
소송	소송/NNG
관계자,	관계자/NNG+,/SP
기자석을	기자석/NNG+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
일반인에게	일반인/NNG+에게/JKB
개방된	개방/NNG+되/XSV+ㄴ/ETM
방청석은	방청석/NNG+은/JX
30석에	30/SN+석/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.236.4.3
그러나 이날 새벽부터 방청권 추첨에 응모하려는 사람들이 법원 앞에 긴 줄을 서는 등 454명이나 몰렸다.

그러나	그러나/MAJ
이날	이날/NNG
새벽부터	새벽/NNG+부터/JX
방청권	방청/NNG+권/XSN
추첨에	추첨/NNG+에/JKB
