# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.307
metadata : {}


# id : NWRW1800000022.307.1.1
"시장·버스안에서 찔렸다"… 독극물 공포;中 신장자치구 '주사기 테러' 소요사태

"시장·버스안에서	"/SS+시장/NNG+·/SP+버스/NNG+안/NNG+에서/JKB
찔렸다"…	찔리/VV+었/EP+다/EF+"/SS+…/SE
독극물	독극물/NNG
공포;中	공포/NNG+;/SP+中/SH
신장자치구	신장자치구/NNP
'주사기	'/SS+주사기/NNG
테러'	테러/NNG+'/SS
소요사태	소요/NNG+사태/NNG


# id : NWRW1800000022.307.2.1
위구르족의 '주사기 테러'는 지난달 17일부터 시작됐다.

위구르족의	위구르족/NNP+의/JKG
'주사기	'/SS+주사기/NNG
테러'는	테러/NNG+'/SS+는/JX
지난달	지난달/NNG
17일부터	17/SN+일/NNB+부터/JX
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.307.2.2
사람이 많이 모이는 시장이나 상가, 버스 안, 학교 등지에서 위구르족 청년이나 여성이 행인이나 승객, 학생에게 다가가 주삿바늘로 슬쩍 찌른 뒤 사라지는 방식이다.

사람이	사람/NNG+이/JKS
많이	많이/MAG
모이는	모이/VV+는/ETM
시장이나	시장/NNG+이나/JC
상가,	상가/NNG+,/SP
버스	버스/NNG
안,	안/NNG+,/SP
학교	학교/NNG
등지에서	등지/NNB+에서/JKB
위구르족	위구르족/NNP
청년이나	청년/NNG+이나/JC
여성이	여성/NNG+이/JKS
행인이나	행인/NNG+이나/JC
승객,	승객/NNG+,/SP
학생에게	학생/NNG+에게/JKB
다가가	다가가/VV+아/EC
주삿바늘로	주삿바늘/NNG+로/JKB
슬쩍	슬쩍/MAG
찌른	찌르/VV+ㄴ/ETM
뒤	뒤/NNG
사라지는	사라지/VV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.307.2.3
무장경찰이 대거 진주하면서 대규모 시위가 불가능해지자 위구르족들이 새로운 저항수단을 찾은 것이다.

무장경찰이	무장/NNG+경찰/NNG+이/JKS
대거	대거/MAG
진주하면서	진주/NNG+하/XSV+면서/EC
대규모	대/XPN+규모/NNG
시위가	시위/NNG+가/JKS
불가능해지자	불/XPN+가능/NNG+하/XSA+아/EC+지/VX+자/EC
위구르족들이	위구르족/NNP+들/XSN+이/JKS
새로운	새롭/VA+ㄴ/ETM
저항수단을	저항/NNG+수단/NNG+을/JKO
찾은	찾/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.307.2.4
우루무치 당국에 따르면 피해자 476명 중 주삿바늘 자국이 명백한 사람은 89명 정도이다.

우루무치	우루무치/NNP
당국에	당국/NNG+에/JKB
따르면	따르/VV+면/EC
피해자	피해자/NNG
476명	476/SN+명/NNB
중	중/NNB
주삿바늘	주삿바늘/NNG
자국이	자국/NNG+이/JKS
명백한	명백하/VA+ㄴ/ETM
사람은	사람/NNG+은/JX
89명	89/SN+명/NNB
정도이다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.307.2.5
자치구 정부 정법위원회의 주하이룬(周海侖) 서기는 "주사기 테러로 인한 사망자나 입원 치료환자는 없다"고 말했다.

자치구	자치구/NNG
정부	정부/NNG
정법위원회의	정법/NNG+위원회/NNG+의/JKG
주하이룬(周海侖)	주하이룬/NNP+(/SS+周海侖/SH+)/SS
서기는	서기/NNG+는/JX
"주사기	"/SS+주사기/NNG
테러로	테러/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
사망자나	사망자/NNG+나/JC
입원	입원/NNG
치료환자는	치료/NNG+환자/NNG+는/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.307.3.1
◆새로운 저항 주사기 테러

◆새로운	◆/SW+새롭/VA+ㄴ/ETM
저항	저항/NNG
주사기	주사기/NNG
테러	테러/NNG


# id : NWRW1800000022.307.4.1
그러나 주사기 테러에 대해 당국이 쉬쉬하면서 사태는 커져 갔다.

그러나	그러나/MAJ
주사기	주사기/NNG
테러에	테러/NNG+에/JKB
대해	대하/VV+아/EC
당국이	당국/NNG+이/JKS
쉬쉬하면서	쉬쉬하/VV+면서/EC
사태는	사태/NNG+는/JX
커져	커지/VV+어/EC
갔다.	가/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.307.4.2
현지에서는 '주사기 안에 청산가리나 마취제가 들어 있다'거나 '에이즈 환자의 혈액을 주사했다'는 소문이 파다하게 돌면서 주민들이 공포에 떠는 등 민심이 흉흉해졌다.

현지에서는	현지/NNG+에서/JKB+는/JX
'주사기	'/SS+주사기/NNG
안에	안/NNG+에/JKB
청산가리나	청산가리/NNG+나/JC
마취제가	마취제/NNG+가/JKS
들어	들/VV+어/EC
있다'거나	있/VX+다/EF+'/SS+거나/EC
'에이즈	'/SS+에이즈/NNG
환자의	환자/NNG+의/JKG
혈액을	혈액/NNG+을/JKO
주사했다'는	주사/NNG+하/XSV+았/EP+다/EF+'/SS+는/ETM
소문이	소문/NNG+이/JKS
파다하게	파다하/VA+게/EC
돌면서	돌/VV+면서/EC
주민들이	주민/NNG+들/XSN+이/JKS
공포에	공포/NNG+에/JKB
떠는	떨/VV+는/ETM
등	등/NNB
민심이	민심/NNG+이/JKS
흉흉해졌다.	흉흉하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.307.4.3
한 현지 주민은 "주사기 테러 피해자들이 병원으로 몰려들고 있고, 한 어린이가 주삿바늘의 독극물에 의해 사망했다는 미확인 소문이 나도는 등 시 전체가 공황(恐慌) 상태에 빠져 있다"고 말했다.

한	한/MMN
현지	현지/NNG
주민은	주민/NNG+은/JX
"주사기	"/SS+주사기/NNG
테러	테러/NNG
피해자들이	피해자/NNG+들/XSN+이/JKS
병원으로	병원/NNG+으로/JKB
몰려들고	몰려들/VV+고/EC
있고,	있/VX+고/EC+,/SP
어린이가	어린이/NNG+가/JKS
주삿바늘의	주삿바늘/NNG+의/JKG
독극물에	독극물/NNG+에/JKB
의해	의하/VV+아/EC
사망했다는	사망/NNG+하/XSV+았/EP+다는/ETM
미확인	미/XPN+확인/NNG
소문이	소문/NNG+이/JKS
나도는	나돌/VV+는/ETM
등	등/NNB
시	시/NNG
전체가	전체/NNG+가/JKS
공황(恐慌)	공황/NNG+(/SS+恐慌/SH+)/SS
상태에	상태/NNG+에/JKB
빠져	빠지/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.307.5.1
이번 주사기 테러로 친한족 성향의 위구르족, 후이(回)족, 카자흐족, 몽골족 등 9개 소수민족 주민도 피해를 당했다고 중국 언론이 보도했다.

이번	이번/NNG
주사기	주사기/NNG
테러로	테러/NNG+로/JKB
친한족	친/XPN+한족/NNP
성향의	성향/NNG+의/JKG
위구르족,	위구르족/NNP+,/SP
후이(回)족,	후이/NNP+(/SS+回/SH+)/SS+족/NNG+,/SP
카자흐족,	카자흐족/NNP+,/SP
몽골족	몽골족/NNP
등	등/NNB
9개	9/SN+개/NNB
소수민족	소수/NNG+민족/NNG
주민도	주민/NNG+도/JX
피해를	피해/NNG+를/JKO
당했다고	당하/VV+았/EP+다고/EC
중국	중국/NNP
언론이	언론/NNG+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.307.5.2
