# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.202
metadata : {}


# id : NWRW1800000040.202.1.1
삼성전자, 불산 민관조사단 현장조사 거부

삼성전자,	삼성전자/NNP+,/SP
불산	불산/NNG
민관조사단	민관/NNG+조사단/NNG
현장조사	현장/NNG+조사/NNG
거부	거부/NNG


# id : NWRW1800000040.202.2.1
조사단 “약속해놓고 뒤집어” 항의

조사단	조사단/NNG
“약속해놓고	“/SS+약속/NNG+하/XSV+아/EC+놓/VX+고/EC
뒤집어”	뒤집/VV+어/EF+”/SS
항의	항의/NNG


# id : NWRW1800000040.202.3.1
삼성쪽 “노동부·경찰수사 진행중”

삼성쪽	삼성/NNP+쪽/NNB
“노동부·경찰수사	“/SS+노동부/NNG+·/SP+경찰/NNG+수사/NNG
진행중”	진행/NNG+중/NNB+”/SS


# id : NWRW1800000040.202.4.1
경기도 화성 삼성전자 반도체공장의 불산 누출사고와 관련해 인근 동탄새도시 주민, 경기도의원 등이 참여한 민관합동조사단이 20일 공장 내 시료 채취 등 현장 조사에 나섰으나, 삼성전자 쪽이 이를 가로막아 주민 등의 항의에 부딪혔다.

경기도	경기도/NNP
화성	화성/NNP
삼성전자	삼성전자/NNP
반도체공장의	반도체/NNG+공장/NNG+의/JKG
불산	불산/NNG
누출사고와	누출/NNG+사고/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
인근	인근/NNG
동탄새도시	동탄새도시/NNP
주민,	주민/NNG+,/SP
경기도의원	경기도/NNP+의원/NNG
등이	등/NNB+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
민관합동조사단이	민관/NNG+합동/NNG+조사단/NNG+이/JKS
20일	20/SN+일/NNB
공장	공장/NNG
내	내/NNB
시료	시료/NNG
채취	채취/NNG
등	등/NNB
현장	현장/NNG
조사에	조사/NNG+에/JKB
나섰으나,	나서/VV+었/EP+으나/EC+,/SP
쪽이	쪽/NNB+이/JKS
이를	이/NP+를/JKO
가로막아	가로막/VV+아/EC
주민	주민/NNG
등의	등/NNB+의/JKG
항의에	항의/NNG+에/JKB
부딪혔다.	부딪히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.202.5.1
경기도의회가 여야 도의원 6명, 동탄 등 주민 대표 3명, 환경전문가 3명으로 꾸린 ‘삼성전자 화성사업장 불산 누출사고 진상 규명 민관합동조사단’은 이날 오후 2시께 삼성전자 화성공장에 현장 조사를 하러 갔으나, 삼성전자 쪽이 경비원 20여명을 동원해 저지했다.

경기도의회가	경기도의회/NNP+가/JKS
여야	여야/NNG
도의원	도/NNG+의원/NNG
6명,	6/SN+명/NNB+,/SP
동탄	동탄/NNP
등	등/NNB
주민	주민/NNG
대표	대표/NNG
3명,	3/SN+명/NNB+,/SP
환경전문가	환경/NNG+전문가/NNG
3명으로	3/SN+명/NNB+으로/JKB
꾸린	꾸리/VV+ㄴ/ETM
‘삼성전자	‘/SS+삼성전자/NNP
화성사업장	화성/NNP+사업장/NNG
불산	불산/NNG
누출사고	누출/NNG+사고/NNG
진상	진상/NNG
규명	규명/NNG
민관합동조사단’은	민관/NNG+합동/NNG+조사단/NNG+’/SS+은/JX
이날	이날/NNG
오후	오후/NNG
2시께	2/SN+시/NNB+께/XSN
삼성전자	삼성전자/NNP
화성공장에	화성/NNP+공장/NNG+에/JKB
현장	현장/NNG
조사를	조사/NNG+를/JKO
하러	하/VV+러/EC
갔으나,	가/VV+았/EP+으나/EC+,/SP
