# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.378
metadata : {}


# id : NWRW1800000038.378.1.1
[기자수첩] 너무 낙관적인 통일부

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS
너무	너무/MAG
낙관적인	낙관/NNG+적/XSN+이/VCP+ㄴ/ETM
통일부	통일부/NNG


# id : NWRW1800000038.378.2.1
'01시 55분 7차 수석대표 회의 시작'.

'01시	'/SS+01/SN+시/NNB
55분	55/SN+분/NNB
7차	7/SN+차/NNB
수석대표	수석대표/NNG
회의	회의/NNG
시작'.	시작/NNG+'/SS+./SF


# id : NWRW1800000038.378.3.1
10일 새벽 1시 57분 통일부 출입기자들의 휴대전화로 전송된 문자메시지였다.

10일	10/SN+일/NNB
새벽	새벽/NNG
1시	1/SN+시/NNB
57분	57/SN+분/NNB
통일부	통일부/NNG
출입기자들의	출입/NNG+기자/NNG+들/XSN+의/JKG
휴대전화로	휴대/NNG+전화/NNG+로/JKB
전송된	전송/NNG+되/XSV+ㄴ/ETM
문자메시지였다.	문자/NNG+메시지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.378.3.2
전날 오전 10시부터 시작된 남북 간의 판문점 실무 접촉이 아직 끝나지 않았다는 뜻이었다.

전날	전날/NNG
오전	오전/NNG
10시부터	10/SN+시/NNB+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
남북	남북/NNP
간의	간/NNB+의/JKG
판문점	판문점/NNP
실무	실무/NNG
접촉이	접촉/NNG+이/JKS
아직	아직/MAG
끝나지	끝나/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
뜻이었다.	뜻/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.378.4.1
실무 접촉은 새벽 3시 5분이 돼서야 끝났다.

실무	실무/NNG
접촉은	접촉/NNG+은/JX
새벽	새벽/NNG
3시	3/SN+시/NNB
5분이	5/SN+분/NNB+이/JKC
돼서야	되/VV+어서/EC+야/JX
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.378.4.2
2차례의 전체회의와 8차례의 수석대표 회의를 거친 뒤였다.

2차례의	2/SN+차례/NNG+의/JKG
전체회의와	전체/NNG+회의/NNG+와/JC
8차례의	8/SN+차례/NNG+의/JKG
수석대표	수석대표/NNG
회의를	회의/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
뒤였다.	뒤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.378.4.3
양측의 발표문은 3시 40분쯤 공개됐다.

양측의	양측/NNG+의/JKG
발표문은	발표문/NNG+은/JX
3시	3/SN+시/NNB
40분쯤	40/SN+분/NNB+쯤/XSN
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.378.4.4
회담을 시작한 지 약 17시간 40분 만이었다.

회담을	회담/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
약	약/MMA
17시간	17/SN+시간/NNB
40분	40/SN+분/NNB
만이었다.	만/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.378.4.5
전날 이른 아침부터 20시간 동안 회담 상황을 숨죽이고 지켜보느라 진을 뺀 통일부 직원들과 취재진은 비로소 안도의 숨을 내쉬었다.

전날	전날/NNG
이른	이르/VA+ㄴ/ETM
아침부터	아침/NNG+부터/JX
20시간	20/SN+시간/NNB
동안	동안/NNG
회담	회담/NNG
상황을	상황/NNG+을/JKO
숨죽이고	숨죽이/VV+고/EC
지켜보느라	지켜보/VV+느라/EC
진을	진/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
통일부	통일부/NNG
직원들과	직원/NNG+들/XSN+과/JC
취재진은	취재진/NNG+은/JX
비로소	비로소/MAG
안도의	안도/NNG+의/JKG
숨을	숨/NNG+을/JKO
내쉬었다.	내쉬/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.378.5.1
9~10일 만남에서 남북이 새벽까지 합의를 이루지 못한 것은 12일 서울에서 열릴 장관급 회담의 의제와 북한 수석대표의 급(級) 문제였다.

9~10일	9/SN+~/SO+10/SN+일/NNB
만남에서	만남/NNG+에서/JKB
남북이	남북/NNP+이/JKS
새벽까지	새벽/NNG+까지/JX
합의를	합의/NNG+를/JKO
이루지	이루/VV+지/EC
못한	못하/VX+ㄴ/ETM
것은	것/NNB+은/JX
12일	12/SN+일/NNB
서울에서	서울/NNP+에서/JKB
열릴	열리/VV+ㄹ/ETM
장관급	장관급/NNG
회담의	회담/NNG+의/JKG
의제와	의제/NNG+와/JC
북한	북한/NNP
수석대표의	수석대표/NNG+의/JKG
급(級)	급/NNG+(/SS+級/SH+)/SS
문제였다.	문제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.378.5.2
각자의 주장이 너무 뚜렷한 사안이라 애당초 쉽게 해결될 일이 아니었다.

각자의	각자/NNG+의/JKG
주장이	주장/NNG+이/JKS
너무	너무/MAG
뚜렷한	뚜렷하/VA+ㄴ/ETM
사안이라	사안/NNG+이/VCP+라/EC
애당초	애당초/NNG
쉽게	쉽/VA+게/EC
해결될	해결/NNG+되/XSV+ㄹ/ETM
일이	일/NNG+이/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000038.378.6.1
하지만 통일부 당국자들은 무슨 이유에선지 기자들에게 "12일 장관급 회담 개최는 확정적이다. 큰 것은 다 합의됐고 미세 조정만 남았다"는 말을 종일 되풀이했다.

하지만	하지만/MAJ
통일부	통일부/NNG
당국자들은	당국자/NNG+들/XSN+은/JX
무슨	무슨/MMD
이유에선지	이유/NNG+에서/JKB+이/VCP+ㄴ지/EC
기자들에게	기자/NNG+들/XSN+에게/JKB
"12일	"/SS+12/SN+일/NNB
장관급	장관급/NNG
회담	회담/NNG
개최는	개최/NNG+는/JX
확정적이다.	확정/NNG+적/XSN+이/VCP+다/EF+./SF
큰	크/VA+ㄴ/ETM
것은	것/NNB+은/JX
다	다/MAG
합의됐고	합의/NNG+되/XSV+었/EP+고/EC
미세	미세/NNG
조정만	조정/NNG+만/JX
남았다"는	남/VV+았/EP+다/EF+"/SS+는/ETM
말을	말/NNG+을/JKO
종일	종일/MAG
되풀이했다.	되풀이/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.378.6.2
9일 저녁 한 당국자는 "단어 몇 개 놓고 남북이 좀 생각이 다른데 곧 해결될 것"이라고도 했다.

9일	9/SN+일/NNB
저녁	저녁/NNG
한	한/MMN
당국자는	당국자/NNG+는/JX
"단어	"/SS+단어/NNG
몇	몇/NR
개	개/NNB
놓고	놓/VV+고/EC
남북이	남북/NNP+이/JKS
좀	좀/MAG
생각이	생각/NNG+이/JKS
다른데	다르/VA+ㄴ데/EC
곧	곧/MAG
해결될	해결/NNG+되/XSV+ㄹ/ETM
것"이라고도	것/NNB+"/SS+이라고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.378.6.3
10일 새벽 2시쯤 기자실을 찾아온 당국자는 "창조적 대안을 제시했으니 아마 곧 합의에 이를 것"이라고 했다.

10일	10/SN+일/NNB
새벽	새벽/NNG
2시쯤	2/SN+시/NNB+쯤/XSN
기자실을	기자실/NNG+을/JKO
찾아온	찾아오/VV+ㄴ/ETM
당국자는	당국자/NNG+는/JX
"창조적	"/SS+창조/NNG+적/XSN
대안을	대안/NNG+을/JKO
제시했으니	제시/NNG+하/XSV+았/EP+으니/EC
아마	아마/MAG
곧	곧/MAG
합의에	합의/NNG+에/JKB
이를	이르/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.378.7.1
통일부 당국자들이 이처럼 회담 성사에 기대감을 갖고 의욕을 보인 것은 이해할 만하다.

통일부	통일부/NNG
당국자들이	당국자/NNG+들/XSN+이/JKS
이처럼	이/NP+처럼/JKB
회담	회담/NNG
성사에	성사/NNG+에/JKB
기대감을	기대감/NNG+을/JKO
갖고	갖/VV+고/EC
의욕을	의욕/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
것은	것/NNB+은/JX
이해할	이해/NNG+하/XSV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000038.378.7.2
이명박 정부 5년간 회담다운 회담을 거의 해보지 못하다가 오래간만에 '임무'가 생겼기 때문이다.

이명박	이명박/NNP
정부	정부/NNG
5년간	5/SN+년/NNB+간/XSN
회담다운	회담/NNG+답/XSA+ㄴ/ETM
회담을	회담/NNG+을/JKO
거의	거의/MAG
해보지	하/VV+아/EC+보/VX+지/EC
못하다가	못하/VX+다가/EC
오래간만에	오래간만/NNG+에/JKB
'임무'가	'/SS+임무/NNG+'/SS+가/JKS
생겼기	생기/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.378.8.1
하지만 실무 접촉 결과는 통일부 당국자들의 말과는 딴판이었다.

하지만	하지만/MAJ
실무	실무/NNG
접촉	접촉/NNG
결과는	결과/NNG+는/JX
통일부	통일부/NNG
당국자들의	당국자/NNG+들/XSN+의/JKG
말과는	말/NNG+과/JKB+는/JX
딴판이었다.	딴판/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.378.8.2
우선 실무 접촉의 결과물인 합의문이 없었다.

우선	우선/MAG
실무	실무/NNG
접촉의	접촉/NNG+의/JKG
결과물인	결과물/NNG+이/VCP+ㄴ/ETM
합의문이	합의문/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.378.8.3
대신 두 장의 발표문이 공개됐다.

대신	대신/NNG
두	두/MMN
장의	장/NNB+의/JKG
발표문이	발표문/NNG+이/JKS
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.378.8.4
남북이 결국 북측 수석대표와 6·15행사의 의제화에 합의하지 못해 각자의 주장을 담은 각기 다른 발표문을 작성한 것이다.

남북이	남북/NNP+이/JKS
결국	결국/MAG
북측	북측/NNG
수석대표와	수석대표/NNG+와/JKB
6·15행사의	6/SN+·/SP+15/SN+행사/NNG+의/JKG
의제화에	의제/NNG+화/XSN+에/JKB
합의하지	합의/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
각자의	각자/NNG+의/JKG
주장을	주장/NNG+을/JKO
담은	담/VV+은/ETM
각기	각기/MAG
다른	다르/VA+ㄴ/ETM
발표문을	발표문/NNG+을/JKO
작성한	작성/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.378.9.1
이에 따라 회담의 격(格)도 당초 '장관급'에서 '당국'으로 낮아졌다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
회담의	회담/NNG+의/JKG
격(格)도	격/NNG+(/SS+格/SH+)/SS+도/JX
당초	당초/NNG
'장관급'에서	'/SS+장관급/NNG+'/SS+에서/JKB
'당국'으로	'/SS+당국/NNG+'/SS+으로/JKB
낮아졌다.	낮/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.378.9.2
'대화(12일 당국회담)를 위한 대화(9~10일 실무접촉)'에서부터 걸림돌이 만만치 않았던 셈이다.

'대화(12일	'/SS+대화/NNG+(/SS+12/SN+일/NNB
당국회담)를	당국/NNG+회담/NNG+)/SS+를/JKO
위한	위하/VV+ㄴ/ETM
대화(9~10일	대화/NNG+(/SS+9/SN+~/SO+10/SN+일/NNB
실무접촉)'에서부터	실무/NNG+접촉/NNG+)/SS+'/SS+에서부터/JKB
걸림돌이	걸림돌/NNG+이/JKS
만만치	만만하/VA+지/EC
않았던	않/VX+았/EP+던/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.378.9.3
통일부는 북한의 이런 모습이 어제오늘이 아니란 것을 누구보다 잘 아는 조직이다.

통일부는	통일부/NNG+는/JX
북한의	북한/NNP+의/JKG
이런	이런/MMD
모습이	모습/NNG+이/JKS
어제오늘이	어제오늘/NNG+이/JKC
아니란	아니/VCN+란/ETM
것을	것/NNB+을/JKO
누구보다	누구/NP+보다/JKB
잘	잘/MAG
아는	알/VV+는/ETM
조직이다.	조직/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.378.9.4
이제 들뜬 마음을 가라앉히고 차분하게 회담을 준비할 때다.

이제	이제/MAG
들뜬	들뜨/VV+ㄴ/ETM
마음을	마음/NNG+을/JKO
가라앉히고	가라앉히/VV+고/EC
차분하게	차분하/VA+게/EC
회담을	회담/NNG+을/JKO
준비할	준비/NNG+하/XSV+ㄹ/ETM
때다.	때/NNG+이/VCP+다/EF+./SF


