# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.351
metadata : {}


# id : NWRW1800000040.351.1.1
[아침 햇발] 양치기 소년의 빙의 / 정영무

[아침	[/SS+아침/NNG
햇발]	햇발/NNG+]/SS
양치기	양치기/NNG
소년의	소년/NNG+의/JKG
빙의	빙의/NNG
/	//SP
정영무	정영무/NNP


# id : NWRW1800000040.351.2.1
정홍원 국무총리가 그제 담화에서 “어렵게 살아나고 있는 경기 회복의 불씨를 살려서 회복 흐름이 추세적으로 이어질 수 있도록 모든 역량을 최대한 집중하자”고 했다.

정홍원	정홍원/NNP
국무총리가	국무총리/NNG+가/JKS
그제	그제/NNG
담화에서	담화/NNG+에서/JKB
“어렵게	“/SS+어렵/VA+게/EC
살아나고	살아나/VV+고/EC
있는	있/VX+는/ETM
경기	경기/NNG
회복의	회복/NNG+의/JKG
불씨를	불씨/NNG+를/JKO
살려서	살리/VV+어서/EC
회복	회복/NNG
흐름이	흐름/NNG+이/JKS
추세적으로	추세/NNG+적/XSN+으로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
모든	모든/MMN
역량을	역량/NNG+을/JKO
최대한	최대한/MAG
집중하자”고	집중/NNG+하/XSV+자/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.351.2.2
정 총리는 이렇게 중요한 시기에 국가정보원 댓글과 엔엘엘 관련 의혹 등으로 혼란과 대립이 이어지고 있어 안타깝다고 덧붙였다.

정	정/NNP
총리는	총리/NNG+는/JX
이렇게	이렇/VA+게/EC
중요한	중요/NNG+하/XSA+ㄴ/ETM
시기에	시기/NNG+에/JKB
국가정보원	국가/NNG+정보원/NNG
댓글과	댓글/NNG+과/JKB
엔엘엘	엔엘엘/NNG
관련	관련/NNG
의혹	의혹/NNG
등으로	등/NNB+으로/JKB
혼란과	혼란/NNG+과/JC
대립이	대립/NNG+이/JKS
이어지고	이어지/VV+고/EC
있어	있/VX+어/EC
안타깝다고	안타깝/VA+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.351.2.3
분기 성장률 그래프가 1%대를 턱걸이하면서 현오석 경제부총리도 숨죽이고 경제를 살리자는 ‘불씨론’을 설파하고 있다.

분기	분기/NNG
성장률	성장/NNG+률/XSN
그래프가	그래프/NNG+가/JKS
1%대를	1/SN+%/SW+대/XSN+를/JKO
턱걸이하면서	턱걸이/NNG+하/XSV+면서/EC
현오석	현오석/NNP
경제부총리도	경제/NNG+부총리/NNG+도/JX
숨죽이고	숨죽이/VV+고/EC
경제를	경제/NNG+를/JKO
살리자는	살리/VV+자는/ETM
‘불씨론’을	‘/SS+불씨/NNG+론/XSN+’/SS+을/JKO
설파하고	설파/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.351.2.4
자칫하면 위기에 빠질 수 있다는 경고도 빼놓지 않는다.

자칫하면	자칫/MAG+하/XSV+면/EC
위기에	위기/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
경고도	경고/NNG+도/JX
빼놓지	빼놓/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000040.351.3.1
우리 경제는 지금 국제통화기금 구제금융 당시처럼 바람 앞의 촛불 같은 위기 상황은 아니다.

우리	우리/NP
경제는	경제/NNG+는/JX
지금	지금/MAG
국제통화기금	국제통화기금/NNP
구제금융	구제/NNG+금융/NNG
당시처럼	당시/NNG+처럼/JKB
바람	바람/NNG
앞의	앞/NNG+의/JKG
촛불	촛불/NNG
같은	같/VA+은/ETM
위기	위기/NNG
상황은	상황/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000040.351.3.2
한국 경제는 제조업을 중심으로 세계적인 경쟁력을 갖고 있으며 사상 최대의 경상수지 흑자가 그것을 말한다.

한국	한국/NNP
경제는	경제/NNG+는/JX
제조업을	제조업/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
경쟁력을	경쟁력/NNG+을/JKO
갖고	갖/VV+고/EC
있으며	있/VX+으며/EC
사상	사상/NNG
최대의	최대/NNG+의/JKG
경상수지	경상/NNG+수지/NNG
흑자가	흑자/NNG+가/JKS
그것을	그것/NP+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.351.3.3
국제통화기금은 1인당 국민소득 3만달러 달성 시기를 2011년에 2016년으로 봤다가 올해 2017년으로 한 해 늦췄지만 꾸준한 성장세를 예측했다.

국제통화기금은	국제통화기금/NNP+은/JX
1인당	1/SN+인/NNG+당/XSN
국민소득	국민/NNG+소득/NNG
3만달러	3/SN+만/NR+달러/NNB
달성	달성/NNG
시기를	시기/NNG+를/JKO
2011년에	2011/SN+년/NNB+에/JKB
2016년으로	2016/SN+년/NNB+으로/JKB
봤다가	보/VV+았/EP+다가/EC
올해	올해/NNG
2017년으로	2017/SN+년/NNB+으로/JKB
한	한/MMN
해	해/NNG
늦췄지만	늦추/VV+었/EP+지만/EC
꾸준한	꾸준하/VA+ㄴ/ETM
성장세를	성장세/NNG+를/JKO
예측했다.	예측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.351.3.4
위기냐 아니냐 하는 것보다 우리가 물어야 할 질문은 2016년이 됐건 그 이듬해가 됐건 국민소득이 3만달러에 이르면 우리의 삶은 나아질까 하는 것이다.

위기냐	위기/NNG+이/VCP+냐/EF
아니냐	아니/VCN+냐/EF
하는	하/VV+는/ETM
것보다	것/NNB+보다/JKB
우리가	우리/NP+가/JKS
물어야	묻/VV+어야/EC
할	하/VX+ㄹ/ETM
질문은	질문/NNG+은/JX
2016년이	2016/SN+년/NNB+이/JKC
됐건	되/VV+었/EP+건/EC
그	그/MMD
이듬해가	이듬해/NNG+가/JKC
국민소득이	국민/NNG+소득/NNG+이/JKS
3만달러에	3/SN+만/NR+달러/NNB+에/JKB
이르면	이르/VV+면/EC
우리의	우리/NP+의/JKG
삶은	삶/NNG+은/JX
나아질까	나아지/VV+ㄹ까/EF
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.351.3.5
지금도 1인당 국민소득 2만달러가 넘으니 평균적인 3인 가족이면 연 6000만원 이상, 월 500만원 이상을 버는 셈이다.

지금도	지금/NNG+도/JX
1인당	1/SN+인/NNG+당/XSN
국민소득	국민/NNG+소득/NNG
2만달러가	2/SN+만/NR+달러/NNB+가/JKS
넘으니	넘/VV+으니/EC
평균적인	평균/NNG+적/XSN+이/VCP+ㄴ/ETM
3인	3/SN+인/NNG
가족이면	가족/NNG+이/VCP+면/EC
연	연/NNG
6000만원	6000/SN+만/NR+원/NNB
이상,	이상/NNG+,/SP
월	월/NNG
500만원	500/SN+만/NR+원/NNB
이상을	이상/NNG+을/JKO
버는	벌/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.351.3.6
파이를 잘 나누면 경제적 약자도 충분히 자존심을 지키며 살 만한 수준이다.

파이를	파이/NNG+를/JKO
잘	잘/MAG
나누면	나누/VV+면/EC
경제적	경제/NNG+적/XSN
약자도	약자/NNG+도/JX
충분히	충분히/MAG
자존심을	자존심/NNG+을/JKO
지키며	지키/VV+며/EC
살	살/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.351.3.7
그렇지만 현실은 한 해 문 닫는 자영업자만 80만명이 넘고 파산 직전의 가계가 헤아리기 어려울 정도다.

그렇지만	그렇지만/MAJ
현실은	현실/NNG+은/JX
한	한/MMN
해	해/NNG
문	문/NNG
닫는	닫/VV+는/ETM
자영업자만	자영업자/NNG+만/JX
80만명이	80/SN+만/NR+명/NNB+이/JKS
넘고	넘/VV+고/EC
파산	파산/NNG
직전의	직전/NNG+의/JKG
가계가	가계/NNG+가/JKS
헤아리기	헤아리/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.351.3.8
무엇을 위한 경제살리기인지 묻지 않을 수 없다.

무엇을	무엇/NP+을/JKO
위한	위하/VV+ㄴ/ETM
경제살리기인지	경제/NNG+살리/VV+기/ETN+이/VCP+ㄴ지/EC
묻지	묻/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000040.351.4.1
총리가 내세우는 경제살리기라는 것도 규제를 완화해 외국인 투자를 유치하거나 관광을 진흥시키면 일자리가 꽤 늘어난다는 정도다.

총리가	총리/NNG+가/JKS
내세우는	내세우/VV+는/ETM
경제살리기라는	경제/NNG+살리/VV+기/ETN+이/VCP+라는/ETM
것도	것/NNB+도/JX
규제를	규제/NNG+를/JKO
완화해	완화/NNG+하/XSV+아/EC
외국인	외국인/NNG
투자를	투자/NNG+를/JKO
유치하거나	유치/NNG+하/XSV+거나/EC
관광을	관광/NNG+을/JKO
진흥시키면	진흥/NNG+시키/XSV+면/EC
일자리가	일자리/NNG+가/JKS
꽤	꽤/MAG
늘어난다는	늘어나/VV+ㄴ다는/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.351.4.2
경제 활성화 법안만 통과되면 경제가 벌떡 일어나고 그렇지 않으면 중병에 걸릴 것처럼 얘기하지만 우리 경제 규모로 보면 미미한 변수다.

경제	경제/NNG
활성화	활성/NNG+화/XSN
법안만	법안/NNG+만/JX
통과되면	통과/NNG+되/XSV+면/EC
경제가	경제/NNG+가/JKS
벌떡	벌떡/MAG
일어나고	일어나/VV+고/EC
그렇지	그렇/VA+지/EC
않으면	않/VX+으면/EC
중병에	중병/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
것처럼	것/NNB+처럼/JKB
얘기하지만	얘기/NNG+하/XSV+지만/EC
우리	우리/NP
규모로	규모/NNG+로/JKB
보면	보/VV+면/EC
미미한	미미하/VA+ㄴ/ETM
변수다.	변수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.351.4.3
외자를 유치해 화학공장을 세우면 1만개 넘는 일자리가 생긴다며 안타까워하는데, 공장 짓는 데 동원되는 일용직까지 포함된 숫자로 실제 자동화된 공장 가동에 필요한 인력은 수십명이면 족하다고 한다.

외자를	외자/NNG+를/JKO
유치해	유치/NNG+하/XSV+아/EC
화학공장을	화학/NNG+공장/NNG+을/JKO
세우면	세우/VV+면/EC
1만개	1/SN+만/NR+개/NNB
넘는	넘/VV+는/ETM
일자리가	일자리/NNG+가/JKS
생긴다며	생기/VV+ㄴ다며/EC
안타까워하는데,	안타까워하/VV+는데/EC+,/SP
공장	공장/NNG
짓는	짓/VV+는/ETM
데	데/NNB
동원되는	동원/NNG+되/XSV+는/ETM
일용직까지	일용직/NNG+까지/JX
포함된	포함/NNG+되/XSV+ㄴ/ETM
숫자로	숫자/NNG+로/JKB
실제	실제/NNG
자동화된	자동/NNG+화/XSN+되/XSV+ㄴ/ETM
가동에	가동/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
인력은	인력/NNG+은/JX
수십명이면	수십/NR+명/NNB+이/VCP+면/EC
족하다고	족하/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.351.4.4
눈 딱 감고 뻥튀기까지 하면서 경제살리기의 주술을 외는 의도를 의심할 수밖에 없다.

눈	눈/NNG
딱	딱/MAG
감고	감/VV+고/EC
뻥튀기까지	뻥튀기/NNG+까지/JX
하면서	하/VV+면서/EC
경제살리기의	경제/NNG+살리/VV+기/ETN+의/JKG
주술을	주술/NNG+을/JKO
외는	외/VV+는/ETM
의도를	의도/NNG+를/JKO
의심할	의심/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000040.351.5.1
공정한 경쟁은커녕 강자가 약자의 이익을 뺏어가는 약탈적 구조가 고착화돼 있다는 게 우리 경제의 가장 큰 문제다.

공정한	공정/NNG+하/XSA+ㄴ/ETM
경쟁은커녕	경쟁/NNG+은커녕/JX
강자가	강자/NNG+가/JKS
약자의	약자/NNG+의/JKG
이익을	이익/NNG+을/JKO
뺏어가는	뺏/VV+어/EC+가/VX+는/ETM
약탈적	약탈/NNG+적/XSN
구조가	구조/NNG+가/JKS
고착화돼	고착/NNG+화/XSN+되/XSV+어/EC
있다는	있/VX+다는/ETM
게	거/NNB+이/JKS
우리	우리/NP
경제의	경제/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.351.5.2
경쟁이 원천적으로 불가능한 이런 환경에서는 양극화가 가속화될 수밖에 없다.

경쟁이	경쟁/NNG+이/JKS
원천적으로	원천/NNG+적/XSN+으로/JKB
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
이런	이런/MMD
환경에서는	환경/NNG+에서/JKB+는/JX
양극화가	양극/NNG+화/XSN+가/JKS
가속화될	가속/NNG+화/XSN+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000040.351.5.3
재벌 총수의 반칙과 대기업의 불공정 행위를 규제하는 몇 개의 법안이 마련됐다고 해서 상황이 달라지기 어려운 지경이다.

재벌	재벌/NNG
총수의	총수/NNG+의/JKG
반칙과	반칙/NNG+과/JC
대기업의	대/XPN+기업/NNG+의/JKG
불공정	불/XPN+공정/NNG
행위를	행위/NNG+를/JKO
규제하는	규제/NNG+하/XSV+는/ETM
몇	몇/NR
개의	개/NNB+의/JKG
법안이	법안/NNG+이/JKS
마련됐다고	마련/NNG+되/XSV+었/EP+다고/EC
해서	하/VV+아서/EC
상황이	상황/NNG+이/JKS
달라지기	달라지/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
지경이다.	지경/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.351.6.1
기업과 시장의 현실은 판도라의 상자 열리듯 더 많은 경제민주화의 지속적 추진이 불가피하다는 것을 실증하고 있다.

기업과	기업/NNG+과/JC
시장의	시장/NNG+의/JKG
현실은	현실/NNG+은/JX
판도라의	판도라/NNP+의/JKG
상자	상자/NNG
열리듯	열리/VV+듯/EC
더	더/MAG
많은	많/VA+은/ETM
경제민주화의	경제/NNG+민주/NNG+화/XSN+의/JKG
지속적	지속/NNG+적/XSN
추진이	추진/NNG+이/JKS
불가피하다는	불가피하/VA+다는/ETM
것을	것/NNB+을/JKO
실증하고	실증/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.351.6.2
잇따라 터진 동양그룹과 효성그룹 사태는 지배구조의 후진성을 비롯해 재벌의 고질병을 고스란히 드러냈다.

잇따라	잇따르/VV+아/EC
터진	터지/VV+ㄴ/ETM
동양그룹과	동양그룹/NNP+과/JC
효성그룹	효성그룹/NNP
사태는	사태/NNG+는/JX
지배구조의	지배/NNG+구조/NNG+의/JKG
후진성을	후진/NNG+성/XSN+을/JKO
비롯해	비롯하/VV+아/EC
재벌의	재벌/NNG+의/JKG
고질병을	고질병/NNG+을/JKO
고스란히	고스란히/MAG
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.351.6.3
아모레퍼시픽, 엘지유플러스 등 대기업에서 보란듯이 제2의 남양유업 사태가 되풀이되고 있다.

아모레퍼시픽,	아모레퍼시픽/NNP+,/SP
엘지유플러스	엘지유플러스/NNP
등	등/NNB
대기업에서	대/XPN+기업/NNG+에서/JKB
보란듯이	보/VV+란/ETM+듯이/NNB
제2의	제/XPN+2/SN+의/JKG
남양유업	남양유업/NNP
사태가	사태/NNG+가/JKS
되풀이되고	되풀이/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.351.6.4
대우조선해양 임직원들은 협력업체를 종 부리듯 하며 금품 뜯기를 일삼았다.

대우조선해양	대우조선해양/NNP
임직원들은	임직원/NNG+들/XSN+은/JX
협력업체를	협력/NNG+업체/NNG+를/JKO
종	종/NNG
부리듯	부리/VV+듯/EC
하며	하/VX+며/EC
금품	금품/NNG
뜯기를	뜯/VV+기/ETN+를/JKO
일삼았다.	일삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.351.7.1
위기의 본질은 공정한 시장의 룰이 사라진 데 있다.

위기의	위기/NNG+의/JKG
본질은	본질/NNG+은/JX
공정한	공정/NNG+하/XSA+ㄴ/ETM
시장의	시장/NNG+의/JKG
룰이	룰/NNG+이/JKS
사라진	사라지/VV+ㄴ/ETM
데	데/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.351.7.2
이런데도 대기업 중심의 경제를 중소기업, 소상공인, 소비자가 동반 발전하는 경제 시스템으로 바꾸겠다는 약속은 쑥 들어갔다.

이런데도	이렇/VA+ㄴ데/EC+도/JX
대기업	대/XPN+기업/NNG
중심의	중심/NNG+의/JKG
경제를	경제/NNG+를/JKO
중소기업,	중소기업/NNG+,/SP
소상공인,	소/XPN+상공인/NNG+,/SP
소비자가	소비자/NNG+가/JKS
동반	동반/NNG
발전하는	발전/NNG+하/XSV+는/ETM
경제	경제/NNG
시스템으로	시스템/NNG+으로/JKB
바꾸겠다는	바꾸/VV+겠/EP+다는/ETM
약속은	약속/NNG+은/JX
쑥	쑥/MAG
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.351.7.3
