# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.395
metadata : {}


# id : NWRW1800000046.395.1.1
"메르스 끝났는데 왜 막냐"… 아무때나 病室 찾아

"메르스	"/SS+메르스/NNG
끝났는데	끝나/VV+았/EP+는데/EC
왜	왜/MAG
막냐"…	막/VV+냐/EF+"/SS+…/SE
아무때나	아무/MMD+때/NNG+나/JX
病室	病室/SH
찾아	찾/VV+아/EF


# id : NWRW1800000046.395.2.1
달라지지 않은 '막무가내 문병'… 보호자 1명으로 제한하고 방문 자제 안내해도 '허사'

달라지지	달라지/VV+지/EC
않은	않/VX+은/ETM
'막무가내	'/SS+막무가내/NNG
문병'…	문병/NNG+'/SS+…/SE
보호자	보호자/NNG
1명으로	1/SN+명/NNB+으로/JKB
제한하고	제한/NNG+하/XSV+고/EC
방문	방문/NNG
자제	자제/NNG
안내해도	안내/NNG+하/XSV+아도/EC
'허사'	'/SS+허사/NNG+'/SS


# id : NWRW1800000046.395.3.1
아무 때나 우르르 몰려가 입원 환자를 문병하는 풍경은 메르스 사태 이후에도 달라지지 않았다.

아무	아무/MMD
때나	때/NNG+나/JX
우르르	우르르/MAG
몰려가	몰려가/VV+아/EC
입원	입원/NNG
환자를	환자/NNG+를/JKO
문병하는	문병/NNG+하/XSV+는/ETM
풍경은	풍경/NNG+은/JX
메르스	메르스/NNG
사태	사태/NNG
이후에도	이후/NNG+에/JKB+도/JX
달라지지	달라지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.395.3.2
메르스 확산의 주범 가운데 한 요인으로 꼽혔던 '무분별한 문병 문화'를 개선하기 위해 주요 대학병원 등 일부 병원이 입원 환자 면회 제한을 시도하고 있지만, 내원객들이 이에 호응하고 있지 않기 때문이다.

메르스	메르스/NNG
확산의	확산/NNG+의/JKG
주범	주범/NNG
가운데	가운데/NNG
한	한/MMN
요인으로	요인/NNG+으로/JKB
꼽혔던	꼽히/VV+었/EP+던/ETM
'무분별한	'/SS+무/XPN+분별/NNG+하/XSA+ㄴ/ETM
문병	문병/NNG
문화'를	문화/NNG+'/SS+를/JKO
개선하기	개선/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
주요	주요/NNG
대학병원	대학/NNG+병원/NNG
등	등/NNB
일부	일부/NNG
병원이	병원/NNG+이/JKS
입원	입원/NNG
환자	환자/NNG
면회	면회/NNG
제한을	제한/NNG+을/JKO
시도하고	시도/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
내원객들이	내원객/NNG+들/XSN+이/JKS
이에	이/NP+에/JKB
호응하고	호응/NNG+하/XSV+고/EC
있지	있/VX+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.395.4.1
세브란스병원은 환자가 입원할 때 안내 교육을 통해 보호자는 원칙적으로 1명만 허용하고 있다.

