# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.414
metadata : {}


# id : NWRW1800000024.414.1.1
“대안입찰 방식으로 2조원 낭비”

“대안입찰	“/SS+대안/NNG+입찰/NNG
방식으로	방식/NNG+으로/JKB
2조원	2/SN+조/NR+원/NNB
낭비”	낭비/NNG+”/SS


# id : NWRW1800000024.414.2.1
정부의 ‘대안입찰 제도’로 2005년 이후 4년6개월 동안 2조원 가까운 예산이 낭비됐다는 주장이 나왔다.

정부의	정부/NNG+의/JKG
‘대안입찰	‘/SS+대안/NNG+입찰/NNG
제도’로	제도/NNG+’/SS+로/JKB
2005년	2005/SN+년/NNB
이후	이후/NNG
4년6개월	4/SN+년/NNB+6/SN+개월/NNB
동안	동안/NNG
2조원	2/SN+조/NR+원/NNB
가까운	가깝/VA+ㄴ/ETM
예산이	예산/NNG+이/JKS
낭비됐다는	낭비/NNG+되/XSV+었/EP+다는/ETM
주장이	주장/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.414.3.1
경제정의실천시민연합(경실련·공동대표 강철규 등)은 10일 “지난 4년6개월 동안 정부 및 공기업 36개 기관이 71건의 사업(8조3000억원)을 대안입찰 방식으로 발주했고, 그 결과 1조9995억원의 혈세가 낭비된 것으로 추정된다”고 밝혔다.

경제정의실천시민연합(경실련·공동대표	경제정의실천시민연합/NNP+(/SS+경실련/NNP+·/SP+공동/NNG+대표/NNG
강철규	강철규/NNP
등)은	등/NNB+)/SS+은/JX
10일	10/SN+일/NNB
“지난	“/SS+지나/VV+ㄴ/ETM
4년6개월	4/SN+년/NNB+6/SN+개월/NNB
동안	동안/NNG
정부	정부/NNG
및	및/MAG
공기업	공기업/NNG
36개	36/SN+개/NNB
기관이	기관/NNG+이/JKS
71건의	71/SN+건/NNB+의/JKG
사업(8조3000억원)을	사업/NNG+(/SS+8/SN+조/NR+3000/SN+억/NR+원/NNB+)/SS+을/JKO
대안입찰	대안/NNG+입찰/NNG
방식으로	방식/NNG+으로/JKB
발주했고,	발주/NNG+하/XSV+았/EP+고/EC+,/SP
그	그/MMD
결과	결과/NNG
1조9995억원의	1/SN+조/NR+9995/SN+억/NR+원/NNB+의/JKG
혈세가	혈세/NNG+가/JKS
낭비된	낭비/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된다”고	추정/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.414.3.2
경실련은 특히 이명박 정부 1년6개월 동안의 ‘낭비 추정액’이 전체의 45%(9110억원)를 차지했다고 지적했다.

경실련은	경실련/NNP+은/JX
특히	특히/MAG
이명박	이명박/NNP
정부	정부/NNG
1년6개월	1/SN+년/NNB+6/SN+개월/NNB
동안의	동안/NNG+의/JKG
‘낭비	‘/SS+낭비/NNG
추정액’이	추정액/NNG+’/SS+이/JKS
전체의	전체/NNG+의/JKG
45%(9110억원)를	45/SN+%/SW+(/SS+9110/SN+억/NR+원/NNB+)/SS+를/JKO
차지했다고	차지/NNG+하/XSV+았/EP+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.414.4.1
대안입찰이란 발주기관(정부·공공기관)이 이미 설계 작업이 마무리된 공공사업에 대해 가격경쟁입찰을 하는 대신, 기존 설계보다 품질이 더 좋고 가격이 싼 ‘대안 설계’를 새로 제시한 기업을 사업자로 선정하는 방식이다.

대안입찰이란	대안/NNG+입찰/NNG+이란/JX
발주기관(정부·공공기관)이	발주/NNG+기관/NNG+(/SS+정부/NNG+·/SP+공공/NNG+기관/NNG+)/SS+이/JKS
이미	이미/MAG
설계	설계/NNG
작업이	작업/NNG+이/JKS
마무리된	마무리/NNG+되/XSV+ㄴ/ETM
공공사업에	공공사업/NNG+에/JKB
대해	대하/VV+아/EC
가격경쟁입찰을	가격/NNG+경쟁/NNG+입찰/NNG+을/JKO
하는	하/VV+는/ETM
대신,	대신/NNG+,/SP
기존	기존/NNG
설계보다	설계/NNG+보다/JKB
품질이	품질/NNG+이/JKS
더	더/MAG
좋고	좋/VA+고/EC
가격이	가격/NNG+이/JKS
싼	싸/VA+ㄴ/ETM
‘대안	‘/SS+대안/NNG
설계’를	설계/NNG+’/SS+를/JKO
새로	새로/MAG
제시한	제시/NNG+하/XSV+ㄴ/ETM
기업을	기업/NNG+을/JKO
사업자로	사업자/NNG+로/JKB
선정하는	선정/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.414.4.2
경실련은 기존 가격경쟁입찰에선 20~30개 업체가 입찰에 참여하지만, 대안입찰에선 설계 능력을 갖춘 2~3개 대형업체만 사실상 참여가 가능해 25~30%의 예산이 더 들어간다고 설명했다.

경실련은	경실련/NNP+은/JX
기존	기존/NNG
가격경쟁입찰에선	가격/NNG+경쟁/NNG+입찰/NNG+에서/JKB+ㄴ/JX
20~30개	20/SN+~/SO+30/SN+개/NNB
업체가	업체/NNG+가/JKS
입찰에	입찰/NNG+에/JKB
참여하지만,	참여/NNG+하/XSV+지만/EC+,/SP
대안입찰에선	대안/NNG+입찰/NNG+에서/JKB+ㄴ/JX
설계	설계/NNG
능력을	능력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
2~3개	2/SN+~/SO+3/SN+개/NNB
대형업체만	대형/NNG+업체/NNG+만/JX
사실상	사실/NNG+상/XSN
참여가	참여/NNG+가/JKS
가능해	가능/NNG+하/XSA+아/EC
25~30%의	25/SN+~/SO+30/SN+%/SW+의/JKG
예산이	예산/NNG+이/JKS
더	더/MAG
들어간다고	들어가/VV+ㄴ다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.414.4.3
