# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.102
metadata : {}


# id : NWRW1800000033.102.1.1
[함께가는 공기업]노후 가스시설 무료 교체… 직원이 직접 찾아 봉사한다

[함께가는	[/SS+함께/MAG+가/VV+는/ETM
공기업]노후	공기업/NNG+]/SS+노후/NNG
가스시설	가스/NNG+시설/NNG
무료	무료/NNG
교체…	교체/NNG+…/SE
직원이	직원/NNG+이/JKS
직접	직접/MAG
찾아	찾/VV+아/EC
봉사한다	봉사/NNG+하/XSV+ㄴ다/EF


# id : NWRW1800000033.102.2.1
한국가스안전공사는 ‘사랑 나누기 안전 더하기’라는 슬로건 아래 ‘한국가스안전공사(KGS) 행복나눔 봉사단’을 운영하고 있다.

한국가스안전공사는	한국가스안전공사/NNP+는/JX
‘사랑	‘/SS+사랑/NNG
나누기	나누/VV+기/ETN
안전	안전/NNG
더하기’라는	더/MAG+하/XSV+기/ETN+’/SS+이/VCP+라는/ETM
슬로건	슬로건/NNG
아래	아래/NNG
‘한국가스안전공사(KGS)	‘/SS+한국가스안전공사/NNP+(/SS+KGS/SL+)/SS
행복나눔	행복/NNG+나누/VV+ㅁ/ETN
봉사단’을	봉사단/NNG+’/SS+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.102.3.1
봉사단은 2005년 본사 및 가스안전교육원, 27개 지역본부별로 29개 봉사단을 쪼개 발족하고 ‘안전 사랑(가스사고 예방)’ ‘이웃 사랑(지역사회 기여)’ ‘농촌 사랑(농촌사랑 실천)’ ‘나라 사랑(국가재난 대응)’이라는 4대 전략 아래 지역별로 활발한 사회공헌활동을 지속적으로 전개하고 있다.

봉사단은	봉사단/NNG+은/JX
2005년	2005/SN+년/NNB
본사	본사/NNG
및	및/MAG
가스안전교육원,	가스/NNG+안전/NNG+교육원/NNG+,/SP
27개	27/SN+개/NNB
지역본부별로	지역/NNG+본부/NNG+별/XSN+로/JKB
29개	29/SN+개/NNB
봉사단을	봉사단/NNG+을/JKO
쪼개	쪼개/VV+어/EC
발족하고	발족/NNG+하/XSV+고/EC
‘안전	‘/SS+안전/NNG
사랑(가스사고	사랑/NNG+(/SS+가스/NNG+사고/NNG
예방)’	예방/NNG+)/SS+’/SS
‘이웃	‘/SS+이웃/NNG
사랑(지역사회	사랑/NNG+(/SS+지역/NNG+사회/NNG
기여)’	기여/NNG+)/SS+’/SS
‘농촌	‘/SS+농촌/NNG
