# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.271
metadata : {}


# id : NWRW1800000021.271.1.1
“이산상봉 금강산서 100명씩” 남북 의견일치

“이산상봉	“/SS+이산/NNG+상봉/NNG
금강산서	금강산/NNP+서/JKB
100명씩”	100/SN+명/NNB+씩/XSN+”/SS
남북	남북/NNP
의견일치	의견/NNG+일치/NNG


# id : NWRW1800000021.271.2.1
남북은 26일 금강산관광지구 내 금강산호텔에서 적십자회담을 열어 추석(10월 3일)을 전후해 이산가족 상봉 행사를 열자는 데 의견을 같이했으나 행사 개최 시기와 장소에 이견을 보였다.

남북은	남북/NNP+은/JX
26일	26/SN+일/NNB
금강산관광지구	금강산관광지구/NNP
내	내/NNB
금강산호텔에서	금강산호텔/NNP+에서/JKB
적십자회담을	적십자/NNP+회담/NNG+을/JKO
열어	열/VV+어/EC
추석(10월	추석/NNG+(/SS+10/SN+월/NNB
3일)을	3/SN+일/NNB+)/SS+을/JKO
전후해	전후/NNG+하/XSV+아/EC
이산가족	이산가족/NNG
상봉	상봉/NNG
행사를	행사/NNG+를/JKO
열자는	열/VV+자는/ETM
데	데/NNB
의견을	의견/NNG+을/JKO
같이했으나	같이/MAG+하/XSV+았/EP+으나/EC
행사	행사/NNG
개최	개최/NNG
시기와	시기/NNG+와/JC
장소에	장소/NNG+에/JKB
이견을	이견/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.271.3.1
남측 대표단은 이날 오후 5시 40분경 열린 첫 전체회의에서 9월 27∼29일 남측 상봉단 100명이 북측 가족을, 10월 6∼8일 북측 상봉단 100명이 남측 가족을 금강산면회소에서 만나자고 북측에 제안했다.

남측	남측/NNG
대표단은	대표단/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
5시	5/SN+시/NNB
40분경	40/SN+분/NNB+경/XSN
열린	열리/VV+ㄴ/ETM
첫	첫/MMN
전체회의에서	전체/NNG+회의/NNG+에서/JKB
9월	9/SN+월/NNB
27∼29일	27/SN+∼/SO+29/SN+일/NNB
상봉단	상봉단/NNG
100명이	100/SN+명/NNB+이/JKS
북측	북측/NNG
가족을,	가족/NNG+을/JKO+,/SP
10월	10/SN+월/NNB
6∼8일	6/SN+∼/SO+8/SN+일/NNB
가족을	가족/NNG+을/JKO
금강산면회소에서	금강산면회소/NNP+에서/JKB
만나자고	만나/VV+자고/EC
북측에	북측/NNG+에/JKB
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.271.3.2
