# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.372
metadata : {}


# id : NWRW1800000028.372.1.1
아이 예방접종 ‘알림문자’ 보내드려요

아이	아이/NNG
예방접종	예방/NNG+접종/NNG
‘알림문자’	‘/SS+알림/NNG+문자/NNG+’/SS
보내드려요	보내/VV+어/EC+드리/VX+어요/EF


# id : NWRW1800000028.372.2.1
예방접종을 받아야 하는 아이의 보호자에게 문자서비스(SMS)로 접종 일정을 알려주는 서비스가 실시된다.

예방접종을	예방/NNG+접종/NNG+을/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
아이의	아이/NNG+의/JKG
보호자에게	보호자/NNG+에게/JKB
문자서비스(SMS)로	문자/NNG+서비스/NNG+(/SS+SMS/SL+)/SS+로/JKB
접종	접종/NNG
일정을	일정/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
서비스가	서비스/NNG+가/JKS
실시된다.	실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.372.3.1
질병관리본부는 국민권익위원회가 자녀의 예방접종 일정을 기억하지 못해 제때 접종을 하지 못하는 일이 없도록 하기 위해 개선을 권고함에 따라 접종 일종을 사전에 알려주는 서비스를 12월부터 확대 시행하기로 했다고 21일 밝혔다.

질병관리본부는	질병/NNG+관리/NNG+본부/NNG+는/JX
국민권익위원회가	국민/NNG+권익/NNG+위원회/NNG+가/JKS
자녀의	자녀/NNG+의/JKG
예방접종	예방/NNG+접종/NNG
일정을	일정/NNG+을/JKO
기억하지	기억/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
제때	제때/NNG
접종을	접종/NNG+을/JKO
하지	하/VV+지/EC
못하는	못하/VX+는/ETM
일이	일/NNG+이/JKS
없도록	없/VA+도록/EC
하기	하/VV+기/ETN
위해	위하/VV+아/EC
개선을	개선/NNG+을/JKO
권고함에	권고/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
접종	접종/NNG
일종을	일종/NNG+을/JKO
사전에	사전/NNG+에/JKB
알려주는	알리/VV+어/EC+주/VX+는/ETM
서비스를	서비스/NNG+를/JKO
12월부터	12/SN+월/NNB+부터/JX
확대	확대/NNG
시행하기로	시행/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
21일	21/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.372.3.2
문자서비스는 예방접종 정보 제공에 사전 동의한 보호자에게만 접종예정일 1주일 전에 보내진다.

문자서비스는	문자/NNG+서비스/NNG+는/JX
예방접종	예방/NNG+접종/NNG
정보	정보/NNG
제공에	제공/NNG+에/JKB
사전	사전/NNG
동의한	동의/NNG+하/XSV+ㄴ/ETM
보호자에게만	보호자/NNG+에게/JKB+만/JX
접종예정일	접종/NNG+예정일/NNG
1주일	1/SN+주일/NNB
전에	전/NNG+에/JKB
보내진다.	보내/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.372.4.1
질병관리본부가 이 서비스를 확대하게 된 데에는 현재 정부가 감염병을 예방하기 위해 생후 0개월부터 만 12살까지 접종 일정에 맞춰 예방접종을 받도록 권장하고 있지만, 백신 종류가 많고 일부 백신은 접종 간격이 길어 추가 접종 일정을 잊어버리는 등 접종 지연 또는 누락 사례가 자주 발생하고 있기 때문이다.

질병관리본부가	질병/NNG+관리/NNG+본부/NNG+가/JKS
이	이/MMD
서비스를	서비스/NNG+를/JKO
확대하게	확대/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
데에는	데/NNB+에/JKB+는/JX
현재	현재/MAG
정부가	정부/NNG+가/JKS
감염병을	감염병/NNG+을/JKO
예방하기	예방/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
생후	생후/NNG
0개월부터	0/SN+개월/NNB+부터/JX
만	만/MMA
12살까지	12/SN+살/NNB+까지/JX
접종	접종/NNG
일정에	일정/NNG+에/JKB
맞춰	맞추/VV+어/EC
예방접종을	예방/NNG+접종/NNG+을/JKO
받도록	받/VV+도록/EC
권장하고	권장/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
백신	백신/NNG
종류가	종류/NNG+가/JKS
많고	많/VA+고/EC
일부	일부/NNG
백신은	백신/NNG+은/JX
간격이	간격/NNG+이/JKS
길어	길/VA+어/EC
추가	추가/NNG
일정을	일정/NNG+을/JKO
잊어버리는	잊어버리/VV+는/ETM
등	등/NNB
지연	지연/NNG
또는	또는/MAG
누락	누락/NNG
사례가	사례/NNG+가/JKS
자주	자주/MAG
발생하고	발생/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.372.4.2
실제 우리나라 어린이들은 만 0살부터 12살까지 11종의 감염병에 대해 8종의 예방백신을 모두 22차례 맞아야 한다.

실제	실제/MAG
우리나라	우리나라/NNG
어린이들은	어린이/NNG+들/XSN+은/JX
만	만/MMA
0살부터	0/SN+살/NNB+부터/JX
12살까지	12/SN+살/NNB+까지/JX
11종의	11/SN+종/NNG+의/JKG
감염병에	감염병/NNG+에/JKB
대해	대하/VV+아/EC
8종의	8/SN+종/NNG+의/JKG
예방백신을	예방/NNG+백신/NNG+을/JKO
모두	모두/MAG
22차례	22/SN+차례/NNG
맞아야	맞/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.372.5.1
지금도 필수 예방접종 비용 국가부담사업에 참여하는 병·의원 및 보건소에서 접종한 경우 다음 예방접종 일정을 문자서비스로 통보받을 수 있도록 돼 있으나, 활용도가 떨어져 문자 발송이 누락되는 경우가 잦았다.

지금도	지금/NNG+도/JX
필수	필수/NNG
예방접종	예방/NNG+접종/NNG
비용	비용/NNG
