# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.113
metadata : {}


# id : NWRW1800000033.113.1.1
[공연 리뷰] 한 편의 영화 보는 듯… 슬픔과 고독 밀려와

[공연	[/SS+공연/NNG
리뷰]	리뷰/NNG+]/SS
한	한/MMN
편의	편/NNB+의/JKG
영화	영화/NNG
보는	보/VV+는/ETM
듯…	듯/NNB+…/SE
슬픔과	슬픔/NNG+과/JC
고독	고독/NNG
밀려와	밀려오/VV+아/EF


# id : NWRW1800000033.113.2.1
◇ 피아니스트 신수정-바리톤 박흥우의 ‘겨울 나그네’ ★★★★

◇	◇/SW
피아니스트	피아니스트/NNG
신수정-바리톤	신수정/NNP+-/SO+바리톤/NNG
박흥우의	박흥우/NNP+의/JKG
‘겨울	‘/SS+겨울/NNG
나그네’	나그네/NNG+’/SS
★★★★	★/SW+★/SW+★/SW+★/SW


# id : NWRW1800000033.113.3.1
예술가곡을 자주 접하기 쉽지 않은 국내 음악계에서 피아니스트 신수정 씨와 바리톤 박흥우 씨가 꾸준히 이어온 독일가곡 듀오 무대는 더욱 빛이 난다.

예술가곡을	예술가곡/NNG+을/JKO
자주	자주/MAG
접하기	접하/VV+기/ETN
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
국내	국내/NNG
음악계에서	음악/NNG+계/XSN+에서/JKB
피아니스트	피아니스트/NNG
신수정	신수정/NNP
씨와	씨/NNB+와/JC
바리톤	바리톤/NNG
박흥우	박흥우/NNP
씨가	씨/NNB+가/JKS
꾸준히	꾸준히/MAG
이어온	잇/VV+어/EC+오/VX+ㄴ/ETM
독일가곡	독일/NNP+가곡/NNG
듀오	듀오/NNG
무대는	무대/NNG+는/JX
더욱	더욱/MAG
빛이	빛/NNG+이/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.113.3.2
지난해 12월 30일 서울 서초동 모차르트홀에서 슈베르트의 ‘겨울나그네’ 공연이 열렸다.

지난해	지난해/NNG
12월	12/SN+월/NNB
30일	30/SN+일/NNB
서울	서울/NNP
서초동	서초동/NNP
모차르트홀에서	모차르트홀/NNP+에서/JKB
슈베르트의	슈베르트/NNP+의/JKG
‘겨울나그네’	‘/SS+겨울나그네/NNP+’/SS
공연이	공연/NNG+이/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.113.3.3
해마다 12월에 두 음악가가 ‘겨울나그네’를 연주한 지도 이번이 여덟 번째.

해마다	해마다/MAG
12월에	12/SN+월/NNB+에/JKB
두	두/MMN
음악가가	음악가/NNG+가/JKS
‘겨울나그네’를	‘/SS+겨울나그네/NNP+’/SS+를/JKO
연주한	연주/NNG+하/XSV+ㄴ/ETM
지도	지/NNB+도/JX
이번이	이번/NNG+이/JKS
여덟	여덟/NR
번째.	번/NNB+째/XSN+./SF


# id : NWRW1800000033.113.3.4
객석 200여 석을 가득 채우고 보조의자까지 곳곳에 놓고서야 첫 곡이 시작됐다.

객석	객석/NNG
200여	200/SN+여/XSN
석을	석/NNB+을/JKO
가득	가득/MAG
채우고	채우/VV+고/EC
보조의자까지	보조/NNG+의자/NNG+까지/JX
곳곳에	곳곳/NNG+에/JKB
놓고서야	놓/VV+고서/EC+야/JX
첫	첫/MMN
곡이	곡/NNG+이/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.113.4.1
사랑에 실패한 청년은 추운 겨울 연인의 집 문에 ‘잘 자요’라고 써놓고 먼 길을 떠난다.

사랑에	사랑/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
청년은	청년/NNG+은/JX
추운	춥/VA+ㄴ/ETM
겨울	겨울/NNG
연인의	연인/NNG+의/JKG
집	집/NNG
문에	문/NNG+에/JKB
‘잘	‘/SS+잘/MAG
자요’라고	자/VV+아요/EF+’/SS+라고/JKQ
써놓고	쓰/VV+어/EC+놓/VX+고/EC
먼	멀/VA+ㄴ/ETM
길을	길/NNG+을/JKO
떠난다.	떠나/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.113.4.2
눈과 얼음이 뒤덮인 겨울 들판에서 방랑하는 그의 앞에 도깨비불, 까마귀, 백발 같은 상념이 스쳐 지나간다.

눈과	눈/NNG+과/JC
얼음이	얼음/NNG+이/JKS
뒤덮인	뒤덮이/VV+ㄴ/ETM
겨울	겨울/NNG
들판에서	들판/NNG+에서/JKB
방랑하는	방랑/NNG+하/XSV+는/ETM
그의	그/NP+의/JKG
앞에	앞/NNG+에/JKB
도깨비불,	도깨비불/NNG+,/SP
까마귀,	까마귀/NNG+,/SP
백발	백발/NNG
같은	같/VA+은/ETM
상념이	상념/NNG+이/JKS
스쳐	스치/VV+어/EC
지나간다.	지나가/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.113.4.3
바리톤 박흥우 씨는 청년의 슬픔과 고독, 두려움을 절제된 표현으로 펼쳐내며 이 가곡집의 시적이고 정적인 아름다움을 한껏 살렸다.

바리톤	바리톤/NNG
박흥우	박흥우/NNP
씨는	씨/NNB+는/JX
청년의	청년/NNG+의/JKG
슬픔과	슬픔/NNG+과/JC
고독,	고독/NNG+,/SP
두려움을	두려움/NNG+을/JKO
절제된	절제/NNG+되/XSV+ㄴ/ETM
표현으로	표현/NNG+으로/JKB
펼쳐내며	펼치/VV+어/EC+내/VX+며/EC
이	이/MMD
가곡집의	가곡집/NNG+의/JKG
시적이고	시/NNG+적/XSN+이/VCP+고/EC
정적인	정/NNG+적/XSN+이/VCP+ㄴ/ETM
아름다움을	아름다움/NNG+을/JKO
한껏	한껏/MAG
살렸다.	살리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.113.4.4
오랜 기간 동안 호흡을 맞춰온 피아니스트 신수정 씨는 시종일관 박 씨의 음성과 알맞은 음량의 균형을 유지했다.

오랜	오랜/MMA
기간	기간/NNG
동안	동안/NNG
호흡을	호흡/NNG+을/JKO
맞춰온	맞추/VV+어/EC+오/VX+ㄴ/ETM
피아니스트	피아니스트/NNG
신수정	신수정/NNP
씨는	씨/NNB+는/JX
시종일관	시종일관/NNG
박	박/NNP
씨의	씨/NNB+의/JKG
음성과	음성/NNG+과/JC
알맞은	알맞/VA+은/ETM
음량의	음량/NNG+의/JKG
균형을	균형/NNG+을/JKO
유지했다.	유지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.113.4.5
피아노는 폭풍처럼 몰아쳤다가 나뭇잎처럼 살랑댔고 한순간 따사로운 봄날이었다가는 부르르 떨며 서글픈 현실을 상기시켰다.

피아노는	피아노/NNG+는/JX
폭풍처럼	폭풍/NNG+처럼/JKB
몰아쳤다가	몰아치/VV+었/EP+다가/EC
나뭇잎처럼	나뭇잎/NNG+처럼/JKB
살랑댔고	살랑대/VV+었/EP+고/EC
한순간	한순간/NNG
따사로운	따사롭/VA+ㄴ/ETM
봄날이었다가는	봄날/NNG+이/VCP+었/EP+다가/EC+는/JX
부르르	부르르/MAG
떨며	떨/VV+며/EC
서글픈	서글프/VA+ㄴ/ETM
현실을	현실/NNG+을/JKO
상기시켰다.	상기/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.113.5.1
24곡의 노래로 이뤄진 ‘겨울나그네’는 휴식 없이 이어졌다.

24곡의	24/SN+곡/NNG+의/JKG
노래로	노래/NNG+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
‘겨울나그네’는	‘/SS+겨울나그네/NNP+’/SS+는/JX
휴식	휴식/NNG
없이	없이/MAG
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.113.5.2
피아노 옆에 마련한 스크린에는 신 씨가 직접 번역한 가사를 띄워 관객의 이해를 도왔다.

피아노	피아노/NNG
옆에	옆/NNG+에/JKB
마련한	마련/NNG+하/XSV+ㄴ/ETM
스크린에는	스크린/NNG+에/JKB+는/JX
신	신/NNP
씨가	씨/NNB+가/JKS
직접	직접/MAG
번역한	번역/NNG+하/XSV+ㄴ/ETM
가사를	가사/NNG+를/JKO
띄워	띄우/VV+어/EC
관객의	관객/NNG+의/JKG
이해를	이해/NNG+를/JKO
도왔다.	돕/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.113.6.1
이날 공연은 두 음악가가 독일 정부에서 공로훈장을 받는 것을 기념하는 음악회이기도 했다.

이날	이날/NNG
공연은	공연/NNG+은/JX
두	두/MMN
음악가가	음악가/NNG+가/JKS
독일	독일/NNP
정부에서	정부/NNG+에서/JKB
공로훈장을	공로/NNG+훈장/NNG+을/JKO
받는	받/VV+는/ETM
것을	것/NNB+을/JKO
기념하는	기념/NNG+하/XSV+는/ETM
