# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.88
metadata : {}


# id : NWRW1800000052.88.1.1
[르포] 공화당 전당대회 앞둔 삼엄한 클리블랜드

[르포]	[/SS+르포/NNG+]/SS
공화당	공화당/NNP
전당대회	전당/NNG+대회/NNG
앞둔	앞두/VV+ㄴ/ETM
삼엄한	삼엄하/VA+ㄴ/ETM
클리블랜드	클리블랜드/NNP


# id : NWRW1800000052.88.2.1
[한겨레] 총기소유 허용, 잇딴 시위예고에 ‘배턴 루지’ 소식 겹쳐

[한겨레]	[/SS+한겨레/NNP+]/SS
총기소유	총기/NNG+소유/NNG
허용,	허용/NNG+,/SP
잇딴	잇따르/VV+ㄴ/ETM
시위예고에	시위/NNG+예고/NNG+에/JKB
‘배턴	‘/SS+배턴/NNP
루지’	루지/NNP+’/SS
소식	소식/NNG
겹쳐	겹치/VV+어/EF


# id : NWRW1800000052.88.3.1
주 방위군, 시 경찰, 기마경찰 등 총출동…2~3중 검문

주	주/NNG
방위군,	방위군/NNG+,/SP
시	시/NNG
경찰,	경찰/NNG+,/SP
기마경찰	기마경찰/NNG
등	등/NNB
총출동…2~3중	총출동/NNG+…/SE+2/SN+~/SO+3중/NNG
검문	검문/NNG


# id : NWRW1800000052.88.4.1
시민들 “위험하지 않다” 외부서 찾아온 이들 진정 안간힘

시민들	시민/NNG+들/XSN
“위험하지	“/SS+위험/NNG+하/XSA+지/EC
않다”	않/VX+다/EF+”/SS
외부서	외부/NNG+서/JKB
찾아온	찾아오/VV+ㄴ/ETM
이들	이/NNB+들/XSN
진정	진정/NNG
안간힘	안간힘/NNG


# id : NWRW1800000052.88.5.1
미국 공화당 전당대회(전대)를 하루 앞둔 17일, 루이지애나주 배턴 루지에서 벌어진 경찰관 3명 피격 사건은 ‘총기’와 ‘폭력’에 가뜩이나 예민해 있던 클리블랜드를 바짝 얼어붙게 만들었다.

미국	미국/NNP
공화당	공화당/NNP
전당대회(전대)를	전당/NNG+대회/NNG+(/SS+전대/NNG+)/SS+를/JKO
하루	하루/NNG
앞둔	앞두/VV+ㄴ/ETM
17일,	17/SN+일/NNB+,/SP
루이지애나주	루이지애나주/NNP
배턴	배턴/NNP
루지에서	루지/NNP+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
경찰관	경찰관/NNG
3명	3/SN+명/NNB
피격	피격/NNG
사건은	사건/NNG+은/JX
‘총기’와	‘/SS+총기/NNG+’/SS+와/JC
‘폭력’에	‘/SS+폭력/NNG+’/SS+에/JKB
가뜩이나	가뜩이나/MAG
예민해	예민하/VA+아/EC
있던	있/VX+던/ETM
클리블랜드를	클리블랜드/NNP+를/JKO
바짝	바짝/MAG
얼어붙게	얼어붙/VV+게/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.88.5.2
오하이오주 클리블랜드에선 18일부터 나흘 동안 도널드 트럼프를 공식 대선후보로 지명하는 ‘공화당 축제’가 열리지만, 총기 소유 허용에 각종 시위들까지 예정돼 있어 긴장감이 흐르던 터였다.

오하이오주	오하이오주/NNP
클리블랜드에선	클리블랜드/NNP+에서/JKB+ㄴ/JX
18일부터	18/SN+일/NNB+부터/JX
나흘	나흘/NNG
동안	동안/NNG
도널드	도널드/NNP
트럼프를	트럼프/NNP+를/JKO
공식	공식/NNG
대선후보로	대선/NNG+후보/NNG+로/JKB
지명하는	지명/NNG+하/XSV+는/ETM
‘공화당	‘/SS+공화당/NNP
축제’가	축제/NNG+’/SS+가/JKS
열리지만,	열리/VV+지만/EC+,/SP
총기	총기/NNG
소유	소유/NNG
허용에	허용/NNG+에/JKB
각종	각종/NNG
시위들까지	시위/NNG+들/XSN+까지/JX
예정돼	예정/NNG+되/XSV+어/EC
있어	있/VX+어/EC
긴장감이	긴장감/NNG+이/JKS
흐르던	흐르/VV+던/ETM
터였다.	터/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.88.6.1
이날 클리블랜드 시내 중심가 윌러드공원 근처에는 군복을 입은 주 방위군과 시 경찰, 주 고속도로 경찰, 기마 경찰 등이 겹겹이 삼엄한 경비를 펼치고 있었다.

이날	이날/NNG
클리블랜드	클리블랜드/NNP
시내	시내/NNG
중심가	중심가/NNG
윌러드공원	윌러드공원/NNP
근처에는	근처/NNG+에/JKB+는/JX
군복을	군복/NNG+을/JKO
입은	입/VV+은/ETM
주	주/NNG
방위군과	방위군/NNG+과/JC
시	시/NNG
경찰,	경찰/NNG+,/SP
고속도로	고속/NNG+도로/NNG
기마	기마/NNG
경찰	경찰/NNG
등이	등/NNB+이/JKS
겹겹이	겹겹이/MAG
삼엄한	삼엄하/VA+ㄴ/ETM
경비를	경비/NNG+를/JKO
펼치고	펼치/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.88.6.2
윌러드공원은 전대가 열리는 농구경기장 ‘퀴큰론스 아레나’에선 걸어서 10분 거리, 프레스센터와는 2~3분 거리에 위치해 있어 시위대들이 자신들의 주장을 효과적으로 알리는 최적의 시위 장소로 떠오른 곳이다.

윌러드공원은	윌러드공원/NNP+은/JX
전대가	전대/NNG+가/JKS
열리는	열리/VV+는/ETM
농구경기장	농구/NNG+경기장/NNG
‘퀴큰론스	‘/SS+퀴큰론스/NNP
아레나’에선	아레나/NNP+’/SS+에서/JKB+ㄴ/JX
걸어서	걷/VV+어서/EC
10분	10/SN+분/NNB
거리,	거리/NNG+,/SP
프레스센터와는	프레스센터/NNP+와/JKB+는/JX
2~3분	2/SN+~/SO+3/SN+분/NNB
거리에	거리/NNG+에/JKB
위치해	위치/NNG+하/XSV+아/EC
있어	있/VX+어/EC
시위대들이	시위대/NNG+들/XSN+이/JKS
자신들의	자신/NNG+들/XSN+의/JKG
주장을	주장/NNG+을/JKO
효과적으로	효과/NNG+적/XSN+으로/JKB
알리는	알리/VV+는/ETM
