# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.43
metadata : {}


# id : NWRW1800000037.43.1.1
美 오바마 취임후 처음으로 재정적자 1조달러 밑돌듯

美	美/SH
오바마	오바마/NNP
취임후	취임/NNG+후/NNG
처음으로	처음/NNG+으로/JKB
재정적자	재정/NNG+적자/NNG
1조달러	1/SN+조/NR+달러/NNB
밑돌듯	밑돌/VV+듯/EC


# id : NWRW1800000037.43.2.1
시퀘스터 영향 올 7590억달러 전망

시퀘스터	시퀘스터/NNG
영향	영향/NNG
올	올/NNG
7590억달러	7590/SN+억/NR+달러/NNB
전망	전망/NNG


# id : NWRW1800000037.43.3.1
올해 미국의 재정적자가 버락 오바마 대통령 취임 이후 처음으로 1조 달러 밑으로 내려갈 것이라는 미 정부의 전망치가 나왔다.

올해	올해/NNG
미국의	미국/NNP+의/JKG
재정적자가	재정/NNG+적자/NNG+가/JKS
버락	버락/NNP
오바마	오바마/NNP
대통령	대통령/NNG
취임	취임/NNG
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
1조	1/SN+조/NR
달러	달러/NNB
밑으로	밑/NNG+으로/JKB
내려갈	내려가/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
미	미/NNP
정부의	정부/NNG+의/JKG
전망치가	전망/NNG+치/XSN+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.43.3.2
예산 자동 삭감 프로그램(시퀘스터)이 미 경제에 불안 요인으로 작용했지만 재정적자를 줄이는 데는 단단히 한몫을 했다.

예산	예산/NNG
자동	자동/NNG
삭감	삭감/NNG
프로그램(시퀘스터)이	프로그램/NNG+(/SS+시퀘스터/NNG+)/SS+이/JKS
미	미/NNP
경제에	경제/NNG+에/JKB
불안	불안/NNG
요인으로	요인/NNG+으로/JKB
작용했지만	작용/NNG+하/XSV+았/EP+지만/EC
재정적자를	재정/NNG+적자/NNG+를/JKO
줄이는	줄이/VV+는/ETM
데는	데/NNB+는/JX
단단히	단단히/MAG
한몫을	한몫/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.43.4.1
백악관 예산관리국(OMB)은 8일(현지 시간) 중간평가 보고서에서 미 재정수지는 시퀘스터의 영향으로 올해 7590억 달러(약 865조 원)의 적자를 기록할 것으로 예상된다고 밝혔다.

백악관	백악관/NNP
예산관리국(OMB)은	예산/NNG+관리국/NNG+(/SS+OMB/SL+)/SS+은/JX
8일(현지	8/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
중간평가	중간/NNG+평가/NNG
보고서에서	보고서/NNG+에서/JKB
미	미/NNP
재정수지는	재정/NNG+수지/NNG+는/JX
시퀘스터의	시퀘스터/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
올해	올해/NNG
7590억	7590/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
865조	865/SN+조/NR
원)의	원/NNB+)/SS+의/JKG
적자를	적자/NNG+를/JKO
기록할	기록/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다고	예상/NNG+되/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.43.4.2
이는 3개월 전에 전망한 9730억 달러보다 무려 2000억 달러 넘게 줄어든 수준이다.

이는	이/NP+는/JX
3개월	3/SN+개월/NNB
전에	전/NNG+에/JKB
전망한	전망/NNG+하/XSV+ㄴ/ETM
9730억	9730/SN+억/NR
달러보다	달러/NNB+보다/JKB
무려	무려/MAG
2000억	2000/SN+억/NR
달러	달러/NNB
넘게	넘/VV+게/EC
줄어든	줄어들/VV+ㄴ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.43.4.3
이 예상대로라면 올해는 오바마 대통령 취임 이후 재정적자가 1조 달러 밑으로 내려가는 첫해가 된다.

이	이/MMD
예상대로라면	예상/NNG+대로/JX+이/VCP+라면/EC
올해는	올해/NNG+는/JX
오바마	오바마/NNP
대통령	대통령/NNG
취임	취임/NNG
이후	이후/NNG
재정적자가	재정/NNG+적자/NNG+가/JKS
1조	1/SN+조/NR
달러	달러/NNB
밑으로	밑/NNG+으로/JKB
내려가는	내려가/VV+는/ETM
첫해가	첫해/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.43.5.1
지난해 1조1000억 달러를 기록한 미국의 재정적자는 예산 자동 삭감과 세수(稅收) 증가로 상당히 줄고 있는 추세다.

지난해	지난해/NNG
1조1000억	1/SN+조/NR+1000/SN+억/NR
달러를	달러/NNB+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
미국의	미국/NNP+의/JKG
재정적자는	재정/NNG+적자/NNG+는/JX
예산	예산/NNG
자동	자동/NNG
삭감과	삭감/NNG+과/JC
세수(稅收)	세수/NNG+(/SS+稅收/SH+)/SS
증가로	증가/NNG+로/JKB
상당히	상당히/MAG
줄고	줄/VV+고/EC
있는	있/VX+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.43.5.2
미 행정부와 의회는 예산의 급격한 감소로 경제에 부정적 영향을 미치는 ‘재정절벽’을 타개하기 위한 협상에 실패해 연방정부는 3월 1일부터 예산 자동 삭감에 들어갔다.

미	미/NNP
행정부와	행정부/NNG+와/JC
의회는	의회/NNG+는/JX
예산의	예산/NNG+의/JKG
급격한	급격하/VA+ㄴ/ETM
감소로	감소/NNG+로/JKB
경제에	경제/NNG+에/JKB
부정적	부정/NNG+적/XSN
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
‘재정절벽’을	‘/SS+재정/NNG+절벽/NNG+’/SS+을/JKO
타개하기	타개/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
협상에	협상/NNG+에/JKB
실패해	실패/NNG+하/XSV+아/EC
연방정부는	연방/NNG+정부/NNG+는/JX
3월	3/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
예산	예산/NNG
자동	자동/NNG
삭감에	삭감/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.43.5.3
9월 말까지 모두 850억 달러(약 97조 원), 이어 10월부터는 향후 10년간 1100억 달러씩 총 1조2000억 달러가 국방비를 중심으로 자동 삭감될 예정이다.

9월	9/SN+월/NNB
말까지	말/NNB+까지/JX
모두	모두/MAG
850억	850/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
97조	97/SN+조/NR
원),	원/NNB+)/SS+,/SP
이어	잇/VV+어/EC
10월부터는	10/SN+월/NNB+부터/JX+는/JX
향후	향후/NNG
10년간	10/SN+년/NNB+간/XSN
1100억	1100/SN+억/NR
달러씩	달러/NNB+씩/XSN
총	총/MMA
1조2000억	1/SN+조/NR+2000/SN+억/NR
달러가	달러/NNB+가/JKS
국방비를	국방비/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
자동	자동/NNG
삭감될	삭감/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.43.6.1
미 재무부에 따르면 지난해 10월부터 시작된 올 회계연도에서 5월까지 8개월 동안 적자 규모는 지난 회계연도의 같은 기간에 비해 26% 줄어들었다.

미	미/NNP
재무부에	재무부/NNG+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
10월부터	10/SN+월/NNB+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
올	올/NNG
회계연도에서	회계/NNG+연도/NNG+에서/JKB
5월까지	5/SN+월/NNB+까지/JX
8개월	8/SN+개월/NNB
동안	동안/NNG
적자	적자/NNG
규모는	규모/NNG+는/JX
지난	지나/VV+ㄴ/ETM
회계연도의	회계/NNG+연도/NNG+의/JKG
같은	같/VA+은/ETM
기간에	기간/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
26%	26/SN+%/SW
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.43.7.1
세계적인 자산운용회사인 피델리티는 이날 보고서를 통해 “미국의 ‘쌍둥이 적자’인 재정적자와 무역적자가 오랜 침묵을 깨고 20여 년 만에 개선 추세로 돌아서고 있다”고 평가했다.

세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
자산운용회사인	자산/NNG+운용/NNG+회사/NNG+이/VCP+ㄴ/ETM
피델리티는	피델리티/NNP+는/JX
이날	이날/NNG
보고서를	보고서/NNG+를/JKO
통해	통하/VV+아/EC
“미국의	“/SS+미국/NNP+의/JKG
‘쌍둥이	‘/SS+쌍둥이/NNG
적자’인	적자/NNG+’/SS+이/VCP+ㄴ/ETM
재정적자와	재정/NNG+적자/NNG+와/JC
무역적자가	무역/NNG+적자/NNG+가/JKS
오랜	오랜/MMA
침묵을	침묵/NNG+을/JKO
깨고	깨/VV+고/EC
20여	20/SN+여/XSN
년	년/NNB
만에	만/NNB+에/JKB
개선	개선/NNG
추세로	추세/NNG+로/JKB
돌아서고	돌아서/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


