# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.126
metadata : {}


# id : NWRW1800000028.126.1.1
“실종자 주검 못찾으면 산화자 처리”

“실종자	“/SS+실종자/NNG
주검	주검/NNG
못찾으면	못/MAG+찾/VV+으면/EC
산화자	산화자/NNG
처리”	처리/NNG+”/SS


# id : NWRW1800000028.126.2.1
15일 천안함 함미가 인양돼 실종자 주검이 속속 확인되고 있지만, 일부 실종자들은 사고 당시 산화(폭발 과정에서 주검이 불에 타 사라지는 것)하거나 침몰 및 인양 과정에서 유실됐을 가능성도 제기되고 있다.

15일	15/SN+일/NNB
천안함	천안함/NNP
함미가	함미/NNG+가/JKS
인양돼	인양/NNG+되/XSV+어/EC
실종자	실종자/NNG
주검이	주검/NNG+이/JKS
속속	속속/MAG
확인되고	확인/NNG+되/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
일부	일부/NNG
실종자들은	실종자/NNG+들/XSN+은/JX
사고	사고/NNG
당시	당시/NNG
산화(폭발	산화/NNG+(/SS+폭발/NNG
과정에서	과정/NNG+에서/JKB
불에	불/NNG+에/JKB
타	타/VV+아/EC
사라지는	사라지/VV+는/ETM
것)하거나	것/NNB+)/SS+하/VV+거나/EC
침몰	침몰/NNG
및	및/MAG
인양	인양/NNG
유실됐을	유실/NNG+되/XSV+었/EP+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.126.3.1
이정국 천안함 실종자가족협의회 대표는 이와 관련해 14일 “함미 인양 후 수색작업이 종료되는 시점에서도 발견되지 않은 일부 실종자는 산화자로 처리할 방침”이라고 말했다.

이정국	이정국/NNP
천안함	천안함/NNP
실종자가족협의회	실종자/NNG+가족/NNG+협의회/NNG
대표는	대표/NNG+는/JX
이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
14일	14/SN+일/NNB
“함미	“/SS+함미/NNG
인양	인양/NNG
