# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.269
metadata : {}


# id : NWRW1800000022.269.1.1
[뉴스 블로그] 변하지 않는 윤증현 장관의 신중론, 왜?

[뉴스	[/SS+뉴스/NNG
블로그]	블로그/NNG+]/SS
변하지	변하/VV+지/EC
않는	않/VX+는/ETM
윤증현	윤증현/NNP
장관의	장관/NNG+의/JKG
신중론,	신중/NNG+론/XSN+,/SP
왜?	왜/MAG+?/SF


# id : NWRW1800000022.269.2.1
이달 10일이면 경제 수장인 윤증현 기획재정부 장관이 취임 6개월을 맞습니다.

이달	이달/NNG
10일이면	10/SN+일/NNB+이/VCP+면/EC
경제	경제/NNG
수장인	수장/NNG+이/VCP+ㄴ/ETM
윤증현	윤증현/NNP
기획재정부	기획/NNG+재정부/NNG
장관이	장관/NNG+이/JKS
취임	취임/NNG
6개월을	6/SN+개월/NNB+을/JKO
맞습니다.	맞/VV+습니다/EF+./SF


# id : NWRW1800000022.269.2.2
윤 장관 취임 이후 경제성장률이나 민간소비, 주가, 고용, 물가 등 각종 경제 지표들이 회복세를 보였습니다.

윤	윤/NNP
장관	장관/NNG
취임	취임/NNG
이후	이후/NNG
경제성장률이나	경제/NNG+성장/NNG+률/XSN+이나/JC
민간소비,	민간/NNG+소비/NNG+,/SP
주가,	주가/NNG+,/SP
고용,	고용/NNG+,/SP
물가	물가/NNG
등	등/NNB
각종	각종/NNG
경제	경제/NNG
지표들이	지표/NNG+들/XSN+이/JKS
회복세를	회복세/NNG+를/JKO
보였습니다.	보이/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.269.2.3
최근 OECD(경제협력개발기구)나 세계적인 투자은행 등은 "한국이 가장 먼저 글로벌 경기 침체에서 탈출할 것"이라고 찬사를 보냅니다.

최근	최근/NNG
OECD(경제협력개발기구)나	OECD/SL+(/SS+경제협력개발기구/NNP+)/SS+나/JC
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
투자은행	투자/NNG+은행/NNG
등은	등/NNB+은/JX
"한국이	"/SS+한국/NNP+이/JKS
가장	가장/MAG
먼저	먼저/MAG
글로벌	글로벌/NNG
경기	경기/NNG
침체에서	침체/NNG+에서/JKB
탈출할	탈출/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
찬사를	찬사/NNG+를/JKO
보냅니다.	보내/VV+ㅂ니다/EF+./SF


# id : NWRW1800000022.269.3.1
하지만 경기 전망에 대한 윤증현 장관의 신중론은 6개월 전이나 지금이나 변함이 없습니다.

하지만	하지만/MAJ
경기	경기/NNG
전망에	전망/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
윤증현	윤증현/NNP
장관의	장관/NNG+의/JKG
신중론은	신중/NNG+론/XSN+은/JX
6개월	6/SN+개월/NNB
전이나	전/NNG+이나/JX
지금이나	지금/NNG+이나/JX
변함이	변하/VV+ㅁ/ETN+이/JKS
없습니다.	없/VA+습니다/EF+./SF


# id : NWRW1800000022.269.3.2
윤 장관은 지난 7일 오후 국회에서 열린 당정협의에서도 한나라당 의원들에게 "아직 우리 경제가 본격적인 회복세라고 장담하기 이르다"고 했습니다.

윤	윤/NNP
장관은	장관/NNG+은/JX
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
오후	오후/NNG
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
당정협의에서도	당정/NNG+협의/NNG+에서/JKB+도/JX
한나라당	한나라당/NNP
의원들에게	의원/NNG+들/XSN+에게/JKB
"아직	"/SS+아직/MAG
우리	우리/NP
경제가	경제/NNG+가/JKS
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
회복세라고	회복세/NNG+이/VCP+라고/EC
장담하기	장담/NNG+하/XSV+기/ETN
이르다"고	이르/VV+다/EF+"/SS+고/JKQ
했습니다.	하/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.269.4.1
그동안 윤 장관은 "제비 한 마리를 보고 봄을 볼 수는 없다"(6월 15일 조찬 강연), "봄이 와서 꽃이 피는 것이 아니라 꽃이 피어야 봄이 온 것이다"(취임 100일 기자간담회) 등의 표현을 써가며 줄곧 신중론을 펴왔습니다.

그동안	그동안/NNG
윤	윤/NNP
장관은	장관/NNG+은/JX
"제비	"/SS+제비/NNG
한	한/MMN
마리를	마리/NNB+를/JKO
보고	보/VV+고/EC
봄을	봄/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다"(6월	없/VA+다/EF+"/SS+(/SS+6/SN+월/NNB
15일	15/SN+일/NNB
조찬	조찬/NNG
강연),	강연/NNG+)/SS+,/SP
"봄이	"/SS+봄/NNG+이/JKS
와서	오/VV+아서/EC
꽃이	꽃/NNG+이/JKS
피는	피/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
피어야	피/VV+어야/EC
