# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.403
metadata : {}


# id : NWRW1800000030.403.1.1
[서울] "태풍 시속 70㎞로 북상 중"(26일 오전 4시)… "2단계 비상근무령"(오전 7시 20분)… "상황 끝"(오후 4시 30분)

[서울]	[/SS+서울/NNP+]/SS
"태풍	"/SS+태풍/NNG
시속	시속/NNG
70㎞로	70/SN+㎞/SW+로/JKB
북상	북상/NNG
중"(26일	중/NNB+"/SS+(/SS+26/SN+일/NNB
오전	오전/NNG
4시)…	4/SN+시/NNB+)/SS+…/SE
"2단계	"/SS+2/SN+단계/NNG
비상근무령"(오전	비상근무령/NNG+"/SS+(/SS+오전/NNG
7시	7/SN+시/NNB
20분)…	20/SN+분/NNB+)/SS+…/SE
"상황	"/SS+상황/NNG
끝"(오후	끝/NNG+"/SS+(/SS+오후/NNG
4시	4/SN+시/NNB
30분)	30/SN+분/NNB+)/SS


# id : NWRW1800000030.403.2.1
•태풍 '메아리'로 긴박했던 재난안전대책본부 72시간

•태풍	•/SW+태풍/NNG
'메아리'로	'/SS+메아리/NNG+'/SS+로/JKB
긴박했던	긴박/NNG+하/XSA+았/EP+던/ETM
재난안전대책본부	재난/NNG+안전/NNG+대책/NNG+본부/NNG
72시간	72/SN+시간/NNB


# id : NWRW1800000030.403.3.1
지난 26일 오전 4시 서울 중구 종합방재센터 지하 2층 서울시 재난안전대책본부 종합상황실.

지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
오전	오전/NNG
4시	4/SN+시/NNB
서울	서울/NNP
중구	중구/NNP
종합방재센터	종합/NNG+방재/NNG+센터/NNG
지하	지하/NNG
2층	2/SN+층/NNG
서울시	서울시/NNP
재난안전대책본부	재난/NNG+안전/NNG+대책/NNG+본부/NNG
종합상황실.	종합/NNG+상황실/NNG+./SF


# id : NWRW1800000030.403.3.2
조용하던 50평 남짓한 상황실 내부가 술렁이기 시작했다.

조용하던	조용하/VA+던/ETM
50평	50/SN+평/NNB
남짓한	남짓/NNB+하/XSA+ㄴ/ETM
상황실	상황실/NNG
내부가	내부/NNG+가/JKS
술렁이기	술렁이/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.403.3.3
직원들이 "어어…" 하면서 상황실에 설치된 가로세로 1.5m 스크린에서 눈을 떼지 못했다.

직원들이	직원/NNG+들/XSN+이/JKS
"어어…"	"/SS+어어/IC+…/SE+"/SS
하면서	하/VV+면서/EC
상황실에	상황실/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
가로세로	가로세로/NNG
1.5m	1/SN+./SP+5/SN+m/SW
스크린에서	스크린/NNG+에서/JKB
눈을	눈/NNG+을/JKO
떼지	떼/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.403.3.4
시속 30㎞의 속도로 한반도를 향해 북상하던 태풍 '메아리'가 제주도 서남쪽 270㎞ 해상에서 갑자기 시속 70㎞로 빨라진 것이다.

시속	시속/NNG
30㎞의	30/SN+㎞/SW+의/JKG
속도로	속도/NNG+로/JKB
한반도를	한반도/NNP+를/JKO
향해	향하/VV+아/EC
북상하던	북상/NNG+하/XSV+던/ETM
태풍	태풍/NNG
'메아리'가	'/SS+메아리/NNG+'/SS+가/JKS
제주도	제주도/NNP
서남쪽	서남쪽/NNG
270㎞	270/SN+㎞/SW
해상에서	해상/NNG+에서/JKB
갑자기	갑자기/MAG
70㎞로	70/SN+㎞/SW+로/JKB
빨라진	빠르/VA+아/EC+지/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.403.4.1
사흘째 집에 못가고 24시간 비상 대기 중이던 재난안전대책본부 직원들의 움직임이 분주해졌다.

사흘째	사흘/NNG+째/XSN
집에	집/NNG+에/JKB
못가고	못/MAG+가/VV+고/EC
24시간	24/SN+시간/NNB
비상	비상/NNG
대기	대기/NNG
중이던	중/NNB+이/VCP+던/ETM
재난안전대책본부	재난/NNG+안전/NNG+대책/NNG+본부/NNG
직원들의	직원/NNG+들/XSN+의/JKG
움직임이	움직임/NNG+이/JKS
분주해졌다.	분주/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.403.4.2
오전 7시 20분.

오전	오전/NNG
7시	7/SN+시/NNB
20분.	20/SN+분/NNB+./SF


# id : NWRW1800000030.403.4.3
상황실을 지휘하던 이인근 서울시 도시안전본부장은 2단계 비상 근무령을 내렸다.

상황실을	상황실/NNG+을/JKO
지휘하던	지휘/NNG+하/XSV+던/ETM
이인근	이인근/NNP
서울시	서울시/NNP
도시안전본부장은	도시/NNG+안전/NNG+본부장/NNG+은/JX
2단계	2/SN+단계/NNG
비상	비상/NNG
근무령을	근무령/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.403.4.4
보통 비상 근무령은 재난안전대책본부장인 서울시장이 내리지만 이날은 통제관인 이인근 본부장이 직접 내린 후 오세훈 서울시장에게 보고했다.

보통	보통/NNG
비상	비상/NNG
근무령은	근무령/NNG+은/JX
재난안전대책본부장인	재난/NNG+안전/NNG+대책/NNG+본부장/NNG+이/VCP+ㄴ/ETM
서울시장이	서울시장/NNG+이/JKS
내리지만	내리/VV+지만/EC
이날은	이날/NNG+은/JX
통제관인	통제관/NNG+이/VCP+ㄴ/ETM
이인근	이인근/NNP
본부장이	본부장/NNG+이/JKS
직접	직접/MAG
내린	내리/VV+ㄴ/ETM
후	후/NNG
오세훈	오세훈/NNP
서울시장에게	서울시장/NNG+에게/JKB
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.403.4.5
1단계를 거치지 않고 바로 2단계로 격상했다.

1단계를	1/SN+단계/NNG+를/JKO
거치지	거치/VV+지/EC
않고	않/VX+고/EC
바로	바로/MAG
2단계로	2/SN+단계/NNG+로/JKB
격상했다.	격상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.403.4.6
그만큼 상황이 급박하다고 판단했다.

그만큼	그만큼/MAG
상황이	상황/NNG+이/JKS
급박하다고	급박/NNG+하/XSA+다고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.403.4.7
보고를 받은 오세훈 시장은 상황실을 찾아 피해 상황을 묻고 지시했다.

보고를	보고/NNG+를/JKO
받은	받/VV+은/ETM
오세훈	오세훈/NNP
시장은	시장/NNG+은/JX
상황실을	상황실/NNG+을/JKO
찾아	찾/VV+아/EC
피해	피하/VV+아/EC
상황을	상황/NNG+을/JKO
묻고	묻/VV+고/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.403.5.1
2단계 비상 근무가 시작되자 직원 50여명은 시내 태풍 피해 상황을 확인했다.

2단계	2/SN+단계/NNG
비상	비상/NNG
근무가	근무/NNG+가/JKS
시작되자	시작/NNG+되/XSV+자/EC
직원	직원/NNG
50여명은	50/SN+여/XSN+명/NNB+은/JX
시내	시내/NNG
태풍	태풍/NNG
피해	피해/NNG
상황을	상황/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.403.5.2
상황실에는 비가 내리고 있음을 표시하는 파란색 비상등에 계속 불이 들어오고 있었다.

상황실에는	상황실/NNG+에/JKB+는/JX
비가	비/NNG+가/JKS
내리고	내리/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
표시하는	표시/NNG+하/XSV+는/ETM
파란색	파란색/NNG
비상등에	비상등/NNG+에/JKB
계속	계속/MAG
불이	불/NNG+이/JKS
들어오고	들어오/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.403.5.3
오후 1시쯤 상황실에는 "태풍 메아리가 신의주 방향으로 북상하면서 별 영향 없이 서울 지역을 벗어날 것"이라는 기상업체의 예보가 들어왔다.

오후	오후/NNG
1시쯤	1/SN+시/NNB+쯤/XSN
상황실에는	상황실/NNG+에/JKB+는/JX
"태풍	"/SS+태풍/NNG
메아리가	메아리/NNG+가/JKS
신의주	신의주/NNP
방향으로	방향/NNG+으로/JKB
북상하면서	북상/NNG+하/XSV+면서/EC
별	별/MMA
영향	영향/NNG
없이	없이/MAG
서울	서울/NNP
지역을	지역/NNG+을/JKO
벗어날	벗어나/VV+ㄹ/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
기상업체의	기상/NNG+업체/NNG+의/JKG
예보가	예보/NNG+가/JKS
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.403.5.4
