# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.107
metadata : {}


# id : NWRW1800000049.107.1.1
테마전시로… 연극동화로… 책 밖으로 나온 이야기들

테마전시로…	테마/NNG+전시/NNG+로/JKB+…/SE
연극동화로…	연극/NNG+동화/NNG+로/JKB+…/SE
책	책/NNG
밖으로	밖/NNG+으로/JKB
나온	나오/VV+ㄴ/ETM
이야기들	이야기/NNG+들/XSN


# id : NWRW1800000049.107.2.1
파주출판도시 ‘14회 어린이책잔치’… 5일부터 8일까지 다양한 체험행사

파주출판도시	파주출판도시/NNP
‘14회	‘/SS+14/SN+회/NNB
어린이책잔치’…	어린이/NNG+책/NNG+잔치/NNG+’/SS+…/SE
5일부터	5/SN+일/NNB+부터/JX
8일까지	8/SN+일/NNB+까지/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
체험행사	체험/NNG+행사/NNG


# id : NWRW1800000049.107.3.1
2016 파주출판도시 어린이책잔치(사진)가 5일부터 8일까지 경기 파주출판도시 일대에서 열린다.

2016	2016/SN
파주출판도시	파주출판도시/NNP
어린이책잔치(사진)가	어린이/NNG+책/NNG+잔치/NNG+(/SS+사진/NNG+)/SS+가/JKS
5일부터	5/SN+일/NNB+부터/JX
8일까지	8/SN+일/NNB+까지/JX
경기	경기/NNP
일대에서	일대/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.107.4.1
올해 14회를 맞는 이번 행사는 ‘책 밖으로 나온 이야기’를 주제로 테마 전시와 거리퍼레이드, 연극 동화 등 다양한 방식으로 책을 즐길 수 있도록 했다.

올해	올해/NNG
14회를	14/SN+회/NNB+를/JKO
맞는	맞/VV+는/ETM
이번	이번/NNG
행사는	행사/NNG+는/JX
‘책	‘/SS+책/NNG
밖으로	밖/NNG+으로/JKB
나온	나오/VV+ㄴ/ETM
이야기’를	이야기/NNG+’/SS+를/JKO
주제로	주제/NNG+로/JKB
테마	테마/NNG
전시와	전시/NNG+와/JC
거리퍼레이드,	거리/NNG+퍼레이드/NNG+,/SP
연극	연극/NNG
동화	동화/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
방식으로	방식/NNG+으로/JKB
책을	책/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.107.4.2
출판도시문화재단이 주최하고 출판도시 입주사와 외부 출판사 등 200여 개사가 참여한다.

출판도시문화재단이	출판/NNG+도시/NNG+문화/NNG+재단/NNG+이/JKS
주최하고	주최/NNG+하/XSV+고/EC
출판도시	출판/NNG+도시/NNG
입주사와	입주사/NNG+와/JC
외부	외부/NNG
출판사	출판사/NNG
등	등/NNB
200여	200/SN+여/XSN
개사가	개사/NNB+가/JKS
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.107.5.1
‘이상하고 요상한 그림책 마을’은 9명의 그림책 작가가 원화와 미술 도구를 각각의 ‘집’에 전시해 아이들이 작품 세계를 들여다볼 수 있다.

‘이상하고	‘/SS+이상/NNG+하/XSA+고/EC
요상한	요상하/VA+ㄴ/ETM
그림책	그림책/NNG
마을’은	마을/NNG+’/SS+은/JX
9명의	9/SN+명/NNB+의/JKG
작가가	작가/NNG+가/JKS
원화와	원화/NNG+와/JC
미술	미술/NNG
도구를	도구/NNG+를/JKO
각각의	각각/NNG+의/JKG
‘집’에	‘/SS+집/NNG+’/SS+에/JKB
전시해	전시/NNG+하/XSV+아/EC
아이들이	아이/NNG+들/XSN+이/JKS
작품	작품/NNG
세계를	세계/NNG+를/JKO
들여다볼	들여다보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.107.5.2
매일 오후 1시와 3시에 작가들의 공연과 체험 행사를 연다.

매일	매일/MAG
오후	오후/NNG
1시와	1/SN+시/NNB+와/JC
3시에	3/SN+시/NNB+에/JKB
작가들의	작가/NNG+들/XSN+의/JKG
공연과	공연/NNG+과/JC
체험	체험/NNG
행사를	행사/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.107.6.1
5일 오후 2시에는 어린이가 좋아하는 책 속 등장인물의 옷을 만들어 입고 출판도시를 걷는 ‘출판도시 어린이 퍼레이드’가 열린다.

5일	5/SN+일/NNB
오후	오후/NNG
2시에는	2/SN+시/NNB+에/JKB+는/JX
어린이가	어린이/NNG+가/JKS
좋아하는	좋아하/VV+는/ETM
책	책/NNG
속	속/NNG
등장인물의	등장인물/NNG+의/JKG
옷을	옷/NNG+을/JKO
만들어	만들/VV+어/EC
입고	입/VV+고/EC
출판도시를	출판/NNG+도시/NNG+를/JKO
걷는	걷/VV+는/ETM
‘출판도시	‘/SS+출판/NNG+도시/NNG
어린이	어린이/NNG
퍼레이드’가	퍼레이드/NNG+’/SS+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.107.6.2
