# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.302
metadata : {}


# id : NWRW1800000041.302.1.1
민주 ‘北 인권문제 공론화’로 이미지 변신 시도

민주	민주/NNP
‘北	‘/SS+北/SH
인권문제	인권/NNG+문제/NNG
공론화’로	공론/NNG+화/XSN+’/SS+로/JKB
이미지	이미지/NNG
변신	변신/NNG
시도	시도/NNG


# id : NWRW1800000041.302.2.1
5개월 남은 6·4 지방선거… 與野 이슈선점 경쟁 金대표 13일 회견서 대안정당 부각

5개월	5/SN+개월/NNB
남은	남/VV+은/ETM
6·4	6/SN+·/SP+4/SN
지방선거…	지방/NNG+선거/NNG+…/SE
與野	與野/SH
이슈선점	이슈/NNG+선점/NNG
경쟁	경쟁/NNG
金대표	金/SH+대표/NNG
13일	13/SN+일/NNB
회견서	회견/NNG+서/JKB
대안정당	대안/NNG+정당/NNG
부각	부각/NNG


# id : NWRW1800000041.302.3.1
민주당이 6·4지방선거를 앞두고 변화의 몸부림을 치고 있다.

민주당이	민주당/NNP+이/JKS
6·4지방선거를	6/SN+·/SP+4/SN+지방/NNG+선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
변화의	변화/NNG+의/JKG
몸부림을	몸부림/NNG+을/JKO
치고	치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.302.3.2
박근혜 정부에 각을 세우는 비판 일변도에서 ‘실력 있는 대안야당’으로 무게 추를 옮기는 전략이다.

박근혜	박근혜/NNP
정부에	정부/NNG+에/JKB
각을	각/NNG+을/JKO
세우는	세우/VV+는/ETM
비판	비판/NNG
일변도에서	일변도/NNG+에서/JKB
‘실력	‘/SS+실력/NNG
있는	있/VA+는/ETM
대안야당’으로	대안/NNG+야당/NNG+’/SS+으로/JKB
무게	무게/NNG
추를	추/NNG+를/JKO
옮기는	옮기/VV+는/ETM
전략이다.	전략/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.302.3.3
새 정치를 내건 안철수 세력의 만만찮은 도전까지 겹친 상태에서 “바꾸지 않으면 죽는다”는 절박감이 작동한 것이다.

새	새/MMA
정치를	정치/NNG+를/JKO
내건	내걸/VV+ㄴ/ETM
안철수	안철수/NNP
세력의	세력/NNG+의/JKG
만만찮은	만만찮/VA+은/ETM
도전까지	도전/NNG+까지/JX
겹친	겹치/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
“바꾸지	“/SS+바꾸/VV+지/EC
않으면	않/VX+으면/EC
죽는다”는	죽/VV+는다/EF+”/SS+는/ETM
절박감이	절박감/NNG+이/JKS
작동한	작동/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.302.4.1
김한길 대표 측은 먼저 야권의 금기 영역을 건드릴 태세다.

김한길	김한길/NNP
대표	대표/NNG
측은	측/NNB+은/JX
먼저	먼저/MAG
야권의	야권/NNG+의/JKG
금기	금기/NNG
영역을	영역/NNG+을/JKO
건드릴	건드리/VV+ㄹ/ETM
태세다.	태세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.302.4.2
여당의 단골 메뉴였던 북한 인권 이슈도 적극 공론화하는 방안을 검토하고 있다고 한다.

여당의	여당/NNG+의/JKG
단골	단골/NNG
메뉴였던	메뉴/NNG+이/VCP+었/EP+던/ETM
북한	북한/NNP
인권	인권/NNG
이슈도	이슈/NNG+도/JX
적극	적극/NNG
공론화하는	공론/NNG+화/XSN+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.302.4.3
인권 정당을 강조해 온 민주당으로서 북한 인권을 외면한다는 비판은 정체성의 딜레마였던 것.

인권	인권/NNG
정당을	정당/NNG+을/JKO
강조해	강조/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
민주당으로서	민주당/NNP+으로서/JKB
북한	북한/NNP
인권을	인권/NNG+을/JKO
외면한다는	외면/NNG+하/XSV+ㄴ다는/ETM
비판은	비판/NNG+은/JX
정체성의	정체/NNG+성/XSN+의/JKG
딜레마였던	딜레마/NNG+이/VCP+었/EP+던/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.302.4.4
김 대표 측은 13일로 예정된 신년 기자회견에서 북한 주민의 인권 이슈를 제기하는 방안을 검토 중인 것으로 알려졌다.

김	김/NNP
대표	대표/NNG
측은	측/NNB+은/JX
13일로	13/SN+일/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
신년	신년/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
북한	북한/NNP
주민의	주민/NNG+의/JKG
인권	인권/NNG
이슈를	이슈/NNG+를/JKO
제기하는	제기/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.302.5.1
당 핵심 관계자는 “민주당이 북한 인권 문제에 대해 적극적인 목소리를 내야 한다는 게 김 대표의 생각”이라며 “지방선거가 다가올수록 여권의 ‘종북’ 공세는 가팔라질 것이란 점도 염두에 두고 있다”고 말했다.

당	당/NNG
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“민주당이	“/SS+민주당/NNP+이/JKS
북한	북한/NNP
인권	인권/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
목소리를	목소리/NNG+를/JKO
내야	내/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
게	거/NNB+이/JKS
김	김/NNP
대표의	대표/NNG+의/JKG
생각”이라며	생각/NNG+”/SS+이/VCP+라며/EC
“지방선거가	“/SS+지방/NNG+선거/NNG+가/JKS
다가올수록	다가오/VV+ㄹ수록/EC
여권의	여권/NNG+의/JKG
‘종북’	‘/SS+종북/NNG+’/SS
공세는	공세/NNG+는/JX
가팔라질	가파르/VA+아/EC+지/VX+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
점도	점/NNG+도/JX
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.302.6.1
민주당은 통일 이슈에 대해서도 적극 대응할 움직임을 보이고 있다.

민주당은	민주당/NNP+은/JX
통일	통일/NNG
이슈에	이슈/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
적극	적극/NNG
대응할	대응/NNG+하/XSV+ㄹ/ETM
움직임을	움직임/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.302.6.2
박 대통령이 6일 신년기자회견에서 ‘통일대박’을 얘기하며 통일 이슈에 불을 지폈기 때문에 차별화하는 대안으로 맞불을 놓겠다는 것이다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
6일	6/SN+일/NNB
신년기자회견에서	신년/NNG+기자/NNG+회견/NNG+에서/JKB
‘통일대박’을	‘/SS+통일/NNG+대박/NNG+’/SS+을/JKO
얘기하며	얘기/NNG+하/XSV+며/EC
통일	통일/NNG
이슈에	이슈/NNG+에/JKB
불을	불/NNG+을/JKO
지폈기	지피/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
차별화하는	차별/NNG+화/XSN+하/XSV+는/ETM
대안으로	대안/NNG+으로/JKB
맞불을	맞불/NNG+을/JKO
놓겠다는	놓/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.302.6.3
김 대표는 10일 시민사회단체 신년하례회에서 “준비되지 않은 느닷없는 통일은 재앙이 될 수 있다”고 말했다.

김	김/NNP
대표는	대표/NNG+는/JX
10일	10/SN+일/NNB
시민사회단체	시민/NNG+사회단체/NNG
신년하례회에서	신년/NNG+하례회/NNG+에서/JKB
“준비되지	“/SS+준비/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
느닷없는	느닷없/VA+는/ETM
통일은	통일/NNG+은/JX
재앙이	재앙/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.302.6.4
김 대표 측 관계자는 “박 대통령의 ‘통일대박’론에는 통일을 어떻게 준비해야 한다는 내용이 없다”고 말했다.

김	김/NNP
대표	대표/NNG
측	측/NNB
관계자는	관계자/NNG+는/JX
“박	“/SS+박/NNP
대통령의	대통령/NNG+의/JKG
‘통일대박’론에는	‘/SS+통일/NNG+대박/NNG+’/SS+론/XSN+에/JKB+는/JX
통일을	통일/NNG+을/JKO
어떻게	어떻/VA+게/EC
준비해야	준비/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
내용이	내용/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.302.7.1
민주당은 분배에 치우친 경제 정책을 성장과 조화시키는 방안을 적극 검토 중이다.

민주당은	민주당/NNP+은/JX
분배에	분배/NNG+에/JKB
치우친	치우치/VV+ㄴ/ETM
경제	경제/NNG
정책을	정책/NNG+을/JKO
성장과	성장/NNG+과/JKB
조화시키는	조화/NNG+시키/XSV+는/ETM
방안을	방안/NNG+을/JKO
적극	적극/NNG
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.302.7.2
당 관계자는 “노선과 정체성, 방향성을 다시 세우지 않는다면 민주당이 설 땅이 사라진다”고 말했다.

당	당/NNG
관계자는	관계자/NNG+는/JX
“노선과	“/SS+노선/NNG+과/JC
정체성,	정체/NNG+성/XSN+,/SP
방향성을	방향/NNG+성/XSN+을/JKO
다시	다시/MAG
