# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.95
metadata : {}


# id : NWRW1800000046.95.1.1
20년간 폐품 모아 고스란히 이웃 도와

20년간	20/SN+년/NNB+간/XSN
폐품	폐품/NNG
모아	모으/VV+아/EC
고스란히	고스란히/MAG
이웃	이웃/NNG
도와	돕/VV+아/EF


# id : NWRW1800000046.95.2.1
매달 30만원 기부해온 박기곤씨… 서울 동선동 이웃 10명 연료비로

매달	매달/MAG
30만원	30/SN+만/NR+원/NNB
기부해온	기부/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
박기곤씨…	박기곤/NNP+씨/NNB+…/SE
서울	서울/NNP
동선동	동선동/NNP
이웃	이웃/NNG
10명	10/SN+명/NNB
연료비로	연료비/NNG+로/JKB


# id : NWRW1800000046.95.3.1
서울 성북구 동선동 박기곤씨는 시간 날 때마다 영업용 트럭을 몰고 동네를 돌며 빈병·폐지·플라스틱을 줍는다.

서울	서울/NNP
성북구	성북구/NNP
동선동	동선동/NNP
박기곤씨는	박기곤/NNP+씨/NNB+는/JX
시간	시간/NNG
날	나/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
영업용	영업/NNG+용/XSN
트럭을	트럭/NNG+을/JKO
몰고	몰/VV+고/EC
동네를	동네/NNG+를/JKO
돌며	돌/VV+며/EC
빈병·폐지·플라스틱을	비/VV+ㄴ/ETM+병/NNG+·/SP+폐지/NNG+·/SP+플라스틱/NNG+을/JKO
줍는다.	줍/VV+는다/EF+./SF


# id : NWRW1800000046.95.3.2
1t 트럭 짐칸이 가득 찰 정도로 재활용품을 모으려면 4~5시간은 걸린다.

1t	1/SN+t/SW
트럭	트럭/NNG
짐칸이	짐칸/NNG+이/JKS
가득	가득/MAG
찰	차/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
재활용품을	재활용품/NNG+을/JKO
모으려면	모으/VV+려면/EC
4~5시간은	4/SN+~/SO+5/SN+시간/NNB+은/JX
걸린다.	걸리/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.95.3.3
이것을 재활용품 처리장에 가져가 팔아 1만~1만5000원을 받는다.

이것을	이것/NP+을/JKO
재활용품	재활용품/NNG
처리장에	처리장/NNG+에/JKB
가져가	가져가/VV+아/EC
팔아	팔/VV+아/EC
1만~1만5000원을	1/SN+만/NR+~/SO+1/SN+만/NR+5000/SN+원/NNB+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000046.95.3.4
박씨는 이 돈을 고스란히 모아 매달 30만원씩 동선동 주민센터에 기부하고 있다.

박씨는	박/NNP+씨/NNB+는/JX
이	이/MMD
돈을	돈/NNG+을/JKO
고스란히	고스란히/MAG
모아	모으/VV+아/EC
매달	매달/MAG
30만원씩	30/SN+만/NR+원/NNB+씩/XSN
동선동	동선동/NNP
주민센터에	주민/NNG+센터/NNG+에/JKB
기부하고	기부/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.95.3.5
이 '재활용품 기부'가 벌써 20년째다.

이	이/MMD
'재활용품	'/SS+재활용품/NNG
기부'가	기부/NNG+'/SS+가/JKS
벌써	벌써/MAG
20년째다.	20/SN+년/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.95.4.1
청년 시절부터 동선동에서 살며 주류 대리점을 운영해온 박씨는 20년 전 동네 곳곳에 쌓인 폐지와 빈병에 새삼 눈길이 갔다.

청년	청년/NNG
시절부터	시절/NNG+부터/JX
동선동에서	동선동/NNP+에서/JKB
살며	살/VV+며/EC
주류	주류/NNG
대리점을	대리점/NNG+을/JKO
운영해온	운영/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
박씨는	박/NNP+씨/NNB+는/JX
20년	20/SN+년/NNB
전	전/NNG
동네	동네/NNG
곳곳에	곳곳/NNG+에/JKB
쌓인	쌓이/VV+ㄴ/ETM
폐지와	폐지/NNG+와/JC
빈병에	비/VV+ㄴ/ETM+병/NNG+에/JKB
새삼	새삼/MAG
눈길이	눈길/NNG+이/JKS
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.95.4.2
이 지역은 크고 작은 주택이 잔뜩 모여 있고, 성신여대 앞에서부터 뻗어나오는 먹자골목도 있어 폐품이 많다.

이	이/MMD
지역은	지역/NNG+은/JX
크고	크/VA+고/EC
작은	작/VA+은/ETM
주택이	주택/NNG+이/JKS
잔뜩	잔뜩/MAG
모여	모이/VV+어/EC
있고,	있/VX+고/EC+,/SP
성신여대	성신여대/NNP
앞에서부터	앞/NNG+에서부터/JKB
뻗어나오는	뻗/VV+어/EC+나오/VV+는/ETM
먹자골목도	먹자골목/NNG+도/JX
있어	있/VA+어/EC
폐품이	폐품/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.95.4.3
아무도 수거하지 않는 폐품을 보며 그는 '저것도 팔면 돈이 되는데, 어려운 사람들을 돕는 데 쓰면 좋겠다'고 생각했다.

아무도	아무/NP+도/JX
수거하지	수거/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
폐품을	폐품/NNG+을/JKO
보며	보/VV+며/EC
그는	그/NP+는/JX
'저것도	'/SS+저것/NP+도/JX
팔면	팔/VV+면/EC
돈이	돈/NNG+이/JKC
