# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.380
metadata : {}


# id : NWRW1800000053.380.1.1
경북서 수능연기 요청 빗발… 문재인 대통령 전격결정

경북서	경북/NNP+서/JKB
수능연기	수능/NNG+연기/NNG
요청	요청/NNG
빗발…	빗발/NNG+…/SE
문재인	문재인/NNP
대통령	대통령/NNG
전격결정	전격/NNG+결정/NNG


# id : NWRW1800000053.380.2.1
귀국 직후 靑회의선 “연기 없다” 김상곤 부총리 “정상관리 어렵다” 재난본부장도 “여진 가능성” 보고

귀국	귀국/NNG
직후	직후/NNG
靑회의선	靑/SH+회의/NNG+서/JKB+ㄴ/JX
“연기	“/SS+연기/NNG
없다”	없/VA+다/EF+”/SS
김상곤	김상곤/NNP
부총리	부총리/NNG
“정상관리	“/SS+정상/NNG+관리/NNG
어렵다”	어렵/VA+다/EF+”/SS
재난본부장도	재난/NNG+본부장/NNG+도/JX
“여진	“/SS+여진/NNG
가능성”	가능/NNG+성/XSN+”/SS
보고	보고/NNG


# id : NWRW1800000053.380.3.1
초유의 수능 일주일 연기 결정은 김상곤 사회부총리 겸 교육부 장관과 류희인 행정안전부 재난안전관리본부장의 청와대 보고 후 전격 결정된 것으로 알려졌다.

초유의	초유/NNG+의/JKG
수능	수능/NNG
일주일	일주일/NNG
연기	연기/NNG
결정은	결정/NNG+은/JX
김상곤	김상곤/NNP
사회부총리	사회/NNG+부총리/NNG
겸	겸/NNB
교육부	교육부/NNG
장관과	장관/NNG+과/JC
류희인	류희인/NNP
행정안전부	행정/NNG+안전부/NNG
재난안전관리본부장의	재난/NNG+안전/NNG+관리/NNG+본부장/NNG+의/JKG
청와대	청와대/NNP
보고	보고/NNG
후	후/NNG
전격	전격/NNG
결정된	결정/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.380.4.1
