# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.37
metadata : {}


# id : NWRW1800000045.37.1.1
[화제의 분양현장]송산그린시티

[화제의	[/SS+화제/NNG+의/JKG
분양현장]송산그린시티	분양/NNG+현장/NNG+]/SS+송산그린시티/NNP


# id : NWRW1800000045.37.2.1
송산신도시 프리미엄 누릴 ‘최대규모 브랜드타운’

송산신도시	송산신도시/NNP
프리미엄	프리미엄/NNG
누릴	누리/VV+ㄹ/ETM
‘최대규모	‘/SS+최대/NNG+규모/NNG
브랜드타운’	브랜드타운/NNG+’/SS


# id : NWRW1800000045.37.3.1
수도권 최대 택지개발지구이며 한국수자원공사에서 개발하는 송산그린시티는 수도권 서해안 벨트에 위치한 시화호 지역에 건설되는 우리나라를 대표할 해양·레저·생태도시로 계획돼 순조롭게 개발되고 있다.

수도권	수도/NNG+권/XSN
최대	최대/NNG
택지개발지구이며	택지/NNG+개발/NNG+지구/NNG+이/VCP+며/EC
한국수자원공사에서	한국수자원공사/NNP+에서/JKB
개발하는	개발/NNG+하/XSV+는/ETM
송산그린시티는	송산그린시티/NNP+는/JX
서해안	서해안/NNP
벨트에	벨트/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
시화호	시화호/NNP
지역에	지역/NNG+에/JKB
건설되는	건설/NNG+되/XSV+는/ETM
우리나라를	우리나라/NNG+를/JKO
대표할	대표/NNG+하/XSV+ㄹ/ETM
해양·레저·생태도시로	해양/NNG+·/SP+레저/NNG+·/SP+생태/NNG+도시/NNG+로/JKB
계획돼	계획/NNG+되/XSV+어/EC
순조롭게	순조/NNG+롭/XSA+게/EC
개발되고	개발/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.37.4.1
송산그린시티의 첫 번째 개발사업인 동측 시범단지는 여타 신도시들과 같이 개발 초기단계에 시범단지를 선정하여 주거단지를 확충하고 인프라를 구성하는 지역으로 올해 후반기를 기점으로 이미 3개 필지에서 아파트가 공급되었다.

송산그린시티의	송산그린시티/NNP+의/JKG
첫	첫/MMN
번째	번/NNB+째/XSN
개발사업인	개발/NNG+사업/NNG+이/VCP+ㄴ/ETM
동측	동/NNG+측/NNB
시범단지는	시범/NNG+단지/NNG+는/JX
여타	여타/NNG
신도시들과	신/XPN+도시/NNG+들/XSN+과/JKB
같이	같이/MAG
개발	개발/NNG
초기단계에	초기/NNG+단계/NNG+에/JKB
시범단지를	시범/NNG+단지/NNG+를/JKO
선정하여	선정/NNG+하/XSV+아/EC
주거단지를	주거/NNG+단지/NNG+를/JKO
확충하고	확충/NNG+하/XSV+고/EC
인프라를	인프라/NNG+를/JKO
구성하는	구성/NNG+하/XSV+는/ETM
지역으로	지역/NNG+으로/JKB
올해	올해/NNG
후반기를	후반기/NNG+를/JKO
기점으로	기점/NNG+으로/JKB
이미	이미/MAG
3개	3/SN+개/NNB
필지에서	필지/NNG+에서/JKB
아파트가	아파트/NNG+가/JKS
공급되었다.	공급/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.37.4.2
주요 수요층은 경기 안산지역 거주자들로 송산신도시에 2017년 말에 완공되는 다리(송산교)를 이용할 경우 안산과 바로 연결돼 송산신도시와 안산 생활프리미엄을 동시에 누릴 수 있다.

주요	주요/NNG
수요층은	수요/NNG+층/XSN+은/JX
경기	경기/NNP
안산지역	안산지역/NNP
거주자들로	거주자/NNG+들/XSN+로/JKB
송산신도시에	송산신도시/NNP+에/JKB
2017년	2017/SN+년/NNB
말에	말/NNB+에/JKB
완공되는	완공/NNG+되/XSV+는/ETM
다리(송산교)를	다리/NNG+(/SS+송산교/NNP+)/SS+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
안산과	안산/NNP+과/JKB
바로	바로/MAG
