# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.30
metadata : {}


# id : NWRW1800000028.30.1.1
‘4대강’ 건설현장 가보니/달성보 가물막이 둑 안에 ‘시커먼 진흙덩이’

‘4대강’	‘/SS+4/SN+대/NNG+강/NNG+’/SS
건설현장	건설/NNG+현장/NNG
가보니/달성보	가/VV+아/EC+보/VX+니/EC+//SP+달성보/NNP
가물막이	가/XPN+물막이/NNG
둑	둑/NNG
안에	안/NNG+에/JKB
‘시커먼	‘/SS+시커멓/VA+ㄴ/ETM
진흙덩이’	진흙/NNG+덩이/NNG+’/SS


# id : NWRW1800000028.30.2.1
21일 찾은 대구 달성군 논공읍 달성보 건설 현장에서는 임시로 물을 막아 놓은 가물막이 둑 안에서 콘크리트 보 구조물 가설을 위한 굴착공사가 한창이었다.

21일	21/SN+일/NNB
찾은	찾/VV+은/ETM
대구	대구/NNP
달성군	달성군/NNP
논공읍	논공읍/NNP
달성보	달성보/NNP
건설	건설/NNG
현장에서는	현장/NNG+에서/JKB+는/JX
임시로	임시/NNG+로/JKB
물을	물/NNG+을/JKO
막아	막/VV+아/EC
놓은	놓/VX+은/ETM
가물막이	가/XPN+물막이/NNG
둑	둑/NNG
안에서	안/NNG+에서/JKB
콘크리트	콘크리트/NNG
보	보/NNG
구조물	구조물/NNG
가설을	가설/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
굴착공사가	굴착/NNG+공사/NNG+가/JKS
한창이었다.	한창/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.30.2.2
가물막이 구덩이 속 곳곳에 3m 정도 두께로 형성된 시커먼 오니(진창같이 된 침전물, 슬러지)층이 눈에 들어왔다.

가물막이	가/XPN+물막이/NNG
구덩이	구덩이/NNG
속	속/NNG
곳곳에	곳곳/NNG+에/JKB
3m	3/SN+m/SW
정도	정도/NNG
두께로	두께/NNG+로/JKB
형성된	형성/NNG+되/XSV+ㄴ/ETM
시커먼	시커멓/VA+ㄴ/ETM
오니(진창같이	오니/NNG+(/SS+진창/NNG+같이/JKB
된	되/VV+ㄴ/ETM
