# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.277
metadata : {}


# id : NWRW1800000024.277.1.1
인터파크 ‘유명 의류’ 싸다 했더니…

인터파크	인터파크/NNP
‘유명	‘/SS+유명/NNG
의류’	의류/NNG+’/SS
싸다	싸/VA+다/EF
했더니…	하/VV+았/EP+더니/EC+…/SE


# id : NWRW1800000024.277.2.1
국내 유명 인터넷 쇼핑몰에서 가짜 외국 유명 의류 수만 벌을 판매한 업자들이 경찰에 붙잡혔다.

국내	국내/NNG
유명	유명/NNG
인터넷	인터넷/NNG
쇼핑몰에서	쇼핑몰/NNG+에서/JKB
가짜	가짜/NNG
외국	외국/NNG
의류	의류/NNG
수만	수만/NR
벌을	벌/NNB+을/JKO
판매한	판매/NNG+하/XSV+ㄴ/ETM
업자들이	업자/NNG+들/XSN+이/JKS
경찰에	경찰/NNG+에/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.277.3.1
서울지방경찰청 사이버범죄수사대는 28일 “폴로·리바이스·캘빈 클라인 등 외국 유명 상표를 부착한 가짜 의류 12억원어치(정품 시가 50억여원)를 인터넷 쇼핑몰 인터파크를 통해 판매한 업자 ㄱ아무개(36)씨를 구속하고, 다른 판매상 9명을 불구속 입건했다”고 밝혔다.

서울지방경찰청	서울지방경찰청/NNP
사이버범죄수사대는	사이버/NNG+범죄/NNG+수사대/NNG+는/JX
28일	28/SN+일/NNB
“폴로·리바이스·캘빈	“/SS+폴로/NNP+·/SP+리바이스/NNP+·/SP+캘빈/NNP
클라인	클라인/NNP
등	등/NNB
외국	외국/NNG
유명	유명/NNG
상표를	상표/NNG+를/JKO
부착한	부착/NNG+하/XSV+ㄴ/ETM
가짜	가짜/NNG
의류	의류/NNG
12억원어치(정품	12/SN+억/NR+원/NNB+어치/XSN+(/SS+정품/NNG
시가	시가/NNG
50억여원)를	50/SN+억/NR+여/XSN+원/NNB+)/SS+를/JKO
인터넷	인터넷/NNG
쇼핑몰	쇼핑몰/NNG
인터파크를	인터파크/NNP+를/JKO
통해	통하/VV+아/EC
판매한	판매/NNG+하/XSV+ㄴ/ETM
업자	업자/NNG
ㄱ아무개(36)씨를	ㄱ/NNG+아무개/NP+(/SS+36/SN+)/SS+씨/NNB+를/JKO
구속하고,	구속/NNG+하/XSV+고/EC+,/SP
다른	다른/MMD
판매상	판매상/NNG
9명을	9/SN+명/NNB+을/JKO
불구속	불/XPN+구속/NNG
입건했다”고	입건/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.277.4.1
ㄱ씨 등은 지난 2월부터 4개월여 동안 유명 상표를 부착한 ‘짝퉁’ 옷 5만6880벌을 만들어 인터넷을 통해 판매해 상표권을 침해한 혐의를 받고 있다.

ㄱ씨	ㄱ/NNG+씨/NNB
등은	등/NNB+은/JX
지난	지나/VV+ㄴ/ETM
2월부터	2/SN+월/NNB+부터/JX
4개월여	4/SN+개월/NNB+여/XSN
동안	동안/NNG
유명	유명/NNG
상표를	상표/NNG+를/JKO
부착한	부착/NNG+하/XSV+ㄴ/ETM
‘짝퉁’	‘/SS+짝퉁/NNG+’/SS
옷	옷/NNG
5만6880벌을	5/SN+만/NR+6880/SN+벌/NNB+을/JKO
만들어	만들/VV+어/EC
인터넷을	인터넷/NNG+을/JKO
통해	통하/VV+아/EC
판매해	판매/NNG+하/XSV+아/EC
상표권을	상표/NNG+권/XSN+을/JKO
침해한	침해/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.277.4.2
이들은 ‘직수입 특가 상품’ 등의 광고를 내걸고, 정품 가격이 10만원인 티셔츠를 2만5000원까지 낮춰 팔았던 것으로 드러났다.

이들은	이/NP+들/XSN+은/JX
‘직수입	‘/SS+직수입/NNG
특가	특가/NNG
상품’	상품/NNG+’/SS
등의	등/NNB+의/JKG
광고를	광고/NNG+를/JKO
내걸고,	내걸/VV+고/EC+,/SP
정품	정품/NNG
가격이	가격/NNG+이/JKS
10만원인	10/SN+만/NR+원/NNB+이/VCP+ㄴ/ETM
티셔츠를	티셔츠/NNG+를/JKO
2만5000원까지	2/SN+만/NR+5000/SN+원/NNB+까지/JX
낮춰	낮추/VV+어/EC
팔았던	팔/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.277.4.3
경찰은 인터파크의 의류 판매업자 상위 5명이 모두 가짜 명품을 팔았고, 이들 5명이 5월3일부터 15일간 판매한 옷이 이 사이트의 전체 의류 매출에서 20%를 차지한 적도 있다고 밝혔다.

경찰은	경찰/NNG+은/JX
인터파크의	인터파크/NNP+의/JKG
의류	의류/NNG
판매업자	판매업자/NNG
상위	상위/NNG
5명이	5/SN+명/NNB+이/JKS
모두	모두/MAG
가짜	가짜/NNG
명품을	명품/NNG+을/JKO
팔았고,	팔/VV+았/EP+고/EC+,/SP
이들	이/NP+들/XSN
5월3일부터	5/SN+월/NNB+3/SN+일/NNB+부터/JX
15일간	15/SN+일/NNB+간/XSN
판매한	판매/NNG+하/XSV+ㄴ/ETM
옷이	옷/NNG+이/JKS
이	이/MMD
사이트의	사이트/NNG+의/JKG
전체	전체/NNG
매출에서	매출/NNG+에서/JKB
20%를	20/SN+%/SW+를/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
있다고	있/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.277.5.1
경찰은 또 가짜 유명 의류가 판매되는 줄 알면서도 이를 모른 체한 인터파크의 패션사업 담당 팀장 ㄱ아무개(33)씨도 불구속 입건했다.

경찰은	경찰/NNG+은/JX
또	또/MAG
가짜	가짜/NNG
유명	유명/NNG
의류가	의류/NNG+가/JKS
판매되는	판매/NNG+되/XSV+는/ETM
줄	줄/NNB
알면서도	알/VV+면서/EC+도/JX
이를	이/NP+를/JKO
모른	모르/VV+ㄴ/ETM
체한	체/NNB+하/XSV+ㄴ/ETM
인터파크의	인터파크/NNP+의/JKG
패션사업	패션/NNG+사업/NNG
담당	담당/NNG
팀장	팀장/NNG
ㄱ아무개(33)씨도	ㄱ/NNG+아무개/NP+(/SS+33/SN+)/SS+씨/NNB+도/JX
불구속	불/XPN+구속/NNG
입건했다.	입건/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.277.5.2
ㄱ씨는 가짜 의류 판매업자들에게서 ‘정품 진위 확인서’ 1부만 제출받는 등 정상적인 확인 절차를 거치지 않은 채 매출을 증가시켜 판매금액의 10%를 수수료로 챙긴 혐의를 받고 있다.

ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
가짜	가짜/NNG
의류	의류/NNG
판매업자들에게서	판매업자/NNG+들/XSN+에게서/JKB
‘정품	‘/SS+정품/NNG
진위	진위/NNG
확인서’	확인서/NNG+’/SS
1부만	1/SN+부/NNG+만/JX
제출받는	제출/NNG+받/XSV+는/ETM
등	등/NNB
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
확인	확인/NNG
절차를	절차/NNG+를/JKO
거치지	거치/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
매출을	매출/NNG+을/JKO
증가시켜	증가/NNG+시키/XSV+어/EC
판매금액의	판매/NNG+금액/NNG+의/JKG
10%를	10/SN+%/SW+를/JKO
수수료로	수수료/NNG+로/JKB
챙긴	챙기/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.277.5.3
ㄱ씨는 고객들한테 가짜 명품 의류 판매 신고를 10여차례 받고도 이를 묵인한 채 영업을 계속하도록 방치했다고 경찰은 밝혔다.

ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
고객들한테	고객/NNG+들/XSN+한테/JKB
가짜	가짜/NNG
명품	명품/NNG
의류	의류/NNG
판매	판매/NNG
신고를	신고/NNG+를/JKO
10여차례	10/SN+여/XSN+차례/NNG
받고도	받/VV+고/EC+도/JX
이를	이/NP+를/JKO
묵인한	묵인/NNG+하/XSV+ㄴ/ETM
채	채/NNB
영업을	영업/NNG+을/JKO
계속하도록	계속/NNG+하/XSV+도록/EC
방치했다고	방치/NNG+하/XSV+았/EP+다고/EC
