# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.31
metadata : {}


# id : NWRW1800000028.31.1.1
“훈련보다 삽질 때문에” 군인들은 괴로워

“훈련보다	“/SS+훈련/NNG+보다/JKB
삽질	삽/NNG+질/XSN
때문에”	때문/NNB+에/JKB+”/SS
군인들은	군인/NNG+들/XSN+은/JX
괴로워	괴롭/VA+어/EF


# id : NWRW1800000028.31.2.1
“삽질이 가장 힘들어요.”

“삽질이	“/SS+삽/NNG+질/XSN+이/JKS
가장	가장/MAG
힘들어요.”	힘들/VA+어요/EF+./SF+”/SS


# id : NWRW1800000028.31.3.1
현역 장병들은 병역 생활 중 가장 어려운 일로 공사나 작업을 꼽았다.

현역	현역/NNG
장병들은	장병/NNG+들/XSN+은/JX
병역	병역/NNG
생활	생활/NNG
중	중/NNB
가장	가장/MAG
어려운	어렵/VA+ㄴ/ETM
일로	일/NNG+로/JKB
공사나	공사/NNG+나/JC
작업을	작업/NNG+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.31.3.2
지난해 말 민간연구기관인 안보경영연구원이 육군의 위탁을 받아 육군 현역병(7261명), 예비군(2785명) 등을 대상으로 조사한 ‘ 군 병영실상 분석’ 보고서를 보면, 군 생활 중 가장 힘든 일을 묻는 질문에 현역 장병(18.6%)과 예비군(13.7%) 모두 ‘잦은 공사나 작업’이라고 답변했다.

지난해	지난해/NNG
말	말/NNB
민간연구기관인	민간/NNG+연구/NNG+기관/NNG+이/VCP+ㄴ/ETM
안보경영연구원이	안보/NNG+경영/NNG+연구원/NNG+이/JKS
육군의	육군/NNG+의/JKG
위탁을	위탁/NNG+을/JKO
받아	받/VV+아/EC
육군	육군/NNG
현역병(7261명),	현역병/NNG+(/SS+7261/SN+명/NNB+)/SS+,/SP
예비군(2785명)	예비군/NNG+(/SS+2785/SN+명/NNB+)/SS
등을	등/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
조사한	조사/NNG+하/XSV+ㄴ/ETM
‘	‘/SS
군	군/NNG
병영실상	병영/NNG+실상/NNG
분석’	분석/NNG+’/SS
보고서를	보고서/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
생활	생활/NNG
중	중/NNB
가장	가장/MAG
힘든	힘들/VA+ㄴ/ETM
일을	일/NNG+을/JKO
묻는	묻/VV+는/ETM
질문에	질문/NNG+에/JKB
현역	현역/NNG
장병(18.6%)과	장병/NNG+(/SS+18/SN+./SP+6/SN+%/SW+)/SS+과/JC
예비군(13.7%)	예비군/NNG+(/SS+13/SN+./SP+7/SN+%/SW+)/SS
모두	모두/MAG
‘잦은	‘/SS+잦/VA+은/ETM
공사나	공사/NNG+나/JC
작업’이라고	작업/NNG+’/SS+이라고/JKQ
답변했다.	답변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.31.3.3
잦은 작업에 이어 현역 장병들은 수면부족(16.7%), 휴가나 휴무 미보장(15.6%)이 힘들다고 대답했다.

잦은	잦/VA+은/ETM
작업에	작업/NNG+에/JKB
이어	잇/VV+어/EC
현역	현역/NNG
장병들은	장병/NNG+들/XSN+은/JX
수면부족(16.7%),	수면/NNG+부족/NNG+(/SS+16/SN+./SP+7/SN+%/SW+)/SS+,/SP
휴가나	휴가/NNG+나/JC
휴무	휴무/NNG
미보장(15.6%)이	미/XPN+보장/NNG+(/SS+15/SN+./SP+6/SN+%/SW+)/SS+이/JKS
힘들다고	힘들/VA+다고/EC
대답했다.	대답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.31.3.4
