# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.135
metadata : {}


# id : NWRW1800000048.135.1.1
터키, 영공 침범한 항공기 격추

터키,	터키/NNP+,/SP
영공	영공/NNG
침범한	침범/NNG+하/XSV+ㄴ/ETM
항공기	항공기/NNG
격추	격추/NNG


# id : NWRW1800000048.135.2.1
시리아 공습 군용기일 가능성

시리아	시리아/NNP
공습	공습/NNG
군용기일	군용기/NNG+이/VCP+ㄹ/ETM
가능성	가능/NNG+성/XSN


# id : NWRW1800000048.135.3.1
무인기 추정…러시아 “우린 아니다”

무인기	무인기/NNG
추정…러시아	추정/NNG+…/SE+러시아/NNP
“우린	“/SS+우리/NP+ㄴ/JX
아니다”	아니/VCN+다/EF+”/SS


# id : NWRW1800000048.135.4.1
터키 공군이 16일 정오께(현지시각) 영공을 침범한 항공기를 격추했다.

터키	터키/NNP
공군이	공군/NNG+이/JKS
16일	16/SN+일/NNB
정오께(현지시각)	정오/NNG+께/XSN+(/SS+현지/NNG+시각/NNG+)/SS
영공을	영공/NNG+을/JKO
침범한	침범/NNG+하/XSV+ㄴ/ETM
항공기를	항공기/NNG+를/JKO
격추했다.	격추/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.135.4.2
터키의 접경국인 시리아 공습에 참가하고 있는 북대서양조약기구(NATO·나토) 또는 러시아의 군용기일 가능성을 배제할 수 없어 긴장이 커지고 있다.

터키의	터키/NNP+의/JKG
접경국인	접경국/NNG+이/VCP+ㄴ/ETM
시리아	시리아/NNP
공습에	공습/NNG+에/JKB
참가하고	참가/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
북대서양조약기구(NATO·나토)	북대서양조약기구/NNP+(/SS+NATO/SL+·/SP+나토/NNP+)/SS
또는	또는/MAG
러시아의	러시아/NNP+의/JKG
군용기일	군용기/NNG+이/VCP+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
긴장이	긴장/NNG+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.135.5.1
터키 군 당국은 성명을 내어 “국적 불명의 비행체 한 대가 시리아 국경 지대의 영공을 침범했으며, 초계비행을 하던 터키 전투기들의 세 차례 경고에도 불응하자 교전수칙에 의거해 격추했다”고 발표했다고 <아에프페>(AFP) 통신 등 외신들이 보도했다.

터키	터키/NNP
군	군/NNG
당국은	당국/NNG+은/JX
성명을	성명/NNG+을/JKO
내어	내/VV+어/EC
“국적	“/SS+국적/NNG
불명의	불명/NNG+의/JKG
비행체	비행체/NNG
한	한/MMN
대가	대/NNB+가/JKS
시리아	시리아/NNP
국경	국경/NNG
지대의	지대/NNG+의/JKG
영공을	영공/NNG+을/JKO
침범했으며,	침범/NNG+하/XSV+았/EP+으며/EC+,/SP
초계비행을	초계/NNG+비행/NNG+을/JKO
하던	하/VV+던/ETM
전투기들의	전투기/NNG+들/XSN+의/JKG
세	세/MMN
차례	차례/NNG
경고에도	경고/NNG+에/JKB+도/JX
불응하자	불응/NNG+하/XSV+자/EC
교전수칙에	교전/NNG+수칙/NNG+에/JKB
의거해	의거/NNG+하/XSV+아/EC
격추했다”고	격추/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
발표했다고	발표/NNG+하/XSV+았/EP+다고/EC
<아에프페>(AFP)	</SS+아에프페/NNP+>/SS+(/SS+AFP/SL+)/SS
통신	통신/NNG
등	등/NNB
외신들이	외신/NNG+들/XSN+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.135.5.2
터키 군의 성명은 격추된 비행물체가 무인기(드론)인지 유인 항공기인지는 밝히지 않았다.

터키	터키/NNP
군의	군/NNG+의/JKG
성명은	성명/NNG+은/JX
격추된	격추/NNG+되/XSV+ㄴ/ETM
비행물체가	비행/NNG+물체/NNG+가/JKS
무인기(드론)인지	무인기/NNG+(/SS+드론/NNG+)/SS+이/VCP+ㄴ지/EC
유인	유인/NNG
항공기인지는	항공기/NNG+이/VCP+ㄴ지/EF+는/JX
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.135.5.3
그러나 <아에프페>는 터키 관리의 말을 인용해 추락 항공기는 무인기라고 전했다.

그러나	그러나/MAJ
<아에프페>는	</SS+아에프페/NNP+>/SS+는/JX
터키	터키/NNP
관리의	관리/NNG+의/JKG
말을	말/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
추락	추락/NNG
항공기는	항공기/NNG+는/JX
무인기라고	무인기/NNG+이/VCP+라고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.135.6.1
터키 민영방송 <엔티브이>(NTV)도 “무인기 1대가 터키 영공을 3㎞가량 침범했다가 격추됐다”며 터키 군 당국이 피격 항공기의 추락 현장을 조사하는 모습을 화면에 내보냈다.

터키	터키/NNP
민영방송	민영/NNG+방송/NNG
<엔티브이>(NTV)도	</SS+엔티브이/NNP+>/SS+(/SS+NTV/SL+)/SS+도/JX
“무인기	“/SS+무인기/NNG
1대가	1/SN+대/NNB+가/JKS
영공을	영공/NNG+을/JKO
3㎞가량	3/SN+㎞/SW+가량/XSN
침범했다가	침범/NNG+하/XSV+았/EP+다가/EC
격추됐다”며	격추/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
군	군/NNG
당국이	당국/NNG+이/JKS
피격	피격/NNG
항공기의	항공기/NNG+의/JKG
추락	추락/NNG
현장을	현장/NNG+을/JKO
조사하는	조사/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
화면에	화면/NNG+에/JKB
