# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.436
metadata : {}


# id : NWRW1800000022.436.1.1
[수도권Ⅲ] [이슈 앤 현장] 용인시 아동보육환경 적극 개선;"자녀 걱정하지 말고 생업 열중하세요"

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SW+]/SS
[이슈	[/SS+이슈/NNG
앤	앤/NNG
현장]	현장/NNG+]/SS
용인시	용인시/NNP
아동보육환경	아동/NNG+보육/NNG+환경/NNG
적극	적극/NNG
개선;"자녀	개선/NNG+;/SP+"/SS+자녀/NNG
걱정하지	걱정/NNG+하/XSV+지/EC
말고	말/VX+고/EC
생업	생업/NNG
열중하세요"	열중/NNG+하/XSV+시/EP+어요/EF+"/SS


# id : NWRW1800000022.436.2.1
자녀 3명을 키우고 있는 직장여성 이미자(38·용인시 기흥구 동백동)씨는 출산과 육아를 위한 휴직을 마치고 내년 초 복직을 앞두고 있다.

자녀	자녀/NNG
3명을	3/SN+명/NNB+을/JKO
키우고	키우/VV+고/EC
있는	있/VX+는/ETM
직장여성	직장/NNG+여성/NNG
이미자(38·용인시	이미자/NNP+(/SS+38/SN+·/SP+용인시/NNP
기흥구	기흥구/NNP
동백동)씨는	동백동/NNP+)/SS+씨/NNB+는/JX
출산과	출산/NNG+과/JC
육아를	육아/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
휴직을	휴직/NNG+을/JKO
마치고	마치/VV+고/EC
내년	내년/NNG
초	초/NNB
복직을	복직/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.436.2.2
하지만 초등학교 1학년인 맏딸 수빈(7)이를 어린이집에 보낼 때보다 걱정이 덜하다.

하지만	하지만/MAJ
초등학교	초등학교/NNG
1학년인	1/SN+학년/NNG+이/VCP+ㄴ/ETM
맏딸	맏/XPN+딸/NNG
수빈(7)이를	수빈/NNP+(/SS+7/SN+)/SS+이/NA+를/JKO
어린이집에	어린이집/NNG+에/JKB
보낼	보내/VV+ㄹ/ETM
때보다	때/NNG+보다/JKB
걱정이	걱정/NNG+이/JKS
덜하다.	덜/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000022.436.2.3
수빈이를 민간 어린이집에 맡겼던 이씨는 아들 지후(4)와 딸 수연(1)이는 지난 9월 문을 연 시립 동백어린이집(기흥구 중동)에 보내고 있다.

수빈이를	수빈이/NNP+를/JKO
민간	민간/NNG
어린이집에	어린이집/NNG+에/JKB
맡겼던	맡기/VV+었/EP+던/ETM
이씨는	이/NNP+씨/NNB+는/JX
아들	아들/NNG
지후(4)와	지후/NNP+(/SS+4/SN+)/SS+와/JC
딸	딸/NNG
수연(1)이는	수연/NNP+(/SS+1/SN+)/SS+이/NA+는/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
시립	시립/NNG
동백어린이집(기흥구	동백어린이집/NNP+(/SS+기흥구/NNP
중동)에	중동/NNP+)/SS+에/JKB
보내고	보내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.436.3.1
"민간 어린이집은 오후 6시 30분~7시까지밖에 운영을 안 해서 퇴근시간이 다가오면 마음이 불안했어요.

"민간	"/SS+민간/NNG
어린이집은	어린이집/NNG+은/JX
오후	오후/NNG
6시	6/SN+시/NNB
30분~7시까지밖에	30/SN+분/NNB+~/SO+7/SN+시/NNB+까지/JX+밖에/JX
운영을	운영/NNG+을/JKO
안	안/MAG
해서	하/VV+아서/EC
퇴근시간이	퇴근/NNG+시간/NNG+이/JKS
다가오면	다가오/VV+면/EC
마음이	마음/NNG+이/JKS
불안했어요.	불안/NNG+하/XSA+았/EP+어요/EF+./SF


# id : NWRW1800000022.436.3.2
지금 다니는 시립 어린이집은 오후 9시까지 운영해 한결 안심되고 조급하지 않답니다."

지금	지금/MAG
다니는	다니/VV+는/ETM
시립	시립/NNG
어린이집은	어린이집/NNG+은/JX
오후	오후/NNG
9시까지	9/SN+시/NNB+까지/JX
운영해	운영/NNG+하/XSV+아/EC
한결	한결/MAG
안심되고	안심/NNG+되/XSV+고/EC
조급하지	조급하/VA+지/EC
않답니다."	않/VX+답니다/EF+./SF+"/SS


# id : NWRW1800000022.436.4.1
아이를 데리고 회식자리에 참석하기도 했다는 이씨는 "시립 어린이집은 고용이 안정된 보육교사가 오랫동안 아이와 관계를 맺을 수 있어서, 아이의 정서 발달에도 도움이 되는 것 같다"며 "아직 말을 못하는 수연이의 경우도 꼼꼼히 잘 챙겨줘서 어린이집에 만족하고 있다"고도 했다.

아이를	아이/NNG+를/JKO
데리고	데리/VV+고/EC
회식자리에	회식/NNG+자리/NNG+에/JKB
참석하기도	참석/NNG+하/XSV+기/ETN+도/JX
했다는	하/VX+았/EP+다는/ETM
이씨는	이/NNP+씨/NNB+는/JX
"시립	"/SS+시립/NNG
어린이집은	어린이집/NNG+은/JX
고용이	고용/NNG+이/JKS
안정된	안정/NNG+되/XSV+ㄴ/ETM
보육교사가	보육/NNG+교사/NNG+가/JKS
오랫동안	오랫동안/NNG
아이와	아이/NNG+와/JKB
관계를	관계/NNG+를/JKO
맺을	맺/VV+을/ETM
수	수/NNB
있어서,	있/VA+어서/EC+,/SP
아이의	아이/NNG+의/JKG
정서	정서/NNG
발달에도	발달/NNG+에/JKB+도/JX
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
것	것/NNB
같다"며	같/VA+다/EF+"/SS+며/EC
"아직	"/SS+아직/MAG
말을	말/NNG+을/JKO
못하는	못/MAG+하/XSV+는/ETM
수연이의	수연이/NNP+의/JKG
경우도	경우/NNG+도/JX
꼼꼼히	꼼꼼히/MAG
잘	잘/MAG
챙겨줘서	챙기/VV+어/EC+주/VX+어서/EC
어린이집에	어린이집/NNG+에/JKB
만족하고	만족/NNG+하/XSV+고/EC
있다"고도	있/VX+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.436.5.1
◆보육시설 이용 아동수 증가추세

◆보육시설	◆/SW+보육/NNG+시설/NNG
이용	이용/NNG
아동수	아동/NNG+수/NNG
증가추세	증가/NNG+추세/NNG


# id : NWRW1800000022.436.6.1
동백어린이집은 용인시에 있는 19개 시립어린이집 가운데 시설 규모가 가장 큰 곳이다.

동백어린이집은	동백어린이집/NNP+은/JX
용인시에	용인시/NNP+에/JKB
있는	있/VA+는/ETM
19개	19/SN+개/NNB
시립어린이집	시립/NNG+어린이집/NNG
가운데	가운데/NNG
시설	시설/NNG
규모가	규모/NNG+가/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.436.6.2
부지 2355㎡에 지상 3층 규모로 지난 9월 개관했다.

부지	부지/NNG
2355㎡에	2355/SN+㎡/SW+에/JKB
지상	지상/NNG
3층	3/SN+층/NNG
규모로	규모/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
개관했다.	개관/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.436.6.3
1인 활동공간이 넓고 옥상엔 물놀이공간도 조성해 공간 효율성을 높였다.

1인	1/SN+인/NNG
활동공간이	활동/NNG+공간/NNG+이/JKS
넓고	넓/VA+고/EC
옥상엔	옥상/NNG+에/JKB+ㄴ/JX
물놀이공간도	물놀이/NNG+공간/NNG+도/JX
조성해	조성/NNG+하/XSV+아/EC
공간	공간/NNG
효율성을	효율/NNG+성/XSN+을/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.436.6.4
산 밑에 위치해 생태체험이 가능하다.

산	산/NNG
밑에	밑/NNG+에/JKB
위치해	위치/NNG+하/XSV+아/EC
생태체험이	생태/NNG+체험/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000022.436.6.5
배추밭을 조성해 원아와 선생님들이 함께 김장 배추와 무를 심기도 했고, 내년에는 본격적인 농장 활동도 시작할 계획이다.

배추밭을	배추밭/NNG+을/JKO
조성해	조성/NNG+하/XSV+아/EC
원아와	원아/NNG+와/JC
선생님들이	선생/NNG+님/XSN+들/XSN+이/JKS
함께	함께/MAG
김장	김장/NNG
배추와	배추/NNG+와/JC
무를	무/NNG+를/JKO
심기도	심/VV+기/ETN+도/JX
했고,	하/VX+았/EP+고/EC+,/SP
내년에는	내년/NNG+에/JKB+는/JX
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
농장	농장/NNG
활동도	활동/NNG+도/JX
시작할	시작/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.436.7.1
2009년 10월 현재 용인시 보육시설 이용 아동수는 만 0~5세의 아동인구 총 6만4000여명의 35%에 해당하는 2만2000여명이다.

2009년	2009/SN+년/NNB
10월	10/SN+월/NNB
현재	현재/MAG
용인시	용인시/NNP
보육시설	보육/NNG+시설/NNG
이용	이용/NNG
아동수는	아동/NNG+수/NNG+는/JX
만	만/MMA
0~5세의	0/SN+~/SO+5/SN+세/NNB+의/JKG
아동인구	아동/NNG+인구/NNG
총	총/MMA
6만4000여명의	6/SN+만/NR+4000/SN+여/XSN+명/NNB+의/JKG
35%에	35/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
2만2000여명이다.	2/SN+만/NR+2000/SN+여/XSN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.436.7.2
매년 1000명 가까이 늘어나는 추세다.

매년	매년/MAG
1000명	1000/SN+명/NNB
가까이	가까이/MAG
늘어나는	늘어나/VV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.436.8.1
용인시는 갈수록 늘어나고 다양해지는 보육 수요를 충족시키기 위해 관련 예산을 늘리고 시설 확충과 프로그램 개발 등에 힘쓰고 있다.

용인시는	용인시/NNP+는/JX
갈수록	갈수록/MAG
늘어나고	늘어나/VV+고/EC
다양해지는	다양/NNG+하/XSA+아/EC+지/VX+는/ETM
보육	보육/NNG
수요를	수요/NNG+를/JKO
충족시키기	충족/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
관련	관련/NNG
예산을	예산/NNG+을/JKO
늘리고	늘리/VV+고/EC
시설	시설/NNG
확충과	확충/NNG+과/JC
프로그램	프로그램/NNG
개발	개발/NNG
등에	등/NNB+에/JKB
힘쓰고	힘쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.436.9.1
용인시가 내년도에 마련한 아동·보육예산은 965억원.

용인시가	용인시/NNP+가/JKS
내년도에	내년도/NNG+에/JKB
마련한	마련/NNG+하/XSV+ㄴ/ETM
아동·보육예산은	아동/NNG+·/SP+보육/NNG+예산/NNG+은/JX
965억원.	965/SN+억/NR+원/NNB+./SF


# id : NWRW1800000022.436.9.2
3년 전인 2007년 445억원보다 2배 이상 늘어난 규모이고, 지난해(640억원)보다 50% 늘어난 금액이다.

3년	3/SN+년/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
2007년	2007/SN+년/NNB
445억원보다	445/SN+억/NR+원/NNB+보다/JKB
2배	2/SN+배/NNG
이상	이상/NNG
늘어난	늘어나/VV+ㄴ/ETM
규모이고,	규모/NNG+이/VCP+고/EC+,/SP
지난해(640억원)보다	지난해/NNG+(/SS+640/SN+억/NR+원/NNB+)/SS+보다/JKB
50%	50/SN+%/SW
금액이다.	금액/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.436.10.1
용인시 보육시설은 2009년 10월 현재 총 884곳으로 시립어린이집 19개, 법인 및 법인 외 어린이집 29곳, 민간 보육시설 212곳, 가정보육시설은 619곳, 직장보육시설 5곳 등이다.

용인시	용인시/NNP
보육시설은	보육/NNG+시설/NNG+은/JX
2009년	2009/SN+년/NNB
10월	10/SN+월/NNB
현재	현재/MAG
총	총/MMA
884곳으로	884/SN+곳/NNG+으로/JKB
시립어린이집	시립/NNG+어린이집/NNG
19개,	19/SN+개/NNB+,/SP
법인	법인/NNG
및	및/MAG
외	외/NNB
어린이집	어린이집/NNG
29곳,	29/SN+곳/NNG+,/SP
민간	민간/NNG
보육시설	보육/NNG+시설/NNG
212곳,	212/SN+곳/NNG+,/SP
가정보육시설은	가정/NNG+보육/NNG+시설/NNG+은/JX
619곳,	619/SN+곳/NNG+,/SP
직장보육시설	직장/NNG+보육/NNG+시설/NNG
5곳	5/SN+곳/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.436.11.1
용인시는 저소득층 자녀, 장애인 자녀 등을 우선적으로 받아야 하는 시립어린이집을 확충할 계획이다.

용인시는	용인시/NNP+는/JX
저소득층	저/XPN+소득/NNG+층/XSN
자녀,	자녀/NNG+,/SP
장애인	장애인/NNG
자녀	자녀/NNG
등을	등/NNB+을/JKO
우선적으로	우선/NNG+적/XSN+으로/JKB
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
시립어린이집을	시립/NNG+어린이집/NNG+을/JKO
확충할	확충/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.436.11.2
2010년에는 유림어린이집, 예솔어린이집, 군 관사 어린이집 등 3곳이 개원할 예정으로, 시립어린이집은 총 22곳으로 늘어난다.

2010년에는	2010/SN+년/NNB+에/JKB+는/JX
유림어린이집,	유림어린이집/NNP+,/SP
