# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.222
metadata : {}


# id : NWRW1800000022.222.1.1
佛 대통령, 161년 만에 의회 연설;나폴레옹 3세 이후 국가원수론 처음… 야당 "제왕적 이미지 강화" 참석 거부

佛	佛/SH
대통령,	대통령/NNG+,/SP
161년	161/SN+년/NNB
만에	만/NNB+에/JKB
의회	의회/NNG
연설;나폴레옹	연설/NNG+;/SW+나폴레옹/NNP
3세	3/SN+세/NNB
이후	이후/NNG
국가원수론	국가/NNG+원수/NNG+로/JKB+ㄴ/JX
처음…	처음/NNG+…/SE
야당	야당/NNG
"제왕적	"/SS+제왕/NNG+적/XSN
이미지	이미지/NNG
강화"	강화/NNG+"/SS
참석	참석/NNG
거부	거부/NNG


# id : NWRW1800000022.222.2.1
프랑스의 니콜라 사르코지(Sarkozy) 대통령이 22일 나폴레옹 3세 황제 이후 국가수반으로서는 161년 만에 처음으로 의회에서 국정연설을 했다.

프랑스의	프랑스/NNP+의/JKG
니콜라	니콜라/NNP
사르코지(Sarkozy)	사르코지/NNP+(/SS+Sarkozy/SL+)/SS
대통령이	대통령/NNG+이/JKS
22일	22/SN+일/NNB
나폴레옹	나폴레옹/NNP
3세	3/SN+세/NNB
황제	황제/NNG
이후	이후/NNG
국가수반으로서는	국가수반/NNG+으로서/JKB+는/JX
161년	161/SN+년/NNB
만에	만/NNB+에/JKB
처음으로	처음/NNG+으로/JKB
의회에서	의회/NNG+에서/JKB
국정연설을	국정/NNG+연설/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.222.3.1
프랑스 의회는 1870년 나폴레옹 3세의 왕정 체제가 무너지고 제3공화국 체제가 들어선 이후 국가 행정수반의 의회연설을 헌법으로 금지해왔다.

프랑스	프랑스/NNP
의회는	의회/NNG+는/JX
1870년	1870/SN+년/NNB
나폴레옹	나폴레옹/NNP
3세의	3/SN+세/NNB+의/JKG
왕정	왕정/NNG
체제가	체제/NNG+가/JKS
무너지고	무너지/VV+고/EC
제3공화국	제/XPN+3/SN+공화국/NNG
들어선	들어서/VV+ㄴ/ETM
이후	이후/NNG
국가	국가/NNG
행정수반의	행정/NNG+수반/NNG+의/JKG
의회연설을	의회/NNG+연설/NNG+을/JKO
헌법으로	헌법/NNG+으로/JKB
금지해왔다.	금지/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.222.3.2
대통령의 의회 의정 활동 간섭을 배제하고 의회의 독립성을 제고하기 위한 조치였다.

대통령의	대통령/NNG+의/JKG
의회	의회/NNG
의정	의정/NNG
활동	활동/NNG
간섭을	간섭/NNG+을/JKO
배제하고	배제/NNG+하/XSV+고/EC
의회의	의회/NNG+의/JKG
독립성을	독립/NNG+성/XSN+을/JKO
제고하기	제고/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
조치였다.	조치/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.222.4.1
사르코지 대통령의 이번 의회 연설은 프랑스가 지난해 7월 의회의 행정부 견제 활동을 강화한다는 명분으로 대통령의 의회 국정 보고 기능을 신설하고 정부의 입법 활동을 규제하는 내용의 헌법개정안을 국민투표로 통과시킨 데 따른 것이다.

사르코지	사르코지/NNP
대통령의	대통령/NNG+의/JKG
이번	이번/NNG
의회	의회/NNG
연설은	연설/NNG+은/JX
프랑스가	프랑스/NNP+가/JKS
지난해	지난해/NNG
7월	7/SN+월/NNB
의회의	의회/NNG+의/JKG
행정부	행정부/NNG
견제	견제/NNG
활동을	활동/NNG+을/JKO
강화한다는	강화/NNG+하/XSV+ㄴ다는/ETM
명분으로	명분/NNG+으로/JKB
국정	국정/NNG
보고	보고/NNG
기능을	기능/NNG+을/JKO
신설하고	신설/NNG+하/XSV+고/EC
정부의	정부/NNG+의/JKG
입법	입법/NNG
규제하는	규제/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
헌법개정안을	헌법/NNG+개정안/NNG+을/JKO
국민투표로	국민/NNG+투표/NNG+로/JKB
통과시킨	통과/NNG+시키/XSV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.222.4.2
사르코지 이전의 국가원수 국정 연설은 1848년 루이 나폴레옹(당시엔 대통령 신분)의 연설이 마지막이었다고 프랑스 민영TV TF1이 보도했다.

사르코지	사르코지/NNP
이전의	이전/NNG+의/JKG
국가원수	국가/NNG+원수/NNG
국정	국정/NNG
연설은	연설/NNG+은/JX
1848년	1848/SN+년/NNB
루이	루이/NNP
나폴레옹(당시엔	나폴레옹/NNP+(/SS+당시/NNG+에/JKB+ㄴ/JX
대통령	대통령/NNG
신분)의	신분/NNG+)/SS+의/JKG
연설이	연설/NNG+이/JKS
마지막이었다고	마지막/NNG+이/VCP+었/EP+다고/EC
