# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.39
metadata : {}


# id : NWRW1800000033.39.1.1
[Hidden Champion]진공증착용 코팅약품 개발-생산 ‘쎄코’

[Hidden	[/SS+Hidden/SL
Champion]진공증착용	Champion/SL+]/SS+진공/NNG+증착/NNG+용/XSN
코팅약품	코팅/NNG+약품/NNG
개발-생산	개발/NNG+-/SO+생산/NNG
‘쎄코’	‘/SS+쎄코/NNP+’/SS


# id : NWRW1800000033.39.2.1
“어떤 표면이든 보호하고 반짝이게 하라”

“어떤	“/SS+어떤/MMD
표면이든	표면/NNG+이/VCP+든/EC
보호하고	보호/NNG+하/XSV+고/EC
반짝이게	반짝이/VV+게/EC
하라”	하/VX+라/EF+”/SS


# id : NWRW1800000033.39.3.1
‘더욱 반짝이는 내일을 위하여(for brighter tomorrow).’

‘더욱	‘/SS+더욱/MAG
반짝이는	반짝이/VV+는/ETM
내일을	내일/NNG+을/JKO
위하여(for	위하/VV+아/EC+(/SS+for/SL
brighter	brighter/SL
tomorrow).’	tomorrow/SL+)/SS+./SF+’/SS


# id : NWRW1800000033.39.4.1
경기 성남시 중원구에 있는 ‘쎄코’ 제1 연구개발(R&D)센터의 입구에는 그들의 꿈이 새겨져 있다.

경기	경기/NNP
성남시	성남시/NNP
중원구에	중원구/NNP+에/JKB
있는	있/VA+는/ETM
‘쎄코’	‘/SS+쎄코/NNP+’/SS
제1	제/XPN+1/SN
연구개발(R&D)센터의	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS+센터/NNG+의/JKG
입구에는	입구/NNG+에/JKB+는/JX
그들의	그/NP+들/XSN+의/JKG
꿈이	꿈/NNG+이/JKS
새겨져	새기/VV+어/EC+지/VX+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.39.4.2
2004년 설립된 쎄코는 진공증착용 코팅약품을 개발·생산하는 업체다.

2004년	2004/SN+년/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
쎄코는	쎄코/NNP+는/JX
진공증착용	진공/NNG+증착/NNG+용/XSN
코팅약품을	코팅/NNG+약품/NNG+을/JKO
개발·생산하는	개발/NNG+·/SP+생산/NNG+하/XSV+는/ETM
업체다.	업체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.39.4.3
진공증착용 코팅은 기존 습식(濕式) 코팅에 비해 더 미세한 작업이 가능해 스마트폰이나 태블릿PC 같은 모바일기기 쪽에서 수요가 꾸준히 늘고 있다.

진공증착용	진공/NNG+증착/NNG+용/XSN
코팅은	코팅/NNG+은/JX
기존	기존/NNG
습식(濕式)	습식/NNG+(/SS+濕式/SH+)/SS
코팅에	코팅/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
더	더/MAG
미세한	미세/NNG+하/XSA+ㄴ/ETM
작업이	작업/NNG+이/JKS
가능해	가능/NNG+하/XSA+아/EC
스마트폰이나	스마트폰/NNG+이나/JC
태블릿PC	태블릿/NNG+PC/SL
같은	같/VA+은/ETM
모바일기기	모바일/NNG+기기/NNG
쪽에서	쪽/NNB+에서/JKB
수요가	수요/NNG+가/JKS
꾸준히	꾸준히/MAG
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.39.4.4
코팅이 얇을수록 제품 표면의 무늬와 광택을 그대로 살리기 쉽기 때문이다.

코팅이	코팅/NNG+이/JKS
얇을수록	얇/VA+을수록/EC
제품	제품/NNG
표면의	표면/NNG+의/JKG
무늬와	무늬/NNG+와/JC
광택을	광택/NNG+을/JKO
그대로	그대로/MAG
살리기	살리/VV+기/ETN
쉽기	쉽/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.39.5.1
쎄코 관계자는 “진공증착 방식을 쓰면 코팅 두께를 10∼20nm(나노미터·10억분의 1m)까지 줄일 수 있다”고 말했다.

쎄코	쎄코/NNP
관계자는	관계자/NNG+는/JX
“진공증착	“/SS+진공/NNG+증착/NNG
방식을	방식/NNG+을/JKO
쓰면	쓰/VV+면/EC
코팅	코팅/NNG
두께를	두께/NNG+를/JKO
10∼20nm(나노미터·10억분의	10/SN+∼/SO+20/SN+nm/SW+(/SS+나노미터/NNB+·/SP+10/SN+억/NR+분/XSN+의/JKG
1m)까지	1/SN+m/SW+)/SS+까지/JX
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.39.5.2
두께가 2만∼3만 nm인 습식 코팅과 비교하면 최대 3000분의 1로 얇아지는 셈이다.

두께가	두께/NNG+가/JKS
2만∼3만	2/SN+만/NR+∼/SO+3/SN+만/NR
nm인	nm/SW+이/VCP+ㄴ/ETM
습식	습식/NNG
코팅과	코팅/NNG+과/JKB
비교하면	비교/NNG+하/XSV+면/EC
최대	최대/NNG
3000분의	3000/SN+분/XSN+의/JKG
1로	1/SN+로/JKB
얇아지는	얇아지/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.39.6.1
○ 친구, 같은 꿈을 품다

○	○/SW
친구,	친구/NNG+,/SP
같은	같/VA+은/ETM
꿈을	꿈/NNG+을/JKO
품다	품/VV+다/EF


# id : NWRW1800000033.39.7.1
쎄코의 공동대표인 김현중 대표(46)와 김홍철 대표(46)는 같은 대학(단국대), 같은 학과(화학공학)에서 공부한 ‘절친’이다.

쎄코의	쎄코/NNP+의/JKG
공동대표인	공동/NNG+대표/NNG+이/VCP+ㄴ/ETM
김현중	김현중/NNP
대표(46)와	대표/NNG+(/SS+46/SN+)/SS+와/JC
김홍철	김홍철/NNP
대표(46)는	대표/NNG+(/SS+46/SN+)/SS+는/JX
