# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.250
metadata : {}


# id : NWRW1800000033.250.1.1
태극마크 제공, 출전수당 보장, 브라질 동행… ‘수비 급구’

태극마크	태극/NNG+마크/NNG
제공,	제공/NNG+,/SP
출전수당	출전/NNG+수당/NNG
보장,	보장/NNG+,/SP
브라질	브라질/NNP
동행…	동행/NNG+…/SE
‘수비	‘/SS+수비/NNG
급구’	급구/NNG+’/SS


# id : NWRW1800000033.250.2.1
최강희 감독 14일 호주전서 ‘채용 테스트’

최강희	최강희/NNP
감독	감독/NNG
14일	14/SN+일/NNB
호주전서	호주전/NNG+서/JKB
‘채용	‘/SS+채용/NNG
테스트’	테스트/NNG+’/SS


# id : NWRW1800000033.250.3.1
“젊은 수비수를 찾아야 한다.”

“젊은	“/SS+젊/VA+은/ETM
수비수를	수비수/NNG+를/JKO
찾아야	찾/VV+아야/EC
한다.”	하/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000033.250.4.1
최강희 한국 축구대표팀 감독은 14일 오후 7시 경기 화성종합경기타운에서 열리는 호주와의 평가전 명단을 발표한 5일부터 “수비라인을 강화해야 한다”고 누누이 강조하고 있다.

최강희	최강희/NNP
한국	한국/NNP
축구대표팀	축구/NNG+대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
14일	14/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
경기	경기/NNP
화성종합경기타운에서	화성종합경기타운/NNP+에서/JKB
열리는	열리/VV+는/ETM
호주와의	호주/NNP+와/JKB+의/JKG
평가전	평가전/NNG
명단을	명단/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
5일부터	5/SN+일/NNB+부터/JX
“수비라인을	“/SS+수비/NNG+라인/NNG+을/JKO
강화해야	강화/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
누누이	누누이/MAG
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.250.4.2
그동안 대표팀 중앙 수비의 핵이었던 노장 곽태휘(31·울산)와 이정수(32·알 사드)만 믿다가는 낭패를 당할 수 있다는 판단 때문이다.

그동안	그동안/NNG
대표팀	대표/NNG+팀/NNG
중앙	중앙/NNG
수비의	수비/NNG+의/JKG
핵이었던	핵/NNG+이/VCP+었/EP+던/ETM
노장	노장/NNG
곽태휘(31·울산)와	곽태휘/NNP+(/SS+31/SN+·/SP+울산/NNP+)/SS+와/JC
이정수(32·알	이정수/NNP+(/SS+32/SN+·/SP+알/NNP
사드)만	사드/NNP+)/SS+만/JX
믿다가는	믿/VV+다가/EC+는/JX
낭패를	낭패/NNG+를/JKO
당할	당하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
판단	판단/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.250.5.1
최 감독은 지난달 이란과의 2014년 브라질 월드컵 아시아지역 최종 예선 4차전 때부터 이정수를 부르지 않았고 이번엔 곽태휘마저 뽑지 않았다.

최	최/NNP
감독은	감독/NNG+은/JX
지난달	지난달/NNG
이란과의	이란/NNP+과/JKB+의/JKG
2014년	2014/SN+년/NNB
브라질	브라질/NNP
월드컵	월드컵/NNG
아시아지역	아시아지역/NNP
최종	최종/NNG
예선	예선/NNG
4차전	4/SN+차전/NNB
때부터	때/NNG+부터/JX
이정수를	이정수/NNP+를/JKO
부르지	부르/VV+지/EC
않았고	않/VX+았/EP+고/EC
이번엔	이번/NNG+에/JKB+ㄴ/JX
곽태휘마저	곽태휘/NNP+마저/JX
뽑지	뽑/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.250.5.2
새 얼굴을 찾겠다는 뜻이 담겨 있다.

새	새/MMA
얼굴을	얼굴/NNG+을/JKO
찾겠다는	찾/VV+겠/EP+다는/ETM
