# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.418
metadata : {}


# id : NWRW1800000026.418.1.1
[부산·경남] 경남교육청 독서강연회

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
경남교육청	경남교육청/NNP
독서강연회	독서/NNG+강연회/NNG


# id : NWRW1800000026.418.2.1
경남도교육청이 저자 초청 독서강연회를 마련했다.

경남도교육청이	경남도교육청/NNP+이/JKS
저자	저자/NNG
초청	초청/NNG
독서강연회를	독서/NNG+강연회/NNG+를/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.418.2.2
경남을 4개 권역으로 나눠 진행하는 독서강연회는 20일 창신대학 콘서트홀(창원권)에서의 강연회를 시작으로, 21일 가야대 제1세미나실(김해권), 22일 진주교대 대강당(진주권), 27일 통영시민문화회관 소강당(통영권)에서 오후 2시에 열린다.

경남을	경남/NNP+을/JKO
4개	4/SN+개/NNB
권역으로	권역/NNG+으로/JKB
나눠	나누/VV+어/EC
진행하는	진행/NNG+하/XSV+는/ETM
독서강연회는	독서/NNG+강연회/NNG+는/JX
20일	20/SN+일/NNB
창신대학	창신대학/NNP
콘서트홀(창원권)에서의	콘서트홀/NNG+(/SS+창원/NNP+권/XSN+)/SS+에서/JKB+의/JKG
강연회를	강연회/NNG+를/JKO
시작으로,	시작/NNG+으로/JKB+,/SP
21일	21/SN+일/NNB
가야대	가야대/NNP
제1세미나실(김해권),	제/XPN+1/SN+세미나실/NNG+(/SS+김해/NNP+권/XSN+)/SS+,/SP
22일	22/SN+일/NNB
진주교대	진주교대/NNP
대강당(진주권),	대/XPN+강당/NNG+(/SS+진주/NNP+권/XSN+)/SS+,/SP
27일	27/SN+일/NNB
통영시민문화회관	통영시민문화회관/NNP
소강당(통영권)에서	소/XPN+강당/NNG+(/SS+통영/NNP+권/XSN+)/SS+에서/JKB
오후	오후/NNG
2시에	2/SN+시/NNB+에/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.418.2.3
강사는 조선일보에 '조용헌 살롱'을 연재하고 있으며 '동양학 강의', '조용헌의 명문가' 저자인 조용헌 원광대 동양학대학원 초빙교수가 맡는다.

강사는	강사/NNG+는/JX
조선일보에	조선일보/NNP+에/JKB
'조용헌	'/SS+조용헌/NNP
살롱'을	살롱/NNG+'/SS+을/JKO
연재하고	연재/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
'동양학	'/SS+동양학/NNG
강의',	강의/NNG+'/SS+,/SP
'조용헌의	'/SS+조용헌/NNP+의/JKG
명문가'	명문가/NNG+'/SS
저자인	저자/NNG+이/VCP+ㄴ/ETM
조용헌	조용헌/NNP
원광대	원광대/NNP
동양학대학원	동양학/NNG+대학원/NNG
초빙교수가	초빙/NNG+교수/NNG+가/JKS
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000026.418.2.4
2500여명을 대상으로 한 독서강연회에는 도민 누구나 참석할 수 있다.

2500여명을	2500/SN+여/XSN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
독서강연회에는	독서/NNG+강연회/NNG+에/JKB+는/JX
도민	도민/NNG
누구나	누구/NP+나/JX
참석할	참석/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


