# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.289
metadata : {}


# id : NWRW1800000033.289.1.1
[오늘과 내일/정성희]일본, 원전 포기의 이상과 현실

[오늘과	[/SS+오늘/NNG+과/JC
내일/정성희]일본,	내일/NNG+//SP+정성희/NNP+]/SS+일본/NNP+,/SP
원전	원전/NNG
포기의	포기/NNG+의/JKG
이상과	이상/NNG+과/JC
현실	현실/NNG


# id : NWRW1800000033.289.2.1
2030년대에는 원전에서 벗어나겠다는 일본의 원전 제로 선언은 세계의 관심을 끌었다.

2030년대에는	2030/SN+년대/NNB+에/JKB+는/JX
원전에서	원전/NNG+에서/JKB
벗어나겠다는	벗어나/VV+겠/EP+다는/ETM
일본의	일본/NNP+의/JKG
원전	원전/NNG
제로	제로/NNG
선언은	선언/NNG+은/JX
세계의	세계/NNG+의/JKG
관심을	관심/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.289.2.2
일본 정부는 14일 ‘하루빨리 원전에 의존하지 않는 사회 실현’을 목표로 2030년대에 원자력에서 벗어나겠다는 혁신적 에너지 환경전략을 발표했다.

일본	일본/NNP
정부는	정부/NNG+는/JX
14일	14/SN+일/NNB
‘하루빨리	‘/SS+하루빨리/MAG
원전에	원전/NNG+에/JKB
의존하지	의존/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
사회	사회/NNG
실현’을	실현/NNG+’/SS+을/JKO
목표로	목표/NNG+로/JKB
2030년대에	2030/SN+년대/NNB+에/JKB
원자력에서	원자력/NNG+에서/JKB
벗어나겠다는	벗어나/VV+겠/EP+다는/ETM
혁신적	혁신/NNG+적/XSN
에너지	에너지/NNG
환경전략을	환경/NNG+전략/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.289.2.3
그 방법은 신규 원전 건설을 금지하고 설계수명 40년을 넘으면 원전을 멈추는 ‘40년 폐로(閉爐)’ 원칙을 엄격히 적용하는 것이었다.

그	그/MMD
방법은	방법/NNG+은/JX
신규	신규/NNG
원전	원전/NNG
건설을	건설/NNG+을/JKO
금지하고	금지/NNG+하/XSV+고/EC
설계수명	설계/NNG+수명/NNG
40년을	40/SN+년/NNB+을/JKO
넘으면	넘/VV+으면/EC
원전을	원전/NNG+을/JKO
멈추는	멈추/VV+는/ETM
‘40년	‘/SS+40/SN+년/NNB
