# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.345
metadata : {}


# id : NWRW1800000056.345.1.1
“문형표가 장관인지 안종범이 장관인지”

“문형표가	“/SS+문형표/NNP+가/JKS
장관인지	장관/NNG+이/VCP+ㄴ지/EF
안종범이	안종범/NNP+이/JKS
장관인지”	장관/NNG+이/VCP+ㄴ지/EF+”/SS


# id : NWRW1800000056.345.2.1
전 복지부 관료 증언

전	전/MMD
복지부	복지부/NNG
관료	관료/NNG
증언	증언/NNG


# id : NWRW1800000056.345.3.1
박 전 대통령의 지시가 안종범 통해 문 전 장관에게 전달 의심

박	박/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
지시가	지시/NNG+가/JKS
안종범	안종범/NNP
통해	통하/VV+아/EC
문	문/NNP
장관에게	장관/NNG+에게/JKB
전달	전달/NNG
의심	의심/NNG


# id : NWRW1800000056.345.4.1
이재용 삼성 부회장의 경영권 승계에 유리하도록 삼성물산과 제일모직의 합병 과정에 개입한 혐의로 구속기소된 문형표(61) 전 보건복지부 장관이 안종범 전 청와대 정책조정수석의 지시를 받는다고 복지부 직원들이 판단했다는 취지의 증언이 나왔다.

이재용	이재용/NNP
삼성	삼성/NNP
부회장의	부회장/NNG+의/JKG
경영권	경영/NNG+권/XSN
승계에	승계/NNG+에/JKB
유리하도록	유리/NNG+하/XSA+도록/EC
삼성물산과	삼성물산/NNP+과/JC
제일모직의	제일모직/NNP+의/JKG
합병	합병/NNG
과정에	과정/NNG+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
구속기소된	구속/NNG+기소/NNG+되/XSV+ㄴ/ETM
문형표(61)	문형표/NNP+(/SS+61/SN+)/SS
전	전/MMD
보건복지부	보건/NNG+복지부/NNG
장관이	장관/NNG+이/JKS
안종범	안종범/NNP
청와대	청와대/NNP
정책조정수석의	정책/NNG+조정/NNG+수석/NNG+의/JKG
지시를	지시/NNG+를/JKO
받는다고	받/VV+는다고/EC
복지부	복지부/NNG
직원들이	직원/NNG+들/XSN+이/JKS
판단했다는	판단/NNG+하/XSV+았/EP+다는/ETM
취지의	취지/NNG+의/JKG
증언이	증언/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.345.5.1
22일 서울중앙지법 형사21부(재판장 조의연) 심리로 열린 문 전 장관의 공판에 증인으로 출석한 이태한 전 복지부 인구정책실장은, “복지부 공무원 사이에 ‘문형표 장관은 안종범 청와대 수석과 하루라도 통화를 안 하면 입에 가시가 돋는 것 아니냐’, ‘안종범이 장관인지 문형표가 장관인지 모르겠다’는 말이 돌았다고 하는데, 맞는가”라는 특검의 질문에 “그런 말이 돌았었다”고 답했다.

22일	22/SN+일/NNB
서울중앙지법	서울중앙지법/NNP
형사21부(재판장	형사/NNG+21/SN+부/NNG+(/SS+재판장/NNG
조의연)	조의연/NNP+)/SS
심리로	심리/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
문	문/NNP
전	전/MMD
장관의	장관/NNG+의/JKG
공판에	공판/NNG+에/JKB
증인으로	증인/NNG+으로/JKB
출석한	출석/NNG+하/XSV+ㄴ/ETM
이태한	이태한/NNP
복지부	복지부/NNG
인구정책실장은,	인구/NNG+정책실장/NNG+은/JX+,/SP
“복지부	“/SS+복지부/NNG
공무원	공무원/NNG
사이에	사이/NNG+에/JKB
‘문형표	‘/SS+문형표/NNP
장관은	장관/NNG+은/JX
안종범	안종범/NNP
청와대	청와대/NNP
수석과	수석/NNG+과/JKB
하루라도	하루/NNG+라도/JX
통화를	통화/NNG+를/JKO
안	안/MAG
하면	하/VV+면/EC
입에	입/NNG+에/JKB
가시가	가시/NNG+가/JKS
돋는	돋/VV+는/ETM
것	것/NNB
아니냐’,	아니/VCN+냐/EF+’/SS+,/SP
‘안종범이	‘/SS+안종범/NNP+이/JKS
장관인지	장관/NNG+이/VCP+ㄴ지/EF
문형표가	문형표/NNP+가/JKS
모르겠다’는	모르/VV+겠/EP+다/EF+’/SS+는/ETM
말이	말/NNG+이/JKS
돌았다고	돌/VV+았/EP+다고/EC
하는데,	하/VV+는데/EC+,/SP
맞는가”라는	맞/VV+는가/EF+”/SS+이/VCP+라는/ETM
특검의	특검/NNG+의/JKG
질문에	질문/NNG+에/JKB
“그런	“/SS+그런/MMD
돌았었다”고	돌/VV+았었/EP+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.345.5.2
그는 또 ‘문 장관이 업무를 독자적으로 결정하지 못하고 안 수석에게 물어서 결정한다’는 말도 들었다고 했다.

그는	그/NP+는/JX
또	또/MAG
‘문	‘/SS+문/NNP
장관이	장관/NNG+이/JKS
업무를	업무/NNG+를/JKO
독자적으로	독자/NNG+적/XSN+으로/JKB
결정하지	결정/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
안	안/NNP
수석에게	수석/NNG+에게/JKB
물어서	묻/VV+어서/EC
결정한다’는	결정/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
말도	말/NNG+도/JX
들었다고	듣/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.345.6.1
이 전 실장은 이날 문 전 장관이 장관직 사퇴 직전 국민연금공단 이사장직을 염두에 뒀다고도 증언했다.

이	이/NNP
전	전/MMD
실장은	실장/NNG+은/JX
이날	이날/NNG
문	문/NNP
장관이	장관/NNG+이/JKS
장관직	장관직/NNG
사퇴	사퇴/NNG
직전	직전/NNG
국민연금공단	국민연금공단/NNP
이사장직을	이사장/NNG+직/NNG+을/JKO
염두에	염두/NNG+에/JKB
뒀다고도	두/VV+었/EP+다고/EC+도/JX
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.345.6.2
이 전 실장은 “2015년 명예퇴직을 앞두고 장관실을 찾았는데 문 전 장관이 ‘나도 그만두게 될지 모르겠다.

이	이/NNP
전	전/MMD
실장은	실장/NNG+은/JX
“2015년	“/SS+2015/SN+년/NNB
명예퇴직을	명예퇴직/NNG+을/JKO
앞두고	앞두/VV+고/EC
장관실을	장관실/NNG+을/JKO
찾았는데	찾/VV+았/EP+는데/EC
문	문/NNP
장관이	장관/NNG+이/JKS
‘나도	‘/SS+나/NP+도/JX
그만두게	그만두/VV+게/EC
될지	되/VV+ㄹ지/EF
모르겠다.	모르/VV+겠/EP+다/EF+./SF


# id : NWRW1800000056.345.6.3
국민연금공단 이사장으로 갔으면 좋겠다.

국민연금공단	국민연금공단/NNP
이사장으로	이사장/NNG+으로/JKB
갔으면	가/VV+았/EP+으면/EC
좋겠다.	좋/VA+겠/EP+다/EF+./SF


# id : NWRW1800000056.345.6.4
공단 이사장이 장관보다 훨씬 좋은 자리’라고 말했다”고 했다.

공단	공단/NNG
이사장이	이사장/NNG+이/JKS
장관보다	장관/NNG+보다/JKB
훨씬	훨씬/MAG
좋은	좋/VA+은/ETM
자리’라고	자리/NNG+’/SS+라고/JKQ
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.345.6.5
문 전 장관은 메르스 질병관리 실패의 책임을 지고 2015년 8월 복지부 장관직에서 물러난 지 불과 4개월 만인 2015년 12월 국민연금공단 이사장으로 화려하게 복귀했다.

문	문/NNP
전	전/MMD
장관은	장관/NNG+은/JX
메르스	메르스/NNG
질병관리	질병/NNG+관리/NNG
실패의	실패/NNG+의/JKG
책임을	책임/NNG+을/JKO
지고	지/VV+고/EC
2015년	2015/SN+년/NNB
8월	8/SN+월/NNB
복지부	복지부/NNG
