# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.83
metadata : {}


# id : NWRW1800000044.83.1.1
끝내 타협 택한 공명당…‘집단적 자위권’ 통과 임박

끝내	끝내/MAG
타협	타협/NNG
택한	택하/VV+ㄴ/ETM
공명당…‘집단적	공명당/NNP+…/SE+‘/SS+집단/NNG+적/XSN
자위권’	자위/NNG+권/XSN+’/SS
통과	통과/NNG
임박	임박/NNG


# id : NWRW1800000044.83.2.1
[한겨레] 자민당 제시한 수정안 큰틀 합의

[한겨레]	[/SS+한겨레/NNP+]/SS
자민당	자민당/NNP
제시한	제시/NNG+하/XSV+ㄴ/ETM
수정안	수정안/NNG
큰틀	크/VA+ㄴ/ETM+틀/NNG
합의	합의/NNG


# id : NWRW1800000044.83.3.1
행사조건 강화에도 확대해석 여지

행사조건	행사/NNG+조건/NNG
강화에도	강화/NNG+에/JKB+도/JX
확대해석	확대/NNG+해석/NNG
여지	여지/NNB


# id : NWRW1800000044.83.4.1
아베, 새달초 각의결정 단행할듯

아베,	아베/NNP+,/SP
새달초	새달/NNG+초/NNB
각의결정	각의/NNG+결정/NNG
단행할듯	단행/NNG+하/XSV+ㄹ/ETM+듯/NNB


# id : NWRW1800000044.83.5.1
아베 신조 일본 총리가 추진하는 ‘집단적 자위권’ 행사에 신중한 태도를 보여온 공명당이 결국 자민당과 타협의 길을 택했다.

아베	아베/NNP
신조	신조/NNP
일본	일본/NNP
총리가	총리/NNG+가/JKS
추진하는	추진/NNG+하/XSV+는/ETM
‘집단적	‘/SS+집단/NNG+적/XSN
자위권’	자위/NNG+권/XSN+’/SS
행사에	행사/NNG+에/JKB
신중한	신중/NNG+하/XSA+ㄴ/ETM
태도를	태도/NNG+를/JKO
보여온	보이/VV+어/EC+오/VX+ㄴ/ETM
공명당이	공명당/NNP+이/JKS
결국	결국/MAG
자민당과	자민당/NNP+과/JKB
타협의	타협/NNG+의/JKG
길을	길/NNG+을/JKO
택했다.	택하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.83.6.1
자민당과 연립정부를 구성하고 있는 공명당은 24일 집단적 자위권 문제를 논의하기 위한 ‘안전보장법제의 정비에 관한 여당 협의회’에 참석해 자민당이 제시한 자위권 발동을 위한 ‘새로운 3원칙’ 수정안을 받아들이겠다는 뜻을 밝혔다고 <아사히신문>이 25일 보도했다.

자민당과	자민당/NNP+과/JKB
연립정부를	연립/NNG+정부/NNG+를/JKO
구성하고	구성/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
공명당은	공명당/NNP+은/JX
24일	24/SN+일/NNB
집단적	집단/NNG+적/XSN
자위권	자위/NNG+권/XSN
문제를	문제/NNG+를/JKO
논의하기	논의/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
‘안전보장법제의	‘/SS+안전/NNG+보장법/NNG+제의/NNG
정비에	정비/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
여당	여당/NNG
협의회’에	협의회/NNG+’/SS+에/JKB
참석해	참석/NNG+하/XSV+아/EC
자민당이	자민당/NNP+이/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
발동을	발동/NNG+을/JKO
‘새로운	‘/SS+새롭/VA+ㄴ/ETM
3원칙’	3/SN+원칙/NNG+’/SS
수정안을	수정안/NNG+을/JKO
받아들이겠다는	받아들이/VV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
밝혔다고	밝히/VV+었/EP+다고/EC
<아사히신문>이	</SS+아사히신문/NNP+>/SS+이/JKS
25일	25/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.83.6.2
이에 따라 조만간 이 문제를 둘러싼 양당 간의 공식 합의가 이뤄질 전망이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
조만간	조만간/MAG
이	이/MMD
