# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.321
metadata : {}


# id : NWRW1800000028.321.1.1
민주, 15년만에 ‘중도개혁’ 삭제

민주,	민주/NNP+,/SP
15년만에	15/SN+년/NNB+만/NNB+에/JKB
‘중도개혁’	‘/SS+중도/NNG+개혁/NNG+’/SS
삭제	삭제/NNG


# id : NWRW1800000028.321.2.1
민주당이 15년 만에 ‘중도개혁’ 꼬리표를 뗐다.

민주당이	민주당/NNP+이/JKS
15년	15/SN+년/NNB
만에	만/NNB+에/JKB
‘중도개혁’	‘/SS+중도/NNG+개혁/NNG+’/SS
꼬리표를	꼬리표/NNG+를/JKO
뗐다.	떼/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.321.2.2
민주당은 14일 의원총회에서 현재의 강령·정책에 있는 ‘중도개혁주의’를 삭제하고 진보적 정책을 강화하기로 의견을 모았다.

민주당은	민주당/NNP+은/JX
14일	14/SN+일/NNB
의원총회에서	의원/NNG+총회/NNG+에서/JKB
현재의	현재/NNG+의/JKG
강령·정책에	강령/NNG+·/SP+정책/NNG+에/JKB
있는	있/VA+는/ETM
‘중도개혁주의’를	‘/SS+중도/NNG+개혁주의/NNG+’/SS+를/JKO
삭제하고	삭제/NNG+하/XSV+고/EC
진보적	진보/NNG+적/XSN
정책을	정책/NNG+을/JKO
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.321.3.1
전당대회준비위원회 강령정책분과 소속 문학진 의원은 이날 의총에서 “현 강령의 ‘중도개혁주의’ 용어를 폐기하고 진보적 정책을 강조하는 방향으로 강령을 수정할 것”이라며 “시장을 보완하는 정부기능의 강화, 무상교육 현실화, 재정 확충, 국민의 정부와 참여 정부 계승 등을 명시할 것”이라고 밝혔다.

전당대회준비위원회	전당/NNG+대회/NNG+준비/NNG+위원회/NNG
강령정책분과	강령/NNG+정책/NNG+분과/NNG
소속	소속/NNG
문학진	문학진/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
의총에서	의총/NNG+에서/JKB
“현	“/SS+현/MMD
강령의	강령/NNG+의/JKG
‘중도개혁주의’	‘/SS+중도/NNG+개혁주의/NNG+’/SS
용어를	용어/NNG+를/JKO
폐기하고	폐기/NNG+하/XSV+고/EC
진보적	진보/NNG+적/XSN
정책을	정책/NNG+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
강령을	강령/NNG+을/JKO
수정할	수정/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“시장을	“/SS+시장/NNG+을/JKO
보완하는	보완/NNG+하/XSV+는/ETM
정부기능의	정부/NNG+기능/NNG+의/JKG
강화,	강화/NNG+,/SP
무상교육	무상/NNG+교육/NNG
현실화,	현실/NNG+화/XSN+,/SP
재정	재정/NNG
확충,	확충/NNG+,/SP
국민의	국민/NNG+의/JKG
정부와	정부/NNG+와/JC
참여	참여/NNG
정부	정부/NNG
계승	계승/NNG
등을	등/NNB+을/JKO
명시할	명시/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.321.4.1
2008년 전당대회에서 인준받은 현 강령·정책 ‘개념도’에는 민주당의 노선으로 ‘중도개혁주의’가 명시돼 있다.

2008년	2008/SN+년/NNB
전당대회에서	전당/NNG+대회/NNG+에서/JKB
인준받은	인준/NNG+받/XSV+은/ETM
현	현/MMD
강령·정책	강령/NNG+·/SP+정책/NNG
‘개념도’에는	‘/SS+개념도/NNG+’/SS+에/JKB+는/JX
민주당의	민주당/NNP+의/JKG
노선으로	노선/NNG+으로/JKB
‘중도개혁주의’가	‘/SS+중도/NNG+개혁주의/NNG+’/SS+가/JKS
명시돼	명시/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.321.4.2
민주당 역사에서 ‘중도개혁’은 당 상징물인 소나무의 뿌리만큼이나 깊다.

민주당	민주당/NNP
역사에서	역사/NNG+에서/JKB
‘중도개혁’은	‘/SS+중도/NNG+개혁/NNG+’/SS+은/JX
당	당/NNG
상징물인	상징물/NNG+이/VCP+ㄴ/ETM
소나무의	소나무/NNG+의/JKG
뿌리만큼이나	뿌리/NNG+만큼/JKB+이나/JX
깊다.	깊/VA+다/EF+./SF


