# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.181
metadata : {}


# id : NWRW1800000025.181.1.1
현대상선, 최첨단 부산신항터미널 개장

현대상선,	현대상선/NNP+,/SP
최첨단	최/XPN+첨단/NNG
부산신항터미널	부산신항터미널/NNP
개장	개장/NNG


# id : NWRW1800000025.181.2.1
현대상선 부산신항터미널이 22일 개장식을 갖고 본격 운영에 들어갔다.

현대상선	현대상선/NNP
부산신항터미널이	부산신항터미널/NNP+이/JKS
22일	22/SN+일/NNB
개장식을	개장식/NNG+을/JKO
갖고	갖/VV+고/EC
본격	본격/NNG
운영에	운영/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.181.2.2
이 터미널은 국토해양부와 현대상선 등이 ‘동북아 물류 허브 항만’을 지향하며 구축 중인 부산신항 1단계 사업의 핵심 시설 중 하나이며, 이날 완공에 따라 부산신항 1단계 주요 시설도 모두 개장하게 됐다.

이	이/MMD
터미널은	터미널/NNG+은/JX
국토해양부와	국토/NNG+해양부/NNG+와/JC
현대상선	현대상선/NNP
등이	등/NNB+이/JKS
‘동북아	‘/SS+동북아/NNP
물류	물류/NNG
허브	허브/NNG
항만’을	항만/NNG+’/SS+을/JKO
지향하며	지향/NNG+하/XSV+며/EC
구축	구축/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
부산신항	부산신항/NNP
1단계	1/SN+단계/NNG
사업의	사업/NNG+의/JKG
핵심	핵심/NNG
시설	시설/NNG
중	중/NNB
하나이며,	하나/NR+이/VCP+며/EC+,/SP
이날	이날/NNG
완공에	완공/NNG+에/JKB
따라	따르/VV+아/EC
주요	주요/NNG
시설도	시설/NNG+도/JX
모두	모두/MAG
개장하게	개장/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.181.3.1
부산신항터미널은 안벽 길이 1.15km, 총면적 55만 m²(약 16만7000평), 수심 17m로 1만 TEU급(1TEU는 길이 20피트 컨테이너 1개) 초대형 컨테이너선박 3척이 동시에 접안할 수 있는 규모다.

부산신항터미널은	부산신항터미널/NNP+은/JX
안벽	안벽/NNG
길이	길이/NNG
1.15km,	1/SN+./SP+15/SN+km/SW+,/SP
총면적	총면적/NNG
55만	55/SN+만/NR
m²(약	m²/SW+(/SS+약/MMA
16만7000평),	16/SN+만/NR+7000/SN+평/NNB+)/SS+,/SP
수심	수심/NNG
17m로	17/SN+m/SW+로/JKB
1만	1/SN+만/NR
TEU급(1TEU는	TEU/SW+급/NNG+(/SS+1/SN+TEU/SW+는/JX
20피트	20/SN+피트/NNB
컨테이너	컨테이너/NNG
1개)	1/SN+개/NNB+)/SS
초대형	초/XPN+대형/NNG
컨테이너선박	컨테이너/NNG+선박/NNG
3척이	3/SN+척/NNB+이/JKS
동시에	동시/NNG+에/JKB
접안할	접안/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
규모다.	규모/NNG+이/VCP+다/EF+./SF


