# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.79
metadata : {}


# id : NWRW1800000052.79.1.1
납치 아니었다?

납치	납치/NNG
아니었다?	아니/VCN+었/EP+다/EF+?/SF


# id : NWRW1800000052.79.2.1
실종 홍콩 서점 관계자들 5명

실종	실종/NNG
홍콩	홍콩/NNP
서점	서점/NNG
관계자들	관계자/NNG+들/XSN
5명	5/SN+명/NNB


# id : NWRW1800000052.79.3.1
잇따라 중국 TV 출연 납치설 부인

잇따라	잇따르/VV+아/EC
중국	중국/NNP
TV	TV/SL
출연	출연/NNG
납치설	납치설/NNG
부인	부인/NNG


# id : NWRW1800000052.79.4.1
무허가 도서 밀반입 혐의도 인정

무허가	무/XPN+허가/NNG
도서	도서/NNG
밀반입	밀반입/NNG
혐의도	혐의/NNG+도/JX
인정	인정/NNG


# id : NWRW1800000052.79.5.1
지난해 말 연락이 끊겼던 홍콩 서점 관계자들이 잇따라 방송에 나와 납치설을 부인하며 ‘비허가 도서’의 중국 내 판매 혐의를 인정하고 있다.

지난해	지난해/NNG
말	말/NNB
연락이	연락/NNG+이/JKS
끊겼던	끊기/VV+었/EP+던/ETM
홍콩	홍콩/NNP
서점	서점/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
잇따라	잇따르/VV+아/EC
방송에	방송/NNG+에/JKB
나와	나오/VV+아/EC
납치설을	납치설/NNG+을/JKO
부인하며	부인/NNG+하/XSV+며/EC
‘비허가	‘/SS+비/XPN+허가/NNG
도서’의	도서/NNG+’/SS+의/JKG
중국	중국/NNP
내	내/NNB
판매	판매/NNG
혐의를	혐의/NNG+를/JKO
인정하고	인정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.79.6.1
‘실종자’ 5명 가운데 1명으로 12월 말 홍콩에서 자취를 감췄던 코즈웨이베이 서점의 주주 리보는 29일 <봉황위성텔레비전>에 나와 “중국에 의해 납치됐다는 항간의 얘기는 사실이 아니다.

‘실종자’	‘/SS+실종자/NNG+’/SS
5명	5/SN+명/NNB
가운데	가운데/NNG
1명으로	1/SN+명/NNB+으로/JKB
12월	12/SN+월/NNB
말	말/NNB
홍콩에서	홍콩/NNP+에서/JKB
자취를	자취/NNG+를/JKO
감췄던	감추/VV+었/EP+던/ETM
코즈웨이베이	코즈웨이베이/NNP
서점의	서점/NNG+의/JKG
주주	주주/NNP
리보는	리보/NNP+는/JX
29일	29/SN+일/NNB
<봉황위성텔레비전>에	</SS+봉황위성텔레비전/NNP+>/SS+에/JKB
나와	나오/VV+아/EC
“중국에	“/SS+중국/NNP+에/JKB
의해	의하/VV+아/EC
납치됐다는	납치/NNG+되/XSV+었/EP+다는/ETM
항간의	항간/NNG+의/JKG
얘기는	얘기/NNG+는/JX
사실이	사실/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000052.79.6.2
구이민하이 사건과 관련한 조사의 증인으로 내 의지로 대륙(중국)에 온 것”이라고 말했다.

구이민하이	구이민하이/NNP
사건과	사건/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
조사의	조사/NNG+의/JKG
증인으로	증인/NNG+으로/JKB
내	나/NP+의/JKG
의지로	의지/NNG+로/JKB
대륙(중국)에	대륙/NNG+(/SS+중국/NNP+)/SS+에/JKB
온	오/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.79.6.3
구이민하이 등 나머지 4명은 하루 전 같은 방송에서 무허가 도서 밀반입 혐의를 인정하고, 이 때문에 중국에 구금돼 있다고 밝힌 바 있다.

구이민하이	구이민하이/NNP
등	등/NNB
나머지	나머지/NNG
