# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.55
metadata : {}


# id : NWRW1800000052.55.1.1
금융당국, 자살보험금 지급 거부땐 보험사 문닫는다 제재 예고

금융당국,	금융/NNG+당국/NNG+,/SP
자살보험금	자살/NNG+보험금/NNG
지급	지급/NNG
거부땐	거부/NNG+때/NNG+ㄴ/JX
보험사	보험사/NNG
문닫는다	문/NNG+닫/VV+는다/EF
제재	제재/NNG
예고	예고/NNG


# id : NWRW1800000052.55.2.1
가입 2년 지난 뒤 자살 땐 재해사망금 지급 약관

가입	가입/NNG
2년	2/SN+년/NNB
지난	지나/VV+ㄴ/ETM
뒤	뒤/NNG
자살	자살/NNG
땐	때/NNG+ㄴ/JX
재해사망금	재해/NNG+사망금/NNG
지급	지급/NNG
약관	약관/NNG


# id : NWRW1800000052.55.3.1
보험사 “약관 실수라 못 준다”…소비자 반발

보험사	보험사/NNG
“약관	“/SS+약관/NNG
실수라	실수/NNG+이/VCP+라/EC
못	못/MAG
준다”…소비자	주/VV+ㄴ다/EF+”/SS+…/SE+소비자/NNG
반발	반발/NNG


# id : NWRW1800000052.55.4.1
대법원 “약관대로 줘라…소멸시효 경과땐 예외” 판결

대법원	대/XPN+법원/NNG
“약관대로	“/SS+약관/NNG+대로/JX
줘라…소멸시효	주/VV+어라/EF+…/SE+소멸/NNG+시효/NNG
경과땐	경과/NNG+때/NNG+ㄴ/JX
예외”	예외/NNG+”/SS
판결	판결/NNG


# id : NWRW1800000052.55.5.1
금융당국은 “소멸시효 무관하게 전액지급” 요구

금융당국은	금융/NNG+당국/NNG+은/JX
“소멸시효	“/SS+소멸/NNG+시효/NNG
무관하게	무관하/VA+게/EC
전액지급”	전액/NNG+지급/NNG+”/SS
요구	요구/NNG


# id : NWRW1800000052.55.6.1
금융소비자 보호 취지…행정제재로 압박 나서

금융소비자	금융/NNG+소비자/NNG
보호	보호/NNG
취지…행정제재로	취지/NNG+…/SE+행정/NNG+제재/NNG+로/JKB
압박	압박/NNG
나서	나서/VV+어/EF


# id : NWRW1800000052.55.7.1
수천억 보험금 미지급 4개 보험사에 중징계 사전 통보

수천억	수천억/NR
보험금	보험금/NNG
미지급	미/XPN+지급/NNG
4개	4/SN+개/NNB
보험사에	보험사/NNG+에/JKB
중징계	중징계/NNG
사전	사전/NNG
통보	통보/NNG


# id : NWRW1800000052.55.8.1
금융당국이 소멸시효(2년)가 지난 자살보험금 수천억원을 지급하지 않은 삼성·한화·교보·알리안츠생명 등 4개 생명보험사에 대해 보험업 인허가 등록 취소와 최고경영자(CEO) 해임 권고 등을 포함한 중징계를 예고했다.

금융당국이	금융/NNG+당국/NNG+이/JKS
소멸시효(2년)가	소멸/NNG+시효/NNG+(/SS+2/SN+년/NNB+)/SS+가/JKS
지난	지나/VV+ㄴ/ETM
자살보험금	자살/NNG+보험금/NNG
수천억원을	수천억/NR+원/NNB+을/JKO
지급하지	지급/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
삼성·한화·교보·알리안츠생명	삼성/NNP+·/SP+한화/NNP+·/SP+교보/NNP+·/SP+알리안츠생명/NNP
등	등/NNB
4개	4/SN+개/NNB
생명보험사에	생명/NNG+보험사/NNG+에/JKB
대해	대하/VV+아/EC
보험업	보험업/NNG
인허가	인허가/NNG
등록	등록/NNG
취소와	취소/NNG+와/JC
최고경영자(CEO)	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS
해임	해임/NNG
권고	권고/NNG
등을	등/NNB+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
중징계를	중징계/NNG+를/JKO
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.55.8.2
이런 제재가 확정되면 해당 보험사들은 정상영업에 큰 타격을 입을 수밖에 없어, 업체들의 대응이 주목된다.

이런	이런/MMD
제재가	제재/NNG+가/JKS
확정되면	확정/NNG+되/XSV+면/EC
해당	해당/NNG
보험사들은	보험사/NNG+들/XSN+은/JX
정상영업에	정상/NNG+영업/NNG+에/JKB
큰	크/VA+ㄴ/ETM
타격을	타격/NNG+을/JKO
입을	입/VV+을/ETM
수밖에	수/NNB+밖에/JX
없어,	없/VA+어/EC+,/SP
업체들의	업체/NNG+들/XSN+의/JKG
대응이	대응/NNG+이/JKS
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.55.9.1
1일 금융당국과 보험업계의 말을 종합하면, 금융감독원은 11월28일 4개 생보사에 자살보험금 미지급과 관련한 예정 제재를 통보하고, 오는 8일까지 이에 대한 소명자료를 내라고 요구했다.

1일	1/SN+일/NNB
금융당국과	금융/NNG+당국/NNG+과/JC
보험업계의	보험업/NNG+계/XSN+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
금융감독원은	금융/NNG+감독원/NNG+은/JX
11월28일	11/SN+월/NNB+28/SN+일/NNB
4개	4/SN+개/NNB
생보사에	생보사/NNG+에/JKB
자살보험금	자살/NNG+보험금/NNG
미지급과	미/XPN+지급/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
예정	예정/NNG
제재를	제재/NNG+를/JKO
통보하고,	통보/NNG+하/XSV+고/EC+,/SP
오는	오/VV+는/ETM
8일까지	8/SN+일/NNB+까지/JX
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
소명자료를	소명/NNG+자료/NNG+를/JKO
내라고	내/VV+라고/EC
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.55.9.2
금감원은 제재 수위를 통보하면서 단순히 과징금 부과뿐 아니라 영업 일부 정지는 물론 실질적으로 보험업 인허가 취소를 뜻하는 영업권 반납까지 포함시켰다.

금감원은	금감원/NNG+은/JX
제재	제재/NNG
수위를	수위/NNG+를/JKO
통보하면서	통보/NNG+하/XSV+면서/EC
단순히	단순히/MAG
과징금	과징금/NNG
부과뿐	부과/NNG+뿐/JX
아니라	아니/VCN+라/EC
영업	영업/NNG
일부	일부/NNG
정지는	정지/NNG+는/JX
물론	물론/MAG
실질적으로	실질/NNG+적/XSN+으로/JKB
보험업	보험업/NNG
인허가	인허가/NNG
취소를	취소/NNG+를/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
영업권	영업/NNG+권/XSN
반납까지	반납/NNG+까지/JX
포함시켰다.	포함/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.55.9.3
또 보험사 대표에 대해선 문책 경고부터 해임권고 조처까지 할 수 있다고 통보했다.

또	또/MAG
보험사	보험사/NNG
대표에	대표/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
문책	문책/NNG
경고부터	경고/NNG+부터/JX
해임권고	해임/NNG+권고/NNG
조처까지	조처/NNG+까지/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
