# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.351
metadata : {}


# id : NWRW1800000037.351.1.1
보폭 넓히는 安 보폭 줄이는 文

보폭	보폭/NNG
넓히는	넓히/VV+는/ETM
安	安/SH
줄이는	줄이/VV+는/ETM
文	文/SH


# id : NWRW1800000037.351.2.1
안철수 10월 재보선 외연 확대 가속… 주말엔 정치적 거점 부산-광주 방문 문재인 노출 자제한 채 나홀로 행보… 全大불참 5·18묘역도 미리 참배

안철수	안철수/NNP
10월	10/SN+월/NNB
재보선	재보선/NNG
외연	외연/NNG
확대	확대/NNG
가속…	가속/NNG+…/SE
주말엔	주말/NNG+에/JKB+ㄴ/JX
정치적	정치/NNG+적/XSN
거점	거점/NNG
부산-광주	부산/NNP+-/SO+광주/NNP
방문	방문/NNG
문재인	문재인/NNP
노출	노출/NNG
자제한	자제/NNG+하/XSV+ㄴ/ETM
채	채/NNB
나홀로	나/NNG+홀로/MAG
행보…	행보/NNG+…/SE
全大불참	全大/SH+불참/NNG
5·18묘역도	5/SN+·/SP+18/SN+묘역/NNG+도/JX
미리	미리/MAG
참배	참배/NNG


# id : NWRW1800000037.351.3.1
10월 재·보궐선거에서 독자세력화 의사를 밝힌 무소속 안철수 의원이 광폭(廣幅) 행보를 하고 있다.

10월	10/SN+월/NNB
재·보궐선거에서	재/XPN+·/SP+보궐/NNG+선거/NNG+에서/JKB
독자세력화	독자/NNG+세력/NNG+화/XSN
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
무소속	무/XPN+소속/NNG
안철수	안철수/NNP
의원이	의원/NNG+이/JKS
광폭(廣幅)	광폭/NNG+(/SS+廣幅/SH+)/SS
행보를	행보/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.351.4.1
안 의원은 17일 부산 범천동의 본가(本家)를 방문한 뒤 지난해 대선 때 사조직이었던 ‘내일포럼’ 부산지역 인사들과 간담회를 한다.

안	안/NNP
의원은	의원/NNG+은/JX
17일	17/SN+일/NNB
부산	부산/NNP
범천동의	범천동/NNP+의/JKG
본가(本家)를	본가/NNG+(/SS+本家/SH+)/SS+를/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
지난해	지난해/NNG
대선	대선/NNG
때	때/NNG
사조직이었던	사조직/NNG+이/VCP+었/EP+던/ETM
‘내일포럼’	‘/SS+내일/NNG+포럼/NNG+’/SS
부산지역	부산지역/NNP
인사들과	인사/NNG+들/XSN+과/JKB
간담회를	간담회/NNG+를/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.351.4.2
이어 경남 김해시 봉하마을로 이동해 고(故) 노무현 전 대통령 묘역을 참배한다.

이어	이어/MAG
경남	경남/NNP
김해시	김해시/NNP
봉하마을로	봉하마을/NNP+로/JKB
이동해	이동/NNG+하/XSV+아/EC
고(故)	고/MMA+(/SS+故/SH+)/SS
노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
묘역을	묘역/NNG+을/JKO
참배한다.	참배/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.351.4.3
봉하마을 방문은 지난해 9월 대선 출마 선언 직후에 이어 두 번째다.

봉하마을	봉하마을/NNP
방문은	방문/NNG+은/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
대선	대선/NNG
출마	출마/NNG
선언	선언/NNG
직후에	직후/NNG+에/JKB
이어	잇/VV+어/EC
두	두/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000037.351.4.4
18일에는 5·18민주화운동 기념식과 광주지역 포럼 간담회에 참석한다.

18일에는	18/SN+일/NNB+에/JKB+는/JX
5·18민주화운동	5/SN+·/SP+18/SN+민주/NNG+화/XSN+운동/NNG
기념식과	기념식/NNG+과/JC
광주지역	광주/NNP+지역/NNG
포럼	포럼/NNG
간담회에	간담회/NNG+에/JKB
