# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.9
metadata : {}


# id : NWRW1800000049.9.1.1
[세계로 뛰는 금융]신한금융투자, 증권사 지분 100% 인수베트남 투자시장 선도

[세계로	[/SS+세계/NNG+로/JKB
뛰는	뛰/VV+는/ETM
금융]신한금융투자,	금융/NNG+]/SS+신한금융투자/NNP+,/SP
증권사	증권사/NNG
지분	지분/NNG
100%	100/SN+%/SW
인수베트남	인수/NNG+베트남/NNP
투자시장	투자/NNG+시장/NNG
선도	선도/NNG


# id : NWRW1800000049.9.2.1
2011년 이후 코스피는 1,850에서 2,100 사이의 박스권에 갇혀 있다.

2011년	2011/SN+년/NNB
이후	이후/NNG
코스피는	코스피/NNP+는/JX
1,850에서	1/SN+,/SP+850/SN+에서/JKB
2,100	2/SN+,/SP+100/SN
사이의	사이/NNG+의/JKG
박스권에	박스/NNG+권/XSN+에/JKB
갇혀	갇히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.9.2.2
주식시장의 활력이 떨어지고 저금리 기조가 이어지면서 한국 시장에 투자하는 금융상품들이 고객을 만족시킬 만한 이익을 내기 어렵게 됐다.

주식시장의	주식/NNG+시장/NNG+의/JKG
활력이	활력/NNG+이/JKS
떨어지고	떨어지/VV+고/EC
저금리	저/XPN+금리/NNG
기조가	기조/NNG+가/JKS
이어지면서	이어지/VV+면서/EC
한국	한국/NNP
시장에	시장/NNG+에/JKB
투자하는	투자/NNG+하/XSV+는/ETM
금융상품들이	금융/NNG+상품/NNG+들/XSN+이/JKS
고객을	고객/NNG+을/JKO
만족시킬	만족/NNG+시키/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
이익을	이익/NNG+을/JKO
내기	내/VV+기/ETN
어렵게	어렵/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.9.2.3
국내 금융회사들은 투자이익을 늘리기 위해 글로벌 시장으로 눈을 돌리고 있다.

국내	국내/NNG
금융회사들은	금융/NNG+회사/NNG+들/XSN+은/JX
투자이익을	투자/NNG+이익/NNG+을/JKO
늘리기	늘리/VV+기/ETN
위해	위하/VV+아/EC
글로벌	글로벌/NNG
시장으로	시장/NNG+으로/JKB
눈을	눈/NNG+을/JKO
돌리고	돌리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.9.3.1
신한금융투자가 주목하는 글로벌 시장은 ‘베트남‘이다.

신한금융투자가	신한금융투자/NNP+가/JKS
주목하는	주목/NNG+하/XSV+는/ETM
글로벌	글로벌/NNG
시장은	시장/NNG+은/JX
‘베트남‘이다.	‘/SS+베트남/NNP+‘/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.9.3.2
성장성 높은 아시아를 중심으로 글로벌 시장에서 새로운 성장동력을 확보하기 위한 거점으로 베트남을 선택한 것이다.

성장성	성장/NNG+성/XSN
높은	높/VA+은/ETM
아시아를	아시아/NNP+를/JKO
중심으로	중심/NNG+으로/JKB
글로벌	글로벌/NNG
