# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.282
metadata : {}


# id : NWRW1800000036.282.1.1
노동자 떠난 자리, 쓸쓸한 ‘성탄절 눈물’

노동자	노동자/NNG
떠난	떠나/VV+ㄴ/ETM
자리,	자리/NNG+,/SP
쓸쓸한	쓸쓸하/VA+ㄴ/ETM
‘성탄절	‘/SS+성탄절/NNG
눈물’	눈물/NNG+’/SS


# id : NWRW1800000036.282.2.1
[한겨레] 한진중 노조간부 최강서씨 빈소

[한겨레]	[/SS+한겨레/NNP+]/SS
한진중	한진중/NNP
노조간부	노조/NNG+간부/NNG
최강서씨	최강서/NNP+씨/NNB
빈소	빈소/NNG


# id : NWRW1800000036.282.3.1
아침부터 동료들 나와 영정 지켜

아침부터	아침/NNG+부터/JX
동료들	동료/NNG+들/XSN
나와	나오/VV+아/EC
영정	영정/NNG
지켜	지키/VV+어/EF


# id : NWRW1800000036.282.4.1
회사쪽은 끝내 교섭 요청 없고

회사쪽은	회사/NNG+쪽/NNB+은/JX
끝내	끝내/MAG
교섭	교섭/NNG
요청	요청/NNG
없고	없/VA+고/EC


# id : NWRW1800000036.282.5.1
경찰 출석요구서 소문만 돌아

경찰	경찰/NNG
출석요구서	출석/NNG+요구서/NNG
소문만	소문/NNG+만/JX
돌아	돌/VV+아/EF


# id : NWRW1800000036.282.6.1
‘민주노조 사수’ 등의 유서를 남기고 스스로 목숨을 끊은 한진중공업 노조 간부 고 최강서(35)씨의 빈소가 차려진 부산 영도구 구민장례식장은 25일 성탄절인데도 이른 아침부터 동료들이 나와 영정을 지키며 고인의 넋을 달랬다.

‘민주노조	‘/SS+민주노조/NNP
사수’	사수/NNG+’/SS
등의	등/NNB+의/JKG
유서를	유서/NNG+를/JKO
남기고	남기/VV+고/EC
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊은	끊/VV+은/ETM
한진중공업	한진중공업/NNP
노조	노조/NNG
간부	간부/NNG
고	고/MMA
최강서(35)씨의	최강서/NNP+(/SS+35/SN+)/SS+씨/NNB+의/JKG
빈소가	빈소/NNG+가/JKS
차려진	차리/VV+어/EC+지/VX+ㄴ/ETM
부산	부산/NNP
영도구	영도구/NNP
구민장례식장은	구민장례식장/NNP+은/JX
25일	25/SN+일/NNB
