# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.193
metadata : {}


# id : NWRW1800000025.193.1.1
中 ‘안보리 천안함 입장발표’ 동의

中	中/SH
‘안보리	‘/SS+안보리/NNG
천안함	천안함/NNP
입장발표’	입장/NNG+발표/NNG+’/SS
동의	동의/NNG


# id : NWRW1800000025.193.2.1
중국이 천안함 침몰사건과 관련해 유엔 안전보장이사회의 입장 발표에 동의한 것으로 알려졌다.

중국이	중국/NNP+이/JKS
천안함	천안함/NNP
침몰사건과	침몰/NNG+사건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
유엔	유엔/NNP
안전보장이사회의	안전/NNG+보장/NNG+이사회/NNG+의/JKG
입장	입장/NNG
발표에	발표/NNG+에/JKB
동의한	동의/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.193.3.1
미국을 방문한 정부 고위 당국자는 지난달 30일(현지 시간) 유엔 안보리의 천안함 논의에 대해 “그동안 협의를 통해 안보리가 채택할 문안에 대한 의견 접근이 이뤄지고 있다”며 “마지막으로 갈수록 큰 쟁점이 남아 있어 더 협의해 봐야 한다”고 밝혔다.

미국을	미국/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
정부	정부/NNG
고위	고위/NNG
당국자는	당국자/NNG+는/JX
지난달	지난달/NNG
30일(현지	30/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
유엔	유엔/NNP
안보리의	안보리/NNG+의/JKG
천안함	천안함/NNP
논의에	논의/NNG+에/JKB
대해	대하/VV+아/EC
“그동안	“/SS+그동안/NNG
협의를	협의/NNG+를/JKO
통해	통하/VV+아/EC
안보리가	안보리/NNG+가/JKS
채택할	채택/NNG+하/XSV+ㄹ/ETM
문안에	문안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견	의견/NNG
접근이	접근/NNG+이/JKS
이뤄지고	이뤄지/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“마지막으로	“/SS+마지막/NNG+으로/JKB
갈수록	가/VV+ㄹ수록/EC
큰	크/VA+ㄴ/ETM
쟁점이	쟁점/NNG+이/JKS
남아	남/VV+아/EC
있어	있/VX+어/EC
더	더/MAG
협의해	협의/NNG+하/XSV+아/EC
봐야	보/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.193.3.2
이 당국자는 중국 입장과 관련해 “중국도 유엔 안보리에서 천안함 침몰사건에 대해 입장을 내야 한다는 데 동의하고 있다”며 “현재 문안을 협의하고 있다”고 말했다.

이	이/MMD
당국자는	당국자/NNG+는/JX
중국	중국/NNP
입장과	입장/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“중국도	“/SS+중국/NNP+도/JX
유엔	유엔/NNP
안보리에서	안보리/NNG+에서/JKB
천안함	천안함/NNP
침몰사건에	침몰/NNG+사건/NNG+에/JKB
대해	대하/VV+아/EC
입장을	입장/NNG+을/JKO
내야	내/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
데	데/NNB
동의하고	동의/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“현재	“/SS+현재/MAG
문안을	문안/NNG+을/JKO
협의하고	협의/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.193.4.1
또 그는 “캐나다 주요 8개국(G8) 정상회의에서 채택된 성명 문안이 참고가 될 것이며 이 내용을 바탕으로 안보리 협의가 진행될 것”이라고 설명했다.

또	또/MAG
그는	그/NP+는/JX
“캐나다	“/SS+캐나다/NNP
주요	주요/NNG
8개국(G8)	8/SN+개국/NNB+(/SS+G/SL+8/SN+)/SS
정상회의에서	정상/NNG+회의/NNG+에서/JKB
채택된	채택/NNG+되/XSV+ㄴ/ETM
성명	성명/NNG
문안이	문안/NNG+이/JKS
참고가	참고/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이며	것/NNB+이/VCP+며/EC
이	이/MMD
내용을	내용/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
안보리	안보리/NNG
협의가	협의/NNG+가/JKS
진행될	진행/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.193.4.2
이 당국자는 “포괄적으로 보면 G8 성명 문구가 좋은 참고가 되겠지만 성명 채택의 구성이 다르고 논의 주체도 달라 문구가 똑같이 될 것으로 보기는 어렵다”며 “안보리 문구는 G8 성명보다 좀 더 정교할 수 있으며 이 때문에 최종 결과물을 볼 때도 세심하게 봐야 한다”고 말했다.

이	이/MMD
당국자는	당국자/NNG+는/JX
“포괄적으로	“/SS+포괄/NNG+적/XSN+으로/JKB
보면	보/VV+면/EC
G8	G/SL+8/SN
성명	성명/NNG
문구가	문구/NNG+가/JKS
좋은	좋/VA+은/ETM
참고가	참고/NNG+가/JKC
되겠지만	되/VV+겠/EP+지만/EC
채택의	채택/NNG+의/JKG
구성이	구성/NNG+이/JKS
다르고	다르/VA+고/EC
논의	논의/NNG
주체도	주체/NNG+도/JX
달라	다르/VA+아/EC
똑같이	똑같이/MAG
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보기는	보/VV+기/ETN+는/JX
어렵다”며	어렵/VA+다/EF+”/SS+며/EC
“안보리	“/SS+안보리/NNG
문구는	문구/NNG+는/JX
성명보다	성명/NNG+보다/JKB
좀	좀/MAG
더	더/MAG
정교할	정교하/VA+ㄹ/ETM
수	수/NNB
있으며	있/VA+으며/EC
때문에	때문/NNB+에/JKB
최종	최종/NNG
결과물을	결과물/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때도	때/NNG+도/JX
세심하게	세심하/VA+게/EC
봐야	보/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.193.5.1
지난달 26일 G8 정상회의 후 채택된 성명에선 중국이 포함되지 않았지만 안보리 이사국에는 포함돼 있는 만큼 안보리의 천안함 사건과 관련한 대북 비난성명 내용은 G8 성명보다 강도가 약할 것이라는 전망이 나온다.

지난달	지난달/NNG
26일	26/SN+일/NNB
G8	G/SL+8/SN
정상회의	정상/NNG+회의/NNG
후	후/NNG
채택된	채택/NNG+되/XSV+ㄴ/ETM
성명에선	성명/NNG+에서/JKB+ㄴ/JX
중국이	중국/NNP+이/JKS
포함되지	포함/NNG+되/XSV+지/EC
않았지만	않/VX+았/EP+지만/EC
안보리	안보리/NNG
이사국에는	이사국/NNG+에/JKB+는/JX
포함돼	포함/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
만큼	만큼/NNB
안보리의	안보리/NNG+의/JKG
천안함	천안함/NNP
사건과	사건/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
대북	대북/NNG
비난성명	비난/NNG+성명/NNG
내용은	내용/NNG+은/JX
성명보다	성명/NNG+보다/JKB
강도가	강도/NNG+가/JKS
약할	약하/VA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.193.6.1
고위 당국자는 ‘안보리 대응이 결의안이 될지 아니면 의장성명이 될지’를 묻는 질문에 “그릇에 무엇을 담느냐가 중요하지 어떤 용기에 담느냐는 것은 그 다음 문제”라고 말했다.

고위	고위/NNG
당국자는	당국자/NNG+는/JX
‘안보리	‘/SS+안보리/NNG
대응이	대응/NNG+이/JKS
결의안이	결의안/NNG+이/JKC
될지	되/VV+ㄹ지/EF
아니면	아니/VCN+면/EC
의장성명이	의장/NNG+성명/NNG+이/JKC
될지’를	되/VV+ㄹ지/EF+’/SS+를/JKO
묻는	묻/VV+는/ETM
질문에	질문/NNG+에/JKB
“그릇에	“/SS+그릇/NNG+에/JKB
무엇을	무엇/NP+을/JKO
담느냐가	담/VV+느냐/EF+가/JKS
중요하지	중요/NNG+하/XSA+지/EC
어떤	어떤/MMD
용기에	용기/NNG+에/JKB
담느냐는	담/VV+느냐는/ETM
것은	것/NNB+은/JX
그	그/MMD
다음	다음/NNG
문제”라고	문제/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.193.6.2
이 당국자는 “미국은 금융과 여타 부문에서 대북제재 조치를 검토하고 있다”며 “북한의 금융거래를 제한하는 일반적인 기준을 만들게 될 것”이라고 말했다.

이	이/MMD
당국자는	당국자/NNG+는/JX
“미국은	“/SS+미국/NNP+은/JX
금융과	금융/NNG+과/JC
여타	여타/NNG
부문에서	부문/NNG+에서/JKB
대북제재	대북/NNG+제재/NNG
조치를	조치/NNG+를/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“북한의	“/SS+북한/NNP+의/JKG
금융거래를	금융/NNG+거래/NNG+를/JKO
제한하는	제한/NNG+하/XSV+는/ETM
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
기준을	기준/NNG+을/JKO
만들게	만들/VV+게/EC
