# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.75
metadata : {}


# id : NWRW1800000049.75.1.1
[사회공헌 Together]SC제일은행, 시각장애인 위한 콘텐츠 개발

[사회공헌	[/SS+사회/NNG+공헌/NNG
Together]SC제일은행,	Together/SL+]/SS+SC제일은행/NNP+,/SP
시각장애인	시각/NNG+장애인/NNG
위한	위하/VV+ㄴ/ETM
콘텐츠	콘텐츠/NNG
개발	개발/NNG


# id : NWRW1800000049.75.2.1
SC제일은행은 시각장애인을 위한 오디오 콘텐츠를 개발하고 기부하는 ‘SC제일은행 착한도서관프로젝트’를 6년째 진행하고 있다.

SC제일은행은	SC제일은행/NNP+은/JX
시각장애인을	시각/NNG+장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
오디오	오디오/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
개발하고	개발/NNG+하/XSV+고/EC
기부하는	기부/NNG+하/XSV+는/ETM
‘SC제일은행	‘/SS+SC제일은행/NNP
착한도서관프로젝트’를	착하/VA+ㄴ/ETM+도서관/NNG+프로젝트/NNG+’/SS+를/JKO
6년째	6/SN+년/NNB+째/XSN
진행하고	진행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.75.2.2
SC제일은행의 모기업인 SC그룹이 전 세계적으로 실시하고 있는 사회공헌활동 ‘Seeing is Believing’의 일환으로 SC제일은행의 대표적인 캠페인이다.

SC제일은행의	SC제일은행/NNP+의/JKG
모기업인	모기업/NNG+이/VCP+ㄴ/ETM
SC그룹이	SC그룹/NNP+이/JKS
전	전/MMN
세계적으로	세계/NNG+적/XSN+으로/JKB
실시하고	실시/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
사회공헌활동	사회/NNG+공헌/NNG+활동/NNG
‘Seeing	‘/SS+Seeing/SL
is	is/SL
Believing’의	Believing/SL+’/SS+의/JKG
일환으로	일환/NNG+으로/JKB
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
캠페인이다.	캠페인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.75.2.3
‘SC제일은행 착한도서관프로젝트’는 한국 내 시각장애인들에게 가장 필요한 것이 다양한 분야의 오디오 콘텐츠 보급이라는 점에 주목했다.

‘SC제일은행	‘/SS+SC제일은행/NNP
착한도서관프로젝트’는	착하/VA+ㄴ/ETM+도서관/NNG+프로젝트/NNG+’/SS+는/JX
한국	한국/NNP
내	내/NNB
시각장애인들에게	시각/NNG+장애인/NNG+들/XSN+에게/JKB
가장	가장/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
것이	것/NNB+이/JKS
다양한	다양/NNG+하/XSA+ㄴ/ETM
분야의	분야/NNG+의/JKG
오디오	오디오/NNG
콘텐츠	콘텐츠/NNG
보급이라는	보급/NNG+이/VCP+라는/ETM
점에	점/NNG+에/JKB
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.75.2.4
또 시각장애에 대한 관심을 높이기 위해 기업의 일방적인 기부 활동이 아닌 일반인들의 재능기부로 진행하고 있다.

또	또/MAG
시각장애에	시각/NNG+장애/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심을	관심/NNG+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
기업의	기업/NNG+의/JKG
일방적인	일방/NNG+적/XSN+이/VCP+ㄴ/ETM
기부	기부/NNG
활동이	활동/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
일반인들의	일반인/NNG+들/XSN+의/JKG
재능기부로	재능/NNG+기부/NNG+로/JKB
진행하고	진행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.75.2.5
현재까지 23만 명이 참여했으며 목소리 기부자를 선정하기 위해 오프라인으로 진행되는 ‘목소리 오디션’에는 남녀노소를 가리지 않고 다양한 계층이 참가하고 있다.

현재까지	현재/NNG+까지/JX
23만	23/SN+만/NR
명이	명/NNB+이/JKS
참여했으며	참여/NNG+하/XSV+았/EP+으며/EC
목소리	목소리/NNG
기부자를	기부자/NNG+를/JKO
선정하기	선정/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
오프라인으로	오프라인/NNG+으로/JKB
진행되는	진행/NNG+되/XSV+는/ETM
‘목소리	‘/SS+목소리/NNG
오디션’에는	오디션/NNG+’/SS+에/JKB+는/JX
남녀노소를	남녀노소/NNG+를/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
계층이	계층/NNG+이/JKS
참가하고	참가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.75.3.1
또 매년 제작되는 오디오북은 시각장애인에게 필요한 다양한 분야를 개척하고 있다.

또	또/MAG
매년	매년/MAG
제작되는	제작/NNG+되/XSV+는/ETM
오디오북은	오디오북/NNG+은/JX
시각장애인에게	시각/NNG+장애인/NNG+에게/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
분야를	분야/NNG+를/JKO
개척하고	개척/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.75.3.2
첫해 여행책으로 출발해 전 세계의 유명 미술작품 500점을 묘사·해설한 오디오 콘텐츠를 만들었다.

첫해	첫해/NNG
여행책으로	여행책/NNG+으로/JKB
출발해	출발/NNG+하/XSV+아/EC
전	전/MMN
세계의	세계/NNG+의/JKG
유명	유명/NNG
미술작품	미술/NNG+작품/NNG
500점을	500/SN+점/NNB+을/JKO
묘사·해설한	묘사/NNG+·/SP+해설/NNG+하/XSV+ㄴ/ETM
오디오	오디오/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
