# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.33
metadata : {}


# id : NWRW1800000041.33.1.1
제주항공, 낮은 가격으로 높게 날았다

제주항공,	제주항공/NNP+,/SP
낮은	낮/VA+은/ETM
가격으로	가격/NNG+으로/JKB
높게	높/VA+게/EC
날았다	날/VV+았/EP+다/EF


# id : NWRW1800000041.33.2.1
3분기 영업익 167억 ‘역대 최고’… 유가하락-신규노선 확대 겹호재 저비용항공업계 점유율 증가세

3분기	3/SN+분기/NNG
영업익	영업익/NNG
167억	167/SN+억/NR
‘역대	‘/SS+역대/NNG
최고’…	최고/NNG+’/SS+…/SE
유가하락-신규노선	유가/NNG+하락/NNG+-/SO+신규/NNG+노선/NNG
확대	확대/NNG
겹호재	겹호재/NNG
저비용항공업계	저/XPN+비용/NNG+항공업/NNG+계/XSN
점유율	점유/NNG+율/XSN
증가세	증가세/NNG


# id : NWRW1800000041.33.3.1
저비용항공사들의 성장세가 두드러지는 가운데 국내 최대 저비용항공사인 제주항공이 분기 기준으로 역대 최대 실적을 발표했다.

저비용항공사들의	저/XPN+비용/NNG+항공사/NNG+들/XSN+의/JKG
성장세가	성장세/NNG+가/JKS
두드러지는	두드러지/VV+는/ETM
가운데	가운데/NNG
국내	국내/NNG
최대	최대/NNG
저비용항공사인	저/XPN+비용/NNG+항공사/NNG+이/VCP+ㄴ/ETM
제주항공이	제주항공/NNP+이/JKS
분기	분기/NNG
기준으로	기준/NNG+으로/JKB
역대	역대/NNG
실적을	실적/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.33.4.1
제주항공은 올해 3분기(7∼9월)에 매출액 1436억 원에 167억 원의 영업이익을 냈다고 27일 밝혔다.

제주항공은	제주항공/NNP+은/JX
올해	올해/NNG
3분기(7∼9월)에	3/SN+분기/NNG+(/SS+7/SN+∼/SO+9/SN+월/NNB+)/SS+에/JKB
매출액	매출액/NNG
1436억	1436/SN+억/NR
원에	원/NNB+에/JKB
167억	167/SN+억/NR
원의	원/NNB+의/JKG
영업이익을	영업/NNG+이익/NNG+을/JKO
냈다고	내/VV+었/EP+다고/EC
27일	27/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.33.4.2
지금까지 최대 실적을 냈던 지난해 3분기에 비해 매출액은 15.8%, 영업이익은 32.9% 각각 늘었다.

지금까지	지금/NNG+까지/JX
최대	최대/NNG
실적을	실적/NNG+을/JKO
냈던	내/VV+었/EP+던/ETM
지난해	지난해/NNG
3분기에	3/SN+분기/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
매출액은	매출액/NNG+은/JX
15.8%,	15/SN+./SP+8/SN+%/SW+,/SP
영업이익은	영업/NNG+이익/NNG+은/JX
32.9%	32/SN+./SP+9/SN+%/SW
각각	각각/MAG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.33.4.3
지난해 3분기 매출액은 1240억 원, 영업이익은 126억 원이었다.

지난해	지난해/NNG
3분기	3/SN+분기/NNG
매출액은	매출액/NNG+은/JX
1240억	1240/SN+억/NR
원,	원/NNB+,/SP
영업이익은	영업/NNG+이익/NNG+은/JX
126억	126/SN+억/NR
원이었다.	원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.33.5.1
올해 제주항공의 3분기까지 누적 매출액은 3780억 원, 영업이익은 197억 원으로 올해 연간 기준으로 매출 5000억 원과 영업이익 200억 원을 달성할 수 있을 것으로 예상된다.

올해	올해/NNG
제주항공의	제주항공/NNP+의/JKG
3분기까지	3/SN+분기/NNG+까지/JX
누적	누적/NNG
매출액은	매출액/NNG+은/JX
3780억	3780/SN+억/NR
원,	원/NNB+,/SP
영업이익은	영업/NNG+이익/NNG+은/JX
197억	197/SN+억/NR
원으로	원/NNB+으로/JKB
연간	연간/NNG
기준으로	기준/NNG+으로/JKB
매출	매출/NNG
5000억	5000/SN+억/NR
원과	원/NNB+과/JC
영업이익	영업/NNG+이익/NNG
200억	200/SN+억/NR
원을	원/NNB+을/JKO
달성할	달성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.33.5.2
국내선과 국제선의 매출 비율은 4 대 6 정도다.

국내선과	국내선/NNG+과/JC
국제선의	국제선/NNG+의/JKG
매출	매출/NNG
비율은	비율/NNG+은/JX
4	4/SN
대	대/NNB
6	6/SN
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.33.6.1
제주항공은 “잇단 신규 취항과 화물·기내판매 등 기타 매출의 확대, 그리고 원가 절감 덕분”이라고 설명했다.

제주항공은	제주항공/NNP+은/JX
“잇단	“/SS+잇달/VV+ㄴ/ETM
신규	신규/NNG
취항과	취항/NNG+과/JC
화물·기내판매	화물/NNG+·/SP+기내/NNG+판매/NNG
등	등/NNB
기타	기타/NNG
매출의	매출/NNG+의/JKG
확대,	확대/NNG+,/SP
그리고	그리고/MAJ
원가	원가/NNG
절감	절감/NNG
